Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Ancher-Jensen Henrik,Sr Vice President,2022-12-14,Sale,155.78,"29,500","4,595,510","70,793",Dec 15 12:22 PM
Grau Dominique,Senior Vice President,2022-12-13,Sale,159.20,"4,000","636,800","92,379",Dec 15 12:20 PM
MCDONNELL PADRAIG,Sr. Vice President,2022-12-13,Sale,160.00,672,"107,520","15,529",Dec 15 12:21 PM
KOH BOON HWEE,Director,2022-12-06,Sale,152.21,"13,000","1,978,692","57,752",Dec 08 11:31 AM
Thaysen Jacob,Sr. Vice President,2022-12-01,Sale,155.65,"3,235","503,528","84,464",Dec 02 01:45 PM
Thaysen Jacob,Sr. Vice President,2022-11-30,Sale,154.63,"9,700","1,499,912","87,699",Dec 02 01:45 PM
Gonsalves Rodney,"V.P., Corporate Controller",2022-11-23,Sale,156.20,"4,634","723,831","28,447",Nov 28 03:47 PM
FIELDS HEIDI,Director,2022-11-23,Sale,155.84,"3,635","566,482","54,484",Nov 28 03:47 PM
McMullen Michael R.,CEO and President,2022-11-22,Option Exercise,40.80,"128,726","5,252,021","389,417",Nov 23 01:53 PM
McMullen Michael R.,CEO and President,2022-11-22,Sale,155.73,"128,726","20,046,500","260,691",Nov 23 01:53 PM
Tang Michael,"SVP, General Counsel, and Sec.",2022-11-22,Sale,153.90,"7,545","1,161,176","46,499",Nov 23 01:54 PM
MCDONNELL PADRAIG,Sr. Vice President,2022-11-22,Sale,153.21,"2,746","420,715","16,201",Nov 23 01:51 PM
McMullen Michael R.,CEO and President,2022-11-16,Option Exercise,40.80,"6,775","276,420","277,671",Nov 18 03:03 PM
McMullen Michael R.,CEO and President,2022-11-16,Sale,148.19,"6,775","1,003,987","270,896",Nov 18 03:03 PM
McMullen Michael R.,CEO and President,2022-11-09,Option Exercise,40.80,"6,775","276,420","198,133",Nov 10 03:41 PM
McMullen Michael R.,CEO and President,2022-11-09,Sale,138.31,"6,775","937,050","191,358",Nov 10 03:41 PM
McMullen Michael R.,CEO and President,2022-11-02,Option Exercise,40.80,"6,775","276,420","198,133",Nov 04 10:54 AM
McMullen Michael R.,CEO and President,2022-11-02,Sale,140.61,"6,775","952,633","191,358",Nov 04 10:54 AM
Tang Michael,"SVP, General Counsel, and Sec.",2022-11-01,Sale,139.50,"3,600","502,200","43,280",Nov 03 09:52 AM
McMullen Michael R.,CEO and President,2022-10-26,Option Exercise,40.80,"6,775","276,420","198,133",Oct 27 04:28 PM
McMullen Michael R.,CEO and President,2022-10-26,Sale,134.43,"6,775","910,763","191,358",Oct 27 04:28 PM
McMullen Michael R.,CEO and President,2022-10-19,Option Exercise,40.80,"6,775","276,420","198,133",Oct 21 05:01 PM
McMullen Michael R.,CEO and President,2022-10-19,Sale,130.11,"6,775","881,495","191,358",Oct 21 05:01 PM
MCDONNELL PADRAIG,Sr. Vice President,2022-09-28,Sale,122.89,"2,103","258,438","13,217",Sep 30 10:34 AM
Thaysen Jacob,Sr. Vice President,2022-09-09,Sale,137.45,"5,839","802,571","82,934",Sep 13 10:19 AM
MCDONNELL PADRAIG,Sr. Vice President,2022-09-08,Sale,134.33,"2,506","336,641","15,320",Sep 09 03:05 PM
MCDONNELL PADRAIG,Sr. Vice President,2022-06-30,Sale,118.62,"1,000","118,625","17,826",Jul 01 02:48 PM
Thaysen Jacob,Sr. Vice President,2022-06-02,Sale,127.43,"5,879","749,179","88,737",Jun 06 01:26 PM
Tang Michael,"SVP, General Counsel, and Sec.",2022-03-18,Sale,136.21,"1,210","164,814","46,829",Mar 21 05:16 PM
Grau Dominique,Senior Vice President,2021-12-29,Sale,161.0,"3,669","590,709","85,405",Dec 30 07:21 PM
McMullen Michael R.,CEO and President,2021-12-20,Sale,148.82,"123,459","18,373,168","191,187",Dec 21 02:36 PM
Gonsalves Rodney,"V.P., Corporate Controller",2021-12-02,Sale,151.89,800,"121,512",0,Dec 06 05:57 PM
Gonsalves Rodney,"V.P., Corporate Controller",2021-11-30,Sale,152.04,669,"101,713","43,353",Dec 02 02:26 PM
MCDONNELL PADRAIG,Senior Vice President,2021-11-19,Sale,165.0,"1,500","247,500","18,997",Nov 23 12:59 PM
Grau Dominique,Senior Vice President,2021-08-18,Option Exercise,40.8,"9,033","368,546","90,453",Aug 20 11:28 AM
Grau Dominique,Senior Vice President,2021-08-18,Sale,165.06,"9,033","1,490,942","81,420",Aug 20 11:28 AM
Grau Dominique,Senior Vice President,2021-08-05,Option Exercise,40.8,"9,033","368,546","90,453",Aug 09 03:54 PM
Grau Dominique,Senior Vice President,2021-08-05,Sale,155.0,"9,033","1,400,115","81,420",Aug 09 03:54 PM
