Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Sorg Elaine K.,"SVP, US COMMERCIAL OPERATIONS",2022-03-01,Option Exercise,93.50,"15,003","1,402,780","57,832",Mar 02 05:07 PM
SALEKI-GERHARDT AZITA,"EVP, OPERATIONS",2022-03-01,Option Exercise,51.42,"26,990","1,387,826","226,839",Mar 02 05:01 PM
RICHMOND TIMOTHY J.,"EVP, CHIEF HR OFFICER",2022-03-01,Sale,153.28,"44,141","6,766,103","13,837",Mar 02 04:30 PM
SALEKI-GERHARDT AZITA,"EVP, OPERATIONS",2022-03-01,Sale,154.48,"36,990","5,714,215","189,849",Mar 02 05:01 PM
Reents Scott T,"EVP, CHIEF FINANCIAL OFFICER",2022-03-01,Sale,153.08,"15,942","2,440,355",809,Mar 02 05:04 PM
Sorg Elaine K.,"SVP, US COMMERCIAL OPERATIONS",2022-03-01,Sale,155.00,"15,003","2,325,465","42,829",Mar 02 05:07 PM
Siatis Perry C,"EVP, GC AND SECRETARY",2022-03-01,Sale,153.08,"12,135","1,857,641","10,377",Mar 02 05:06 PM
Sorg Elaine K.,"SVP, US COMMERCIAL OPERATIONS",2022-02-21,Option Exercise,105.92,"15,321","1,622,800","78,000",Feb 21 06:12 PM
Strom Carrie C,SVP & PRES GLOBAL ALLERG AESTH,2022-02-21,Option Exercise,61.57,"14,179","872,949","66,462",Feb 21 06:14 PM
Siatis Perry C,"EVP, GC AND SECRETARY",2022-02-21,Option Exercise,93.50,"7,364","688,534","39,532",Feb 22 05:00 PM
Strom Carrie C,SVP & PRES GLOBAL ALLERG AESTH,2022-02-21,Sale,151.04,"28,541","4,310,771","37,921",Feb 21 06:14 PM
Sorg Elaine K.,"SVP, US COMMERCIAL OPERATIONS",2022-02-21,Sale,151.04,"15,321","2,314,119","62,679",Feb 21 06:12 PM
Siatis Perry C,"EVP, GC AND SECRETARY",2022-02-21,Sale,151.03,"7,364","1,112,178","32,168",Feb 22 05:00 PM
SALEKI-GERHARDT AZITA,"EVP, OPERATIONS",2022-02-17,Option Exercise,51.42,"25,000","1,285,500","258,208",Feb 21 06:13 PM
SALEKI-GERHARDT AZITA,"EVP, OPERATIONS",2022-02-17,Sale,149.53,"25,000","3,738,144","233,208",Feb 21 06:13 PM
AUSTIN ROXANNE S,Director,2022-02-17,Sale,150.50,"10,000","1,505,000","40,705",Feb 21 06:16 PM
RICHMOND TIMOTHY J.,"EVP, CHIEF HR OFFICER",2022-12-12,Option Exercise,54.86,"42,370","2,324,418","56,207",Dec 14 05:06 PM
RICHMOND TIMOTHY J.,"EVP, CHIEF HR OFFICER",2022-12-12,Sale,163.44,"42,370","6,925,018","13,837",Dec 14 05:06 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-23,Option Exercise,108.99,"79,801","8,697,627","231,904",May 25 04:58 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-23,Sale,150.9,"79,801","12,041,780","152,103",May 25 04:58 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-17,Option Exercise,88.38,"100,000","8,837,929","252,103",May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-17,Sale,154.04,"100,000","15,404,400","152,103",May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-16,Option Exercise,66.5,"100,000","6,650,277","252,103",May 18 05:12 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-05-16,Option Exercise,54.86,"83,960","4,606,046","100,583",May 18 05:12 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-05-16,Sale,155.0,"83,960","13,013,800","16,623",May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-16,Sale,154.45,"100,000","15,445,089","152,103",May 18 05:12 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-10,Option Exercise,59.6,"100,000","5,960,468","252,103",May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-10,Sale,152.28,"100,000","15,227,966","152,103",May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-09,Option Exercise,56.21,"100,000","5,621,478","252,103",May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-09,Sale,150.28,"100,000","15,027,710","152,103",May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-06,Option Exercise,54.55,"100,000","5,454,790","252,103",May 10 05:05 PM
SEVERINO MICHAEL,Vice Chairman,2022-05-06,Sale,150.81,"100,000","15,080,612","152,103",May 10 05:05 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2022-03-24,Option Exercise,58.88,"27,690","1,630,387","88,631",Mar 25 05:09 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2022-03-24,Sale,159.2,"27,690","4,408,375","60,941",Mar 25 05:09 PM
Durkin Brian L,"VP, Controller",2022-03-09,Option Exercise,79.02,"11,682","923,112","37,722",Mar 11 05:05 PM
Durkin Brian L,"VP, Controller",2022-03-09,Sale,150.01,"18,628","2,794,301","19,094",Mar 11 05:05 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-03-01,Sale,148.26,"15,000","2,223,836","41,623",Mar 01 06:14 PM
Michael Robert A.,Vice Chairman,2022-03-01,Sale,148.25,"43,105","6,390,247","37,877",Mar 01 06:07 PM
Gosebruch Henry O,"EVP, Chief Strategy Officer",2022-03-01,Sale,147.29,"25,000","3,682,189","16,623",Mar 02 05:03 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2022-03-01,Sale,148.25,"21,488","3,185,599","60,941",Mar 01 06:08 PM
Strom Carrie C,SVP & Pres Global Allerg Aesth,2022-02-07,Sale,141.17,"2,396","338,243","42,499",Feb 08 05:13 PM
Durkin Brian L,"VP, Controller",2021-12-20,Option Exercise,61.36,"7,180","440,565","28,295",Dec 21 05:29 PM
Durkin Brian L,"VP, Controller",2021-12-20,Sale,128.51,"11,790","1,515,133","16,505",Dec 21 05:29 PM
Schumacher Laura J,Vice Chairman,2021-12-17,Option Exercise,57.14,"181,670","10,381,361","394,673",Dec 21 05:21 PM
Schumacher Laura J,Vice Chairman,2021-12-17,Sale,130.24,"181,670","23,660,678","213,003",Dec 21 05:21 PM
Stewart Jeffrey Ryan,"EVP, Chief Commercial Officer",2021-12-15,Sale,128.0,"2,152","275,456","47,104",Dec 17 05:01 PM
Sorg Elaine K.,"SVP, US Commercial Operations",2021-12-13,Sale,125.85,"6,458","812,739",0,Dec 14 05:01 PM
GONZALEZ RICHARD A,Chairman of the Board and CEO,2021-12-09,Option Exercise,61.36,"174,100","10,682,776","550,697",Dec 10 05:02 PM
GONZALEZ RICHARD A,Chairman of the Board and CEO,2021-12-09,Sale,123.23,"174,100","21,453,641","376,597",Dec 10 05:02 PM
RICHMOND TIMOTHY J.,"EVP, Chief HR Officer",2021-12-06,Option Exercise,58.88,"50,350","2,964,608","50,350",Dec 08 05:01 PM
RICHMOND TIMOTHY J.,"EVP, Chief HR Officer",2021-12-06,Sale,120.0,"50,350","6,042,000",0,Dec 08 05:01 PM
AUSTIN ROXANNE S,Director,2021-11-03,Sale,117.23,"20,000","2,344,600","49,284",Nov 04 05:35 PM
AUSTIN ROXANNE S,Director,2021-11-02,Sale,116.38,"51,844","6,033,384","69,284",Nov 04 05:35 PM
Sorg Elaine K.,"SVP, US Commercial Operations",2021-08-23,Option Exercise,114.36,"7,080","809,669","18,675",Aug 25 06:08 PM
Strom Carrie C,SVP & Pres Global Allerg Aesth,2021-08-23,Sale,120.0,"5,057","606,840","51,047",Aug 25 06:08 PM
Sorg Elaine K.,"SVP, US Commercial Operations",2021-08-23,Sale,120.0,"13,080","1,569,600","11,595",Aug 25 06:08 PM
