Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Chen Gloria,"EVP, Chief People Officer",2022-02-28,Option Exercise,0.00,223,0,"22,316",Mar 01 07:12 PM
Durn Daniel,EVP & CFO,2022-02-15,Option Exercise,0.00,"3,836",0,"15,753",Feb 16 04:36 PM
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",2022-02-02,Sale,400.00,"2,599","1,039,600","26,977",Feb 03 04:39 PM
Belsky Scott,"EVP, CPO, Creative Cloud",2022-01-25,Sale,355.42,"2,906","1,032,851","26,475",Jan 26 04:59 PM
Garfield Mark S.,SVP & CAO,2022-01-25,Sale,355.42,209,"74,283","3,479",Jan 26 05:01 PM
Garfield Mark S.,SVP & CAO,2022-01-24,Option Exercise,0.00,864,0,"3,868",Jan 26 05:01 PM
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",2022-01-24,Option Exercise,0.00,"8,718",0,"30,417",Jan 26 05:02 PM
Chen Gloria,"EVP, Chief People Officer",2022-01-24,Option Exercise,0.00,"5,851",0,"22,934",Jan 26 05:00 PM
Wadhwani David,"President, Digital Media",2022-01-24,Option Exercise,0.00,"2,424",0,"8,523",Jan 26 05:04 PM
Rao Dana,"EVP, Gen. Counsel & Secretary",2022-01-24,Option Exercise,0.00,"7,573",0,"19,892",Jan 26 05:04 PM
Durn Daniel,EVP & CFO,2022-01-24,Option Exercise,0.00,"2,424",0,"13,201",Jan 26 05:01 PM
NARAYEN SHANTANU,Chairman and CEO,2022-01-24,Option Exercise,0.00,"51,972",0,"450,180",Jan 26 05:04 PM
Belsky Scott,"EVP, CPO, Creative Cloud",2022-01-24,Option Exercise,0.00,"10,653",0,"30,721",Jan 26 04:59 PM
Chakravarthy Anil,"President, DX",2022-01-24,Option Exercise,0.00,"12,107",0,"27,999",Jan 26 04:59 PM
NARAYEN SHANTANU,Chairman and CEO,2022-01-20,Sale,346.61,"15,000","5,199,152","408,866",Jan 23 06:29 PM
WARNOCK JOHN E,Director,2022-01-12,Sale,341.91,"3,000","1,025,719","380,465",Jan 12 06:04 PM
Chakravarthy Anil,"President, DX",2022-01-09,Option Exercise,0.00,"11,019",0,"24,405",Jan 10 04:33 PM
Rao Dana,"EVP, Gen. Counsel & Secretary",2022-12-20,Sale,336.93,"5,018","1,690,715","14,832",Dec 20 04:55 PM
Garfield Mark S.,SVP & CAO,2022-12-19,Sale,338.00,132,"44,616","3,271",Dec 20 04:55 PM
Garfield Mark S.,SVP & CAO,2022-12-15,Option Exercise,0.00,521,0,"3,630",Dec 15 07:39 PM
Wadhwani David,"President, Digital Media",2022-12-14,Option Exercise,0.00,"1,933",0,"7,057",Dec 15 07:39 PM
Garfield Mark S.,SVP & CAO,2022-12-06,Sale,334.09,474,"158,359","3,139",Dec 06 04:35 PM
Garfield Mark S.,SVP & CAO,2022-12-03,Option Exercise,0.00,"1,878",0,"4,544",Dec 06 04:35 PM
Chen Gloria,"EVP, Chief People Officer",2022-11-30,Option Exercise,0.00,224,0,"18,856",Dec 01 07:01 PM
Durn Daniel,EVP & CFO,2022-11-15,Option Exercise,0.00,"3,837",0,"12,785",Nov 16 05:19 PM
WARNOCK JOHN E,Director,2022-10-25,Sale,319.60,"17,000","5,433,254","383,465",Oct 26 05:49 PM
Belsky Scott,"EVP, CPO, Creative Cloud",2022-10-25,Sale,319.12,"2,711","865,134","24,217",Oct 26 05:47 PM
NARAYEN SHANTANU,Chairman and CEO,2022-10-24,Option Exercise,0.00,"5,642",0,"424,514",Oct 26 05:48 PM
Rao Dana,"EVP, Gen. Counsel & Secretary",2022-10-24,Option Exercise,0.00,"1,334",0,"20,032",Oct 26 05:49 PM
Belsky Scott,"EVP, CPO, Creative Cloud",2022-10-24,Option Exercise,0.00,"1,873",0,"27,187",Oct 26 05:47 PM
Chakravarthy Anil,"President, DX",2022-10-24,Option Exercise,0.00,603,0,"13,684",Oct 26 05:47 PM
Chen Gloria,"EVP, Chief People Officer",2022-10-24,Option Exercise,0.00,975,0,"18,831",Oct 26 05:47 PM
Garfield Mark S.,"SVP, CAO & Corp. Controller",2022-10-24,Option Exercise,0.00,136,0,"2,715",Oct 26 05:48 PM
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",2022-10-24,Option Exercise,0.00,"1,571",0,"24,989",Oct 26 05:48 PM
WARNOCK JOHN E,Director,2022-10-10,Sale,286.11,"3,500","1,001,386","400,465",Oct 11 04:37 PM
WARNOCK JOHN E,Director,2022-10-04,Sale,292.92,"1,200","351,508","403,965",Oct 05 04:34 PM
Ricks David A,Director,2022-09-27,Buy,280.56,"1,200","336,672","5,139",Sep 27 07:28 PM
Durn Daniel,EVP & CFO,2022-09-22,Buy,288.11,"3,250","936,358","8,948",Sep 23 08:13 AM
Garfield Mark S.,"SVP, CAO & Corp. Controller",2022-09-19,Sale,294.54,132,"38,879","2,596",Sep 20 05:43 PM
Garfield Mark S.,"SVP, CAO & Corp. Controller",2022-09-15,Option Exercise,0.00,520,0,"2,955",Sep 16 05:05 PM
Wadhwani David,"President, Digital Media",2022-09-14,Option Exercise,0.00,"1,932",0,"6,081",Sep 16 05:04 PM
Chen Gloria,"EVP, Chief People Officer",2022-08-30,Option Exercise,0.00,224,0,"18,250",Aug 31 04:32 PM
Durn Daniel,EVP & CFO,2022-08-15,Option Exercise,0.00,"3,836",0,"7,706",Aug 16 05:55 PM
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",2022-07-28,Sale,400.0,794,"317,600","23,988",Jul 28 05:55 PM
Belsky Scott,"EVP, CPO, Creative Cloud",2022-07-26,Sale,393.58,"2,711","1,066,995","26,089",Jul 28 05:54 PM
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",2022-07-24,Option Exercise,0.0,"1,572",0,"25,589",Jul 26 05:19 PM
NARAYEN SHANTANU,Chairman and CEO,2022-07-24,Option Exercise,0.0,"5,642",0,"421,669",Jul 26 05:19 PM
Rao Dana,"EVP, Gen. Counsel & Secretary",2022-07-24,Option Exercise,0.0,"1,334",0,"19,358",Jul 26 05:19 PM
Belsky Scott,"EVP, CPO, Creative Cloud",2022-07-24,Option Exercise,0.0,"1,874",0,"29,059",Jul 26 05:18 PM
