Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
DOLUCA TUNC,Director,2022-03-01,Sale,183.86,"5,100","937,686","59,657",Mar 02 04:16 PM
Frank Edward H.,Director,2022-02-17,Sale,193.09,"5,000","965,450","3,000",Feb 21 05:15 PM
Sondel Michael,CAO (principal acct. officer),2022-02-16,Option Exercise,49.11,"5,490","269,613","9,031",Feb 17 04:45 PM
Sondel Michael,CAO (principal acct. officer),2022-02-16,Sale,194.18,"5,490","1,066,041","6,281",Feb 17 04:45 PM
Mahendra-Rajah Prashanth,"EVP, Finance & CFO",2022-02-16,Sale,195.26,"2,200","429,576","11,743",Feb 17 04:30 PM
DOLUCA TUNC,Director,2022-02-15,Sale,194.34,"6,000","1,166,040","61,157",Feb 16 08:33 PM
DOLUCA TUNC,Director,2022-02-02,Sale,180.00,"6,800","1,224,000","63,157",Feb 03 04:51 PM
DOLUCA TUNC,Director,2022-02-01,Sale,171.33,"3,400","582,522","65,157",Feb 03 04:51 PM
DOLUCA TUNC,Director,2022-01-11,Sale,170.00,"1,700","289,000","66,157",Jan 12 04:42 PM
DOLUCA TUNC,Director,2022-01-03,Sale,165.57,"1,700","281,469","66,657",Jan 04 04:44 PM
STATA RAY,Director,2022-12-15,Option Exercise,0.00,"11,860",0,"171,631",Dec 19 05:44 PM
Jain Vivek,"EVP, Global Operations",2022-12-14,Sale,175.73,"10,791","1,896,302","7,516",Dec 15 09:16 PM
CHAMPY JAMES,Director,2022-12-13,Option Exercise,51.73,"4,830","249,856","11,919",Dec 14 04:25 PM
CHAMPY JAMES,Director,2022-12-13,Sale,178.01,"5,548","987,599","6,371",Dec 14 04:25 PM
Mahendra-Rajah Prashanth,"EVP, Finance & CFO",2022-12-12,Sale,169.16,"2,201","372,332","13,943",Dec 14 04:17 PM
DOLUCA TUNC,Director,2022-12-01,Sale,173.21,"3,400","588,914","67,157",Dec 02 06:01 PM
CHAMPY JAMES,Director,2022-11-23,Option Exercise,51.73,"4,830","249,856","12,636",Nov 28 05:30 PM
CHAMPY JAMES,Director,2022-11-23,Sale,170.00,"5,547","942,990","7,089",Nov 28 05:30 PM
DOLUCA TUNC,Director,2022-11-23,Sale,170.00,"1,700","289,000","68,157",Nov 28 04:20 PM
DOLUCA TUNC,Director,2022-11-10,Sale,160.00,"1,700","272,000","68,657",Nov 14 05:14 PM
SICCHITANO KENTON J,Director,2022-10-10,Buy,139.12,1,139,"27,677",Mar 07 04:47 PM
DOLUCA TUNC,Director,2022-10-04,Sale,150.00,"2,400","360,003","69,157",Oct 05 04:19 PM
DOLUCA TUNC,Director,2022-09-01,Sale,150.00,"2,400","360,001","70,157",Sep 02 04:27 PM
Jain Vivek,"SVP, Global Operations",2022-08-25,Sale,165.63,"14,000","2,318,778","18,271",Aug 29 05:27 PM
Jain Vivek,"SVP, Global Operations",2022-08-15,Option Exercise,0.00,"3,053",0,"33,589",Aug 17 07:55 PM
DOLUCA TUNC,Director,2022-08-15,Sale,180.00,"16,800","3,024,000","71,157",Aug 16 04:34 PM
DOLUCA TUNC,Director,2022-08-01,Sale,170.34,"7,000","1,192,372","78,357",Aug 02 04:22 PM
DOLUCA TUNC,Director,2022-07-28,Sale,170.0,"9,200","1,564,000","81,357",Jul 29 04:16 PM
DOLUCA TUNC,Director,2022-07-19,Sale,160.0,"2,300","368,000","85,357",Jul 20 04:09 PM
DOLUCA TUNC,Director,2022-07-08,Sale,150.0,"2,400","360,000","86,357",Jul 11 04:45 PM
EVANS BRUCE R,Director,2022-06-17,Buy,144.16,"3,650","526,184","104,008",Jun 21 05:52 PM
DOLUCA TUNC,Director,2022-06-01,Sale,169.18,"4,700","795,146","87,357",Jun 02 04:06 PM
CHAMPY JAMES,Director,2022-05-31,Option Exercise,46.48,"11,860","551,253","19,666",Jun 01 04:22 PM
Frank Edward H.,Director,2022-05-31,Sale,166.9,"1,435","239,502","2,525",Jun 01 04:30 PM
CHAMPY JAMES,Director,2022-05-31,Sale,169.0,"11,860","2,004,340","7,806",Jun 01 04:22 PM
Mahendra-Rajah Prashanth,"EVP, Finance & CFO",2022-05-19,Sale,163.14,"3,901","636,420","16,108",May 20 04:42 PM
DOLUCA TUNC,Director,2022-05-02,Sale,155.34,"2,400","372,816","90,357",May 03 04:19 PM
DOLUCA TUNC,Director,2022-04-01,Sale,166.5,"4,700","782,550","91,357",Apr 04 04:43 PM
ROCHE VINCENT,Chair & CEO,2022-03-29,Option Exercise,0.0,"6,592",0,"17,935",Mar 31 05:12 PM
Sondel Michael,CAO (principal acct. officer),2022-03-29,Option Exercise,0.0,277,0,"6,327",Mar 31 05:02 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-29,Option Exercise,0.0,"2,072",0,"20,692",Mar 31 04:42 PM
DOLUCA TUNC,Director,2022-03-29,Sale,170.0,"4,600","782,000","93,357",Mar 30 06:04 PM
Sacks Anelise Angelino,"SVP, Chief Customer Officer",2022-03-15,Option Exercise,0.0,572,0,572,Mar 17 06:13 PM
Sondel Michael,CAO (principal acct. officer),2022-03-15,Option Exercise,0.0,632,0,"6,236",Mar 17 06:07 PM
ROCHE VINCENT,President & CEO,2022-03-15,Option Exercise,0.0,"6,842",0,"14,378",Mar 17 05:59 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-15,Option Exercise,0.0,"1,779",0,"19,143",Mar 17 05:45 PM
ROCHE VINCENT,President & CEO,2022-03-13,Option Exercise,0.0,"6,897",0,"9,110",Mar 15 05:38 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-13,Option Exercise,0.0,"1,814",0,"17,581",Mar 15 05:27 PM
Sondel Michael,CAO (principal acct. officer),2022-03-13,Option Exercise,0.0,524,0,"5,764",Mar 15 04:18 PM
ROCHE VINCENT,President & CEO,2022-03-10,Option Exercise,0.0,"4,840",0,"4,840",Mar 14 07:53 PM
Mahendra-Rajah Prashanth,"SVP, Finance & CFO",2022-03-10,Option Exercise,0.0,"1,320",0,"16,483",Mar 14 07:46 PM
Sondel Michael,CAO (principal acct. officer),2022-03-10,Option Exercise,0.0,431,0,"5,390",Mar 14 07:41 PM
SICCHITANO KENTON J,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"28,075",Mar 11 07:02 PM
EVANS BRUCE R,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"1,435",Mar 11 06:52 PM
DOLUCA TUNC,Director,2022-03-09,Option Exercise,0.0,685,0,"75,655",Mar 11 06:19 PM
Wee Susie,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"4,256",Mar 11 06:16 PM
STATA RAY,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"159,771",Mar 11 06:12 PM
JOHNSON MERCEDES,Director,2022-03-09,Option Exercise,0.0,685,0,"5,113",Mar 11 06:08 PM
Golz Karen,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"7,184",Mar 11 05:58 PM
GLIMCHER LAURIE H M.D.,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"2,035",Mar 11 05:55 PM
Frank Edward H.,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"3,960",Mar 11 05:51 PM
Chandrakasan Anantha P.,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"6,130",Mar 11 05:42 PM
CHAMPY JAMES,Director,2022-03-09,Option Exercise,0.0,"1,435",0,"7,806",Mar 11 05:38 PM
DOLUCA TUNC,Director,2022-03-01,Sale,159.76,"4,700","750,872","95,357",Mar 02 05:32 PM
DOLUCA TUNC,Director,2022-02-01,Sale,164.1,"4,700","771,270","97,357",Feb 02 05:22 PM
ROCHE VINCENT,President & CEO,2021-12-01,Option Exercise,54.93,"8,536","468,882","8,536",Dec 02 04:46 PM
ROCHE VINCENT,President & CEO,2021-12-01,Sale,182.41,"8,536","1,557,052",0,Dec 02 04:46 PM
DOLUCA TUNC,Director,2021-12-01,Sale,183.1,"9,100","1,666,169","102,357",Dec 03 04:11 PM
DOLUCA TUNC,Director,2021-11-22,Sale,190.0,"1,000","190,000","617,672",Nov 23 04:14 PM
DOLUCA TUNC,Director,2021-11-19,Sale,190.0,"1,000","190,000","106,257",Nov 22 04:35 PM
DOLUCA TUNC,Director,2021-11-04,Sale,180.0,"2,100","378,000","107,157",Nov 05 04:32 PM
ROCHE VINCENT,President & CEO,2021-11-01,Option Exercise,54.93,"10,000","549,300","10,000",Nov 02 04:09 PM
DOLUCA TUNC,Director,2021-11-01,Sale,173.18,"7,000","1,212,260","108,057",Nov 02 04:25 PM
ROCHE VINCENT,President & CEO,2021-11-01,Sale,173.18,"10,000","1,731,800",0,Nov 02 04:09 PM
EVANS BRUCE R,Director,2021-10-06,Buy,164.98,"8,001","1,319,957","100,358",Oct 07 05:42 PM
ROCHE VINCENT,President & CEO,2021-10-01,Option Exercise,54.93,"10,000","549,300","10,000",Oct 04 04:17 PM
ROCHE VINCENT,President & CEO,2021-10-01,Sale,168.09,"10,000","1,680,900",0,Oct 04 04:17 PM
Cotter Martin,"SVP, Ind, Consr, Multi-Markets",2021-09-17,Option Exercise,171.52,833,"142,876","6,741",Sep 21 04:13 PM
