Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
WESTBROOK KELVIN R,Director,2022-01-04,Option Exercise,0.00,"6,087",0,"6,087",Jan 05 04:54 PM
Harrison Suzan F.,Director,2022-01-03,Option Exercise,0.00,"1,672",0,"1,672",Jan 04 05:01 PM
Sanchez Francisco J,Director,2022-01-03,Option Exercise,0.00,"4,282",0,"8,552",Jan 04 05:01 PM
Sandler Debra A.,Director,2022-01-03,Option Exercise,0.00,"4,034",0,"4,034",Jan 04 05:02 PM
FINDLAY D CAMERON,Senior Vice President,2022-12-13,Option Exercise,40.65,"26,197","1,064,908","311,184",Dec 14 09:19 AM
FINDLAY D CAMERON,Senior Vice President,2022-12-13,Sale,93.52,"26,197","2,449,907","284,987",Dec 14 09:19 AM
FINDLAY D CAMERON,Senior Vice President,2022-12-12,Option Exercise,40.65,"26,198","1,064,949","311,185",Dec 14 09:19 AM
FINDLAY D CAMERON,Senior Vice President,2022-12-12,Sale,92.64,"26,198","2,426,921","284,987",Dec 14 09:19 AM
FINDLAY D CAMERON,Senior Vice President,2022-11-29,Option Exercise,40.65,"26,198","1,064,949","311,185",Nov 30 04:06 PM
FINDLAY D CAMERON,Senior Vice President,2022-11-29,Sale,96.62,"26,198","2,531,333","284,987",Nov 30 04:06 PM
FINDLAY D CAMERON,Senior Vice President,2022-11-28,Option Exercise,40.65,"26,198","1,064,949","311,185",Nov 29 04:35 PM
FINDLAY D CAMERON,Senior Vice President,2022-11-28,Sale,96.63,"26,198","2,531,421","284,987",Nov 29 04:35 PM
LUCIANO JUAN R,President & CEO,2022-10-26,Option Exercise,33.18,"300,000","9,954,000","712,842",Oct 27 04:32 PM
LUCIANO JUAN R,President & CEO,2022-10-26,Sale,93.38,"300,000","28,014,553","412,842",Oct 27 04:32 PM
Sanchez Francisco J,Director,2022-09-13,Sale,88.14,100,"8,814","4,270",Sep 14 08:15 AM
LUCIANO JUAN R,President & CEO,2022-09-09,Option Exercise,39.34,"284,531","11,192,685","697,373",Sep 12 04:18 PM
LUCIANO JUAN R,President & CEO,2022-09-09,Sale,91.20,"284,531","25,948,970","412,842",Sep 12 04:18 PM
Morris Gregory A,Senior Vice President,2022-08-10,Option Exercise,36.45,"117,839","4,295,250","349,293",Aug 11 04:33 PM
Morris Gregory A,Senior Vice President,2022-08-10,Sale,83.47,"117,839","9,835,758","231,454",Aug 11 04:33 PM
Luthar Vikram,Chief Financial Officer,2022-06-07,Option Exercise,33.18,"7,500","248,850","79,802",Jun 08 04:28 PM
Luthar Vikram,Chief Financial Officer,2022-06-07,Sale,89.59,"7,500","671,925","72,302",Jun 08 04:28 PM
Luthar Vikram,Chief Financial Officer,2022-05-10,Buy,84.97,5,425,"40,336",Jun 01 04:35 PM
Morris Gregory A,Senior Vice President,2022-03-18,Sale,83.37,"20,000","1,667,313","231,454",Mar 21 04:47 PM
Macciocchi Vincent F,Senior Vice President,2022-02-15,Option Exercise,33.18,"93,110","3,089,390","327,942",Feb 16 04:49 PM
Macciocchi Vincent F,Senior Vice President,2022-02-15,Sale,76.7,"93,110","7,141,909","234,832",Feb 16 04:49 PM
Cuddy Christopher M,Senior Vice President,2022-02-09,Option Exercise,32.69,"40,101","1,310,752","317,994",Feb 10 04:44 PM
Cuddy Christopher M,Senior Vice President,2022-02-09,Sale,77.49,"40,101","3,107,516","277,893",Feb 10 04:44 PM
Young Ray G,Chief Financial Officer,2022-02-08,Option Exercise,27.52,"155,266","4,272,626","724,478",Feb 10 04:46 PM
Young Ray G,Chief Financial Officer,2022-02-08,Sale,76.74,"155,266","11,914,883","569,212",Feb 10 04:46 PM
LUCIANO JUAN R,President & CEO,2022-01-31,Option Exercise,27.45,"268,249","7,364,436","752,243",Feb 01 06:20 PM
LUCIANO JUAN R,President & CEO,2022-01-31,Sale,74.57,"268,249","20,002,766","483,994",Feb 01 06:20 PM
WESTBROOK KELVIN R,Director,2022-01-05,Option Exercise,0.0,"8,177",0,"8,177",Jan 06 04:45 PM
Dufour Pierre,Director,2022-01-03,Option Exercise,0.0,"4,980",0,"23,780",Jan 04 06:43 PM
Sanchez Francisco J,Director,2022-01-03,Option Exercise,0.0,"4,486",0,"8,856",Jan 04 06:44 PM
FINDLAY D CAMERON,Senior Vice President,2021-11-01,Option Exercise,36.68,"99,503","3,649,770","358,301",Nov 02 01:46 PM
FINDLAY D CAMERON,Senior Vice President,2021-11-01,Sale,63.73,"99,503","6,341,525","258,798",Nov 02 01:46 PM
LUCIANO JUAN R,President & CEO,2021-07-29,Buy,59.54,"16,790","999,700","537,191",Jul 29 05:10 PM
