Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Albinson Brock,Corp. VP,2022-03-01,Sale,220.00,"1,500","330,000","5,317",Mar 02 04:34 PM
Weinstein Donald,Corporate VP,2022-01-11,Option Exercise,146.75,"5,075","744,756","38,025",Jan 13 04:20 PM
Weinstein Donald,Corporate VP,2022-01-11,Sale,245.00,"5,075","1,243,375","32,950",Jan 13 04:20 PM
Rodriguez Carlos A,Executive Chair,2022-01-09,Option Exercise,146.75,"37,594","5,516,920","82,075",Jan 11 04:16 PM
Rodriguez Carlos A,Executive Chair,2022-01-09,Sale,241.29,"37,594","9,071,170","44,481",Jan 11 04:16 PM
Rodriguez Carlos A,Executive Chair,2022-01-05,Option Exercise,169.84,"52,254","8,874,819","96,735",Jan 06 04:19 PM
Rodriguez Carlos A,Executive Chair,2022-01-05,Sale,234.15,"52,254","12,235,027","44,481",Jan 06 04:19 PM
Rodriguez Carlos A,Executive Chair,2022-01-04,Option Exercise,138.53,"58,864","8,154,430","103,345",Jan 06 04:19 PM
Rodriguez Carlos A,Executive Chair,2022-01-04,Sale,239.06,"58,864","14,071,811","44,481",Jan 06 04:19 PM
Weinstein Donald,Corporate VP,2022-01-03,Option Exercise,138.53,"11,427","1,582,982","44,377",Jan 04 05:12 PM
McGuire Don,Corp VP,2022-01-03,Option Exercise,151.68,"9,914","1,503,771","26,595",Jan 04 05:11 PM
Weinstein Donald,Corporate VP,2022-01-03,Sale,240.83,"11,427","2,751,964","32,950",Jan 04 05:12 PM
McGuire Don,Corp VP,2022-01-03,Sale,240.83,"9,914","2,387,589","16,681",Jan 04 05:11 PM
D'Ambrosio Christopher,Corp. VP,2022-11-07,Option Exercise,103.08,423,"43,603","3,580",Nov 09 04:11 PM
D'Ambrosio Christopher,Corp. VP,2022-11-07,Sale,238.45,304,"72,488","3,276",Nov 09 04:11 PM
Sperduto James T,Corp VP,2022-11-02,Sale,243.64,160,"38,982","8,375",Nov 03 04:07 PM
Sperduto James T,Corp VP,2022-11-01,Sale,242.34,207,"50,164","8,535",Nov 02 04:19 PM
Brown Laura G,Corp. VP,2022-10-03,Sale,228.35,252,"57,544","6,016",Oct 04 05:03 PM
Magliulo Virginia,Corp VP,2022-09-30,Option Exercise,0.00,"1,237",0,"4,677",Oct 04 05:04 PM
McGuire Don,Corp VP,2022-09-30,Option Exercise,0.00,"5,198",0,"19,478",Oct 04 05:01 PM
Rodriguez Carlos A,President & CEO,2022-09-14,Option Exercise,169.84,"52,254","8,874,819","96,680",Sep 15 04:27 PM
Rodriguez Carlos A,President & CEO,2022-09-14,Sale,234.70,"52,254","12,263,965","44,426",Sep 15 04:27 PM
Rodriguez Carlos A,President & CEO,2022-09-13,Option Exercise,146.75,"37,594","5,516,920","82,020",Sep 15 04:27 PM
Rodriguez Carlos A,President & CEO,2022-09-13,Sale,237.95,"37,594","8,945,641","44,426",Sep 15 04:27 PM
Rodriguez Carlos A,President & CEO,2022-09-08,Option Exercise,138.53,"58,864","8,154,430","103,290",Sep 09 04:33 PM
Rodriguez Carlos A,President & CEO,2022-09-08,Sale,236.69,"58,864","13,932,520","44,426",Sep 09 04:33 PM
D'Ambrosio Christopher,Corp. VP,2022-09-08,Sale,236.69,174,"41,184","3,157",Sep 09 04:33 PM
Rodriguez Carlos A,President & CEO,2022-09-07,Sale,237.07,"28,889","6,848,715","44,426",Sep 09 04:33 PM
Ayala John,Corp. VP,2022-09-02,Option Exercise,147.04,"37,944","5,579,143","74,505",Sep 06 05:22 PM
Ayala John,Corp. VP,2022-09-02,Sale,242.42,"27,936","6,772,163","28,734",Sep 06 05:22 PM
Ayala John,Corp. VP,2022-09-02,Sale,240.04,"17,835","4,281,152","56,670",Sep 06 05:22 PM
Black Maria,Corp. VP,2022-09-02,Sale,245.90,"6,974","1,714,907","34,202",Sep 06 05:22 PM
Weinstein Donald,Corporate VP,2022-09-02,Sale,245.90,"5,951","1,463,351","32,950",Sep 06 05:24 PM
Bonarti Michael A,Corporate Vice President,2022-09-02,Sale,245.90,"3,623","890,896","67,044",Sep 06 05:23 PM
McGuire Don,Corp VP,2022-09-02,Sale,245.90,"2,721","669,094","14,280",Sep 06 05:23 PM
Blanchard Augusto J,Corp VP,2022-09-02,Sale,245.90,"2,047","503,357","4,940",Sep 06 05:23 PM
Sperduto James T,Corp VP,2022-09-02,Sale,245.90,"1,421","349,424","8,899",Sep 06 05:24 PM
Albinson Brock,Corp. VP,2022-09-02,Sale,245.90,"1,173","288,441","6,817",Sep 06 05:22 PM
DeSilva Joseph,Corp VP,2022-09-02,Sale,245.90,377,"92,704","7,550",Sep 06 05:23 PM
Black Maria,Corp. VP,2022-09-01,Option Exercise,150.70,"26,518","3,996,299","69,281",Sep 06 05:22 PM
Albinson Brock,Corp. VP,2022-09-01,Option Exercise,162.73,"8,054","1,310,607","16,500",Sep 06 05:22 PM
DeSilva Joseph,Corp VP,2022-09-01,Option Exercise,151.20,"3,658","553,094","11,842",Sep 06 05:23 PM
Quevedo Alexander,Corp VP,2022-09-01,Option Exercise,150.31,"1,428","214,647","5,889",Sep 06 05:23 PM
Black Maria,Corp. VP,2022-09-01,Sale,243.09,"26,518","6,446,261","41,176",Sep 06 05:22 PM
Albinson Brock,Corp. VP,2022-09-01,Sale,243.09,"8,054","1,957,847","7,990",Sep 06 05:22 PM
DeSilva Joseph,Corp VP,2022-09-01,Sale,243.09,"3,129","760,629","7,927",Sep 06 05:23 PM
Quevedo Alexander,Corp VP,2022-09-01,Sale,243.89,"1,724","420,461","3,860",Sep 06 05:23 PM
