Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Papermaster Mark D,Chief Technology Officer & EVP,2022-03-06,Option Exercise,6.98,"30,000","209,400","1,546,945",Mar 08 04:12 PM
Papermaster Mark D,Chief Technology Officer & EVP,2022-03-06,Sale,81.69,"30,000","2,450,804","1,516,945",Mar 08 04:12 PM
GRASBY PAUL DARREN,EVP & CSO,2022-02-15,Option Exercise,0.00,"13,334",0,"127,209",Feb 17 05:09 PM
GRASBY PAUL DARREN,EVP & CSO,2022-02-15,Sale,85.17,"12,500","1,064,625","108,442",Feb 17 05:09 PM
KUMAR DEVINDER,EVP,2022-02-14,Option Exercise,19.10,"32,000","611,200","587,750",Feb 16 04:21 PM
VANDERSLICE ELIZABETH W,Director,2022-02-14,Option Exercise,0.00,"1,636",0,"72,276",Feb 16 04:16 PM
Olson Jon A,Director,2022-02-14,Option Exercise,0.00,"1,636",0,"1,636",Feb 16 04:11 PM
KUMAR DEVINDER,EVP,2022-02-14,Sale,82.81,"32,000","2,649,864","555,750",Feb 16 04:21 PM
Bergman Rick,"EVP, Computing & Graphics",2022-02-09,Sale,85.88,"3,000","257,640","155,232",Feb 13 04:14 PM
Papermaster Mark D,Chief Technology Officer & EVP,2022-02-06,Option Exercise,6.98,"30,000","209,400","1,546,945",Feb 08 04:31 PM
Papermaster Mark D,Chief Technology Officer & EVP,2022-02-06,Sale,85.19,"30,000","2,555,727","1,516,945",Feb 08 04:31 PM
SMITH DARLA M,Chief Accounting Officer,2022-01-15,Option Exercise,0.00,472,0,"10,926",Jan 18 04:10 PM
GRASBY PAUL DARREN,EVP & CSO,2022-12-14,Sale,70.95,"16,153","1,146,055","113,875",Dec 16 04:15 PM
Su Lisa T,"Chair, President & CEO",2022-12-02,Option Exercise,2.92,"528,457","1,543,094","3,455,442",Dec 06 04:11 PM
Bergman Rick,"EVP, Computing & Graphics",2022-11-14,Sale,75.22,"3,000","225,660","158,232",Nov 16 04:07 PM
GRASBY PAUL DARREN,EVP & CSO,2022-10-12,Sale,57.45,"10,425","598,916","130,028",Oct 14 04:14 PM
Bergman Rick,"EVP, Computing & Graphics",2022-08-23,Sale,92.39,"3,000","277,170","161,232",Aug 25 04:11 PM
Su Lisa T,"Chairman, President & CEO",2022-08-18,Option Exercise,2.92,"125,000","365,000","3,051,985",Aug 18 06:22 PM
Su Lisa T,"Chairman, President & CEO",2022-08-18,Sale,100.02,"125,000","12,502,500","2,926,985",Aug 18 06:22 PM
Norrod Forrest Eugene,SVP & GM DESG,2022-08-18,Sale,99.31,824,"81,831","276,816",Aug 18 06:27 PM
Norrod Forrest Eugene,SVP & GM DESG,2022-08-16,Option Exercise,0.79,"91,244","71,765","321,186",Aug 18 06:27 PM
Su Lisa T,"Chairman, President & CEO",2022-08-16,Option Exercise,0.00,"451,587",0,"3,104,685",Aug 18 06:22 PM
