Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kohlhagen Steven W,Director,2022-03-06,Option Exercise,46.96,"5,440","255,462","41,114",Mar 06 04:19 PM
Kohlhagen Steven W,Director,2022-03-06,Sale,144.55,"5,440","786,328","35,674",Mar 06 04:19 PM
Conti Anthony James,Director,2022-03-03,Option Exercise,46.96,"2,000","93,920","28,078",Mar 06 04:01 PM
Conti Anthony James,Director,2022-03-03,Sale,143.61,"2,000","287,217","26,078",Mar 06 04:01 PM
Oscher Ronald J,CHIEF ADMINISTRATIVE OFFICER,2022-02-15,Sale,145.28,"6,500","944,302","28,563",Feb 16 04:02 PM
McClain Gretchen W,Director,2022-12-28,Option Exercise,46.96,"2,720","127,731","17,424",Dec 28 04:43 PM
McClain Gretchen W,Director,2022-12-28,Sale,140.62,"2,720","382,486","14,704",Dec 28 04:43 PM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-12-13,Option Exercise,60.30,100,"6,030","31,722",Dec 14 04:04 PM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-12-13,Sale,145.30,100,"14,530","31,622",Dec 14 04:04 PM
Kohlhagen Steven W,Director,2022-12-08,Sale,140.93,"2,700","380,509","37,464",Dec 08 04:03 PM
MONTGOMERY THOMAS M,SR. VP. - COMPTROLLER,2022-12-02,Option Exercise,60.30,"9,581","577,734","28,688",Dec 05 04:15 PM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-12-02,Option Exercise,60.30,"6,870","414,261","38,492",Dec 05 04:03 PM
MONTGOMERY THOMAS M,SR. VP. - COMPTROLLER,2022-12-02,Sale,144.40,"9,581","1,383,477","19,107",Dec 05 04:15 PM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-12-02,Sale,145.01,"6,870","996,189","31,622",Dec 05 04:03 PM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-11-23,Option Exercise,60.30,"10,000","603,000","41,622",Nov 28 08:16 AM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-11-23,Sale,142.05,"10,000","1,420,540","31,622",Nov 28 08:16 AM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-11-22,Option Exercise,60.30,"7,682","463,225","39,304",Nov 23 07:41 AM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-11-22,Sale,141.06,"7,682","1,083,638","31,622",Nov 23 07:41 AM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-11-21,Option Exercise,60.30,"2,318","139,775","33,940",Nov 22 08:34 AM
Marecic Thomas C,PRES. - ELECTRONIC INSTRUMENTS,2022-11-21,Sale,141.01,"2,318","326,851","31,622",Nov 22 08:34 AM
ZAPICO DAVID A,CHIEF EXECUTIVE OFFICER,2022-11-11,Option Exercise,60.30,"130,000","7,839,000","381,879",Nov 14 04:32 PM
Burke William Joseph,Executive VP - CFO,2022-11-11,Option Exercise,60.30,"6,271","378,141","96,300",Nov 14 04:20 PM
ZAPICO DAVID A,CHIEF EXECUTIVE OFFICER,2022-11-11,Sale,139.49,"130,000","18,133,274","251,879",Nov 14 04:32 PM
Burke William Joseph,Executive VP - CFO,2022-11-11,Sale,140.77,"6,271","882,782","90,029",Nov 14 04:20 PM
Burke William Joseph,Executive VP - CFO,2022-11-10,Option Exercise,60.30,"43,679","2,633,844","133,708",Nov 14 04:20 PM
