Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
DOLAN RAYMOND P,Director,2022-02-27,Option Exercise,87.82,"10,025","880,391","22,527",Mar 01 04:51 PM
DOLAN RAYMOND P,Director,2022-02-27,Sale,195.00,"10,025","1,954,875","17,473",Mar 01 04:51 PM
THOMPSON SAMME L,Director,2022-02-06,Option Exercise,76.90,"1,739","133,729","23,838",Feb 08 04:16 PM
THOMPSON SAMME L,Director,2022-02-06,Sale,218.59,"1,739","380,128","22,099",Feb 08 04:16 PM
Goel Sanjay,"EVP & President, Asia-Pacific",2022-02-02,Buy,232.56,5,"1,163","9,592",Feb 06 05:05 PM
DOLAN RAYMOND P,Director,2022-01-17,Option Exercise,76.90,"1,619","124,501","19,092",Jan 18 04:02 PM
DOLAN RAYMOND P,Director,2022-01-17,Sale,233.92,"1,619","378,716","17,473",Jan 18 04:02 PM
Smith Rodney M,"EVP, CFO & Treasurer",2022-01-17,Sale,233.92,"1,574","368,190","47,071",Jan 19 04:06 PM
DOLAN RAYMOND P,Director,2022-01-13,Option Exercise,76.90,"1,620","124,578","19,093",Jan 18 04:02 PM
DOLAN RAYMOND P,Director,2022-01-13,Sale,229.25,"1,620","371,385","17,473",Jan 18 04:02 PM
Smith Rodney M,"EVP, CFO & Treasurer",2022-01-09,Sale,220.85,"2,035","449,430","48,645",Jan 11 04:25 PM
THOMPSON SAMME L,Director,2022-01-03,Option Exercise,76.90,"1,500","115,350","23,599",Jan 05 04:28 PM
THOMPSON SAMME L,Director,2022-01-03,Sale,214.00,"1,500","321,000","22,099",Jan 05 04:28 PM
Smith Rodney M,"EVP, CFO & Treasurer",2022-12-14,Sale,222.72,"1,482","330,071","50,680",Dec 16 04:12 PM
REEVE PAMELA D A,Director,2022-12-12,Option Exercise,76.90,"3,239","249,079","20,712",Dec 14 04:09 PM
REEVE PAMELA D A,Director,2022-12-12,Sale,213.34,"3,239","691,008","17,473",Dec 14 04:09 PM
Meyer Robert Joseph JR,SVP & Chief Accounting Officer,2022-11-21,Sale,219.74,"1,000","219,740","26,010",Nov 23 04:19 PM
DiSanto Edmund,"EVP, Chief Admin Ofr, GC & Sec",2022-11-02,Option Exercise,76.90,"35,000","2,691,500","192,685",Nov 04 04:14 PM
DiSanto Edmund,"EVP, Chief Admin Ofr, GC & Sec",2022-11-02,Sale,207.20,"35,000","7,252,131","157,685",Nov 04 04:14 PM
REED JOANN A,Director,2022-10-28,Option Exercise,76.90,"3,239","249,079","55,785",Nov 01 04:45 PM
REED JOANN A,Director,2022-10-28,Sale,204.88,"1,231","252,207","54,554",Nov 01 04:45 PM
Goel Sanjay,"EVP & President, Asia-Pacific",2022-10-26,Buy,197.16,5,986,"9,587",Feb 06 05:05 PM
HORMATS ROBERT D,Director,2022-09-01,Sale,252.94,150,"37,941","6,421",Sep 06 04:25 PM
HORMATS ROBERT D,Director,2022-07-01,Sale,254.53,150,"38,180","6,571",Jul 06 04:03 PM
HORMATS ROBERT D,Director,2022-06-15,Sale,235.4,200,"47,080","6,721",Jun 17 05:50 PM
HORMATS ROBERT D,Director,2022-06-01,Sale,256.13,200,"51,226","6,921",Jun 03 04:08 PM
Tanner Bruce L,Director,2022-04-29,Buy,244.96,9,"2,205","2,514",May 03 04:07 PM
Smith Rodney M,"EVP, CFO & Treasurer",2022-04-21,Option Exercise,76.9,"25,389","1,952,414","77,787",Apr 25 04:24 PM
Smith Rodney M,"EVP, CFO & Treasurer",2022-04-21,Sale,270.0,"25,389","6,855,030","52,398",Apr 25 04:24 PM
Meyer Robert Joseph JR,SVP & Chief Accounting Officer,2022-03-15,Sale,235.76,"2,800","660,119","26,914",Mar 17 04:06 PM
THOMPSON SAMME L,Director,2022-02-04,Option Exercise,62.0,"1,590","98,580","22,808",Feb 08 04:15 PM
THOMPSON SAMME L,Director,2022-02-04,Sale,248.16,"1,590","394,574","21,218",Feb 08 04:15 PM
Tanner Bruce L,Director,2022-01-14,Buy,252.12,4,"1,008","1,624",Mar 14 07:56 PM
Smith Rodney M,"EVP, CFO & Treasurer",2022-01-13,Option Exercise,71.07,"3,956","281,153","52,404",Jan 18 04:11 PM
Smith Rodney M,"EVP, CFO & Treasurer",2022-01-13,Sale,260.0,"3,956","1,028,560","48,448",Jan 18 04:11 PM
THOMPSON SAMME L,Director,2022-01-03,Option Exercise,62.0,"2,000","124,000","23,218",Jan 05 04:30 PM
THOMPSON SAMME L,Director,2022-01-03,Sale,292.37,"2,000","584,740","21,218",Jan 05 04:30 PM
REEVE PAMELA D A,Director,2021-12-09,Option Exercise,62.0,"3,590","222,580","20,182",Dec 13 04:14 PM
REEVE PAMELA D A,Director,2021-12-09,Sale,273.02,"3,590","980,142","16,592",Dec 13 04:14 PM
REED JOANN A,Director,2021-11-16,Option Exercise,62.0,"3,590","222,580","52,531",Nov 18 04:31 PM
REED JOANN A,Director,2021-11-16,Sale,260.5,866,"225,593","51,665",Nov 18 04:31 PM
HORMATS ROBERT D,Director,2021-09-07,Sale,300.5,100,"30,050","6,240",Sep 09 04:17 PM
SHARBUTT DAVID E,Director,2021-09-03,Sale,300.71,739,"222,225",905,Sep 08 04:08 PM
HORMATS ROBERT D,Director,2021-08-24,Sale,289.49,100,"28,949","6,340",Aug 26 04:19 PM
SHARBUTT DAVID E,Director,2021-08-23,Option Exercise,81.18,"2,400","194,832","4,044",Aug 25 04:19 PM
SHARBUTT DAVID E,Director,2021-08-23,Sale,290.0,"2,400","696,000","1,644",Aug 25 04:19 PM
HORMATS ROBERT D,Director,2021-08-10,Sale,281.55,100,"28,155","6,440",Aug 12 04:20 PM
Meyer Robert Joseph JR,SVP & Chief Accounting Officer,2021-07-30,Sale,284.89,"5,289","1,506,801","27,242",Aug 03 04:12 PM
