Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Herrington Douglas J,CEO Worldwide Amazon Stores,2022-03-01,Sale,93.80,"4,000","375,200","560,298",Mar 03 04:26 PM
Reynolds Shelley,Vice President,2022-02-21,Option Exercise,0.00,"3,500",0,"123,280",Feb 23 05:38 PM
Olsavsky Brian T,Senior Vice President and CFO,2022-02-21,Option Exercise,0.00,"16,760",0,"65,760",Feb 23 05:47 PM
Zapolsky David,Senior Vice President,2022-02-21,Option Exercise,0.00,"16,760",0,"93,740",Feb 23 05:55 PM
Olsavsky Brian T,Senior Vice President and CFO,2022-02-21,Sale,95.25,"16,760","1,596,390","49,000",Feb 23 05:47 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2022-02-21,Sale,94.90,"7,456","707,543","564,298",Feb 23 06:05 PM
Zapolsky David,Senior Vice President,2022-02-21,Sale,94.91,"6,704","636,258","87,036",Feb 23 05:55 PM
Reynolds Shelley,Vice President,2022-02-21,Sale,94.91,"3,500","332,191","119,780",Feb 23 05:38 PM
Selipsky Adam,CEO Amazon Web Services,2022-02-16,Sale,100.16,241,"24,138","140,619",Feb 17 05:22 PM
GORELICK JAMIE S,Director,2022-02-15,Option Exercise,0.00,"1,960",0,"30,600",Feb 17 05:01 PM
WEEKS WENDELL P,Director,2022-02-15,Option Exercise,0.00,"1,900",0,"40,600",Feb 17 04:57 PM
Jassy Andrew R,President and CEO,2022-02-15,Option Exercise,0.00,"60,000",0,"1,988,380",Feb 17 05:29 PM
Selipsky Adam,CEO Amazon Web Services,2022-02-15,Option Exercise,0.00,"29,500",0,"153,180",Feb 17 05:22 PM
Jassy Andrew R,President and CEO,2022-02-15,Sale,99.15,"23,874","2,367,061","1,964,506",Feb 17 05:29 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2022-02-15,Sale,99.18,"15,787","1,565,676","553,114",Feb 17 05:13 PM
Selipsky Adam,CEO Amazon Web Services,2022-02-15,Sale,99.21,"12,320","1,222,312","140,860",Feb 17 05:22 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2022-02-06,Sale,102.90,"4,000","411,600","529,435",Feb 08 04:37 PM
Selipsky Adam,CEO Amazon Web Services,2022-02-03,Sale,106.09,500,"53,045","123,680",Feb 06 04:44 PM
Selipsky Adam,CEO Amazon Web Services,2022-02-02,Sale,111.43,"5,100","568,280","124,180",Feb 06 04:44 PM
AMAZON COM INC,10% Owner,2022-12-16,Sale,26.99,"260,000","7,017,400","13,918,445",Dec 20 04:36 PM
Zapolsky David,Senior Vice President,2022-11-21,Option Exercise,0.00,"16,740",0,"85,360",Nov 23 04:28 PM
Olsavsky Brian T,Senior Vice President and CFO,2022-11-21,Option Exercise,0.00,"16,740",0,"64,240",Nov 23 04:35 PM
Reynolds Shelley,Vice President,2022-11-21,Option Exercise,0.00,"3,500",0,"123,280",Nov 23 04:22 PM
Olsavsky Brian T,Senior Vice President and CFO,2022-11-21,Sale,94.00,"15,240","1,432,560","49,000",Nov 23 04:35 PM
Zapolsky David,Senior Vice President,2022-11-21,Sale,94.00,"8,380","787,720","76,980",Nov 23 04:28 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2022-11-21,Sale,94.00,"7,456","700,864","533,435",Nov 23 04:49 PM
Reynolds Shelley,Vice President,2022-11-21,Sale,94.00,"3,500","329,000","119,780",Nov 23 04:22 PM
Huttenlocher Daniel P,Director,2022-11-17,Sale,95.70,"1,720","164,599","22,440",Nov 17 04:41 PM
Selipsky Adam,CEO Amazon Web Services,2022-11-15,Option Exercise,0.00,"29,480",0,"142,275",Nov 17 05:01 PM
STONESIFER PATRICIA Q,Director,2022-11-15,Option Exercise,0.00,"3,440",0,"46,220",Nov 17 04:54 PM
RUBINSTEIN JONATHAN,Director,2022-11-15,Option Exercise,0.00,"3,440",0,"124,880",Nov 17 04:49 PM
Huttenlocher Daniel P,Director,2022-11-15,Option Exercise,0.00,"3,440",0,"24,160",Nov 17 04:41 PM
Alexander Keith Brian,Director,2022-11-15,Option Exercise,0.00,"1,920",0,"3,840",Nov 17 04:35 PM
COOPER EDITH W,Director,2022-11-15,Option Exercise,0.00,"1,900",0,"2,380",Nov 17 04:28 PM
Jassy Andrew R,President and CEO,2022-11-15,Option Exercise,0.00,"60,000",0,"1,952,000",Nov 17 05:08 PM
Jassy Andrew R,President and CEO,2022-11-15,Sale,101.46,"23,620","2,396,584","1,928,380",Nov 17 05:08 PM
