Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Larsen Michael M,Director,2022-03-06,Buy,66.89,"4,000","267,540","11,425",Mar 09 11:58 AM
Heideman Robert J,"Senior VP, CTO",2022-02-15,Option Exercise,42.39,"12,283","520,676","23,695",Feb 15 03:47 PM
Heideman Robert J,"Senior VP, CTO",2022-02-15,Sale,67.31,"12,283","826,817","11,412",Feb 15 03:47 PM
Karge Douglas Samuel,SVP - President NA Water Treat,2022-02-10,Option Exercise,0.00,975,0,"2,396",Feb 14 12:21 PM
Otchere Benjamin A,Vice President and Controller,2022-02-10,Option Exercise,0.00,530,0,744,Feb 14 12:20 PM
Rajendra Ajita G,Director,2022-02-10,Option Exercise,0.00,"29,490",0,"68,686",Feb 14 12:20 PM
Kempken Daniel L,SVP - Strategy & Corp. Dev.,2022-02-10,Option Exercise,0.00,"1,400",0,"9,744",Feb 14 12:21 PM
Lauber Charles T,EVP & CFO,2022-02-10,Option Exercise,0.00,"7,085",0,"36,575",Feb 14 12:20 PM
Wheeler Kevin J.,"Chairman, President and CEO",2022-02-10,Option Exercise,0.00,"31,140",0,"79,164",Feb 14 12:18 PM
Heideman Robert J,"Senior VP, CTO",2022-02-10,Option Exercise,0.00,"3,540",0,"13,167",Feb 14 12:18 PM
Warren David R,Senior VP & President and GM,2022-02-10,Option Exercise,0.00,"4,670",0,"13,032",Feb 14 12:19 PM
Carver Samuel M.,SVP - Global Operations,2022-02-10,Option Exercise,0.00,"1,155",0,"2,309",Feb 14 12:17 PM
Petrarca Mark A,Senior Vice Pres. - H.R. & P.A,2022-02-10,Option Exercise,0.00,"3,890",0,"95,586",Feb 14 12:17 PM
STERN JAMES F,"Exec VP, General Counsel & Sec",2022-02-10,Option Exercise,0.00,"5,915",0,"145,317",Feb 14 12:17 PM
Kempken Daniel L,SVP - Strategy & Corp. Dev.,2022-02-06,Option Exercise,17.46,"2,500","43,655","10,843",Feb 07 09:25 AM
Kempken Daniel L,SVP - Strategy & Corp. Dev.,2022-02-06,Sale,68.35,"2,500","170,875","8,344",Feb 07 09:25 AM
Carver Samuel M.,SVP - Global Operations,2022-02-03,Sale,69.65,"4,000","278,603","1,154",Feb 06 02:03 PM
Rajendra Ajita G,Director,2022-02-02,Option Exercise,61.76,"39,100","2,414,816","78,296",Feb 03 12:11 PM
Rajendra Ajita G,Director,2022-02-02,Sale,71.02,"39,100","2,777,042","39,196",Feb 03 12:11 PM
BROWN RONALD D,Director,2022-11-11,Sale,60.48,"4,165","251,903","4,731",Nov 14 04:35 PM
Carver Samuel M.,SVP - Global Operations,2022-05-03,Sale,59.57,"2,000","119,140","5,144",May 03 04:15 PM
