Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Riney Stephen J,Executive Vice Pres & CFO,2022-02-01,Option Exercise,0.00,"10,794",0,"30,222",Feb 03 10:52 AM
Pursell David A,Exec. Vice Pres - Development,2022-02-01,Option Exercise,0.00,"7,331",0,"77,964",Feb 03 10:49 AM
Maddox Mark D,Executive VP - Administration,2022-02-01,Option Exercise,0.00,"4,684",0,"52,155",Feb 03 10:47 AM
LANNIE P ANTHONY,Exec. Vice Pres & Gen Counsel,2022-02-01,Option Exercise,0.00,"6,794",0,"77,866",Feb 03 10:44 AM
Hoyt Rebecca A,"Sr. VP, Chief Acct Officer",2022-02-01,Option Exercise,0.00,"3,869",0,"89,233",Feb 03 10:41 AM
CHRISTMANN JOHN J,CEO and President,2022-02-01,Option Exercise,0.00,"22,946",0,"534,938",Feb 03 10:38 AM
Bretches D. Clay,"Exec. VP, Operations",2022-02-01,Option Exercise,0.00,"7,331",0,"42,675",Feb 03 10:35 AM
Henderson Tracey K,Executive VP Exploration,2022-02-01,Option Exercise,0.00,"4,480",0,"12,650",Feb 03 10:31 AM
Riney Stephen J,Executive Vice Pres & CFO,2022-01-25,Option Exercise,0.00,"71,948",0,"91,376",Jan 26 05:51 PM
Pursell David A,Exec. Vice Pres - Development,2022-01-25,Option Exercise,0.00,"48,872",0,"119,505",Jan 26 05:49 PM
LANNIE P ANTHONY,Exec. Vice Pres & Gen Counsel,2022-01-25,Option Exercise,0.00,"45,286",0,"116,358",Jan 26 05:47 PM
Hoyt Rebecca A,"Sr. VP, Chief Acct Officer",2022-01-25,Option Exercise,0.00,"25,792",0,"111,156",Jan 26 05:45 PM
CHRISTMANN JOHN J,CEO and President,2022-01-25,Option Exercise,0.00,"168,243",0,"680,235",Jan 26 05:43 PM
Bretches D. Clay,"Exec. VP, Operations",2022-01-25,Option Exercise,0.00,"32,581",0,"67,897",Jan 26 05:41 PM
Maddox Mark D,Executive VP - Administration,2022-01-25,Option Exercise,0.00,"25,339",0,"72,810",Jan 26 05:38 PM
Riney Stephen J,Executive Vice Pres & CFO,2022-01-05,Option Exercise,0.00,"19,654",0,"42,966",Jan 09 05:45 PM
Pursell David A,Exec. Vice Pres - Development,2022-01-05,Option Exercise,0.00,"13,350",0,"75,887",Jan 09 05:43 PM
LANNIE P ANTHONY,Exec. Vice Pres & Gen Counsel,2022-01-05,Option Exercise,0.00,"12,371",0,"75,940",Jan 09 05:41 PM
Hoyt Rebecca A,"Sr. VP, Chief Acct Officer",2022-01-05,Option Exercise,0.00,"7,046",0,"88,137",Jan 09 05:38 PM
CHRISTMANN JOHN J,CEO and President,2022-01-05,Option Exercise,0.00,"45,958",0,"530,077",Jan 09 05:36 PM
Bretches D. Clay,"Exec. VP, Operations",2022-01-05,Option Exercise,0.00,"8,343",0,"38,599",Jan 09 05:34 PM
Riney Stephen J,Executive Vice Pres & CFO,2022-01-03,Option Exercise,0.00,"12,379",0,"28,184",Jan 05 04:41 PM
Pursell David A,Exec. Vice Pres - Development,2022-01-03,Option Exercise,0.00,"8,408",0,"65,846",Jan 05 04:40 PM
CHRISTMANN JOHN J,CEO and President,2022-01-03,Option Exercise,0.00,"28,945",0,"495,509",Jan 05 04:38 PM
LANNIE P ANTHONY,Exec. Vice Pres & Gen Counsel,2022-01-03,Option Exercise,0.00,"7,792",0,"66,636",Jan 05 04:35 PM
Hoyt Rebecca A,"Sr. VP, Chief Acct Officer",2022-01-03,Option Exercise,0.00,"4,438",0,"82,838",Jan 05 04:34 PM
Bretches D. Clay,"Exec. VP, Operations",2022-01-03,Option Exercise,0.00,"5,255",0,"32,324",Jan 05 04:32 PM
Riney Stephen J,Executive Vice Pres & CFO,2022-01-01,Option Exercise,0.00,"43,436",0,"59,241",Jan 04 05:44 PM
Bretches D. Clay,"Exec. VP, Operations",2022-01-01,Option Exercise,0.00,"5,976",0,"33,045",Jan 04 04:16 PM
LANNIE P ANTHONY,Exec. Vice Pres & Gen Counsel,2022-01-01,Option Exercise,0.00,"28,128",0,"86,972",Jan 04 04:12 PM
Pursell David A,Exec. Vice Pres - Development,2022-01-01,Option Exercise,0.00,"23,904",0,"81,342",Jan 04 04:15 PM
Hoyt Rebecca A,"Sr. VP, Chief Acct Officer",2022-01-01,Option Exercise,0.00,"15,860",0,"94,260",Jan 04 04:11 PM
Hoyt Rebecca A,"Sr. VP, Chief Acct Officer",2022-07-15,Option Exercise,0.0,463,0,"78,400",Jul 18 02:55 PM
LANNIE P ANTHONY,Exec. Vice Pres & Gen Counsel,2022-05-16,Sale,41.26,"86,750","3,579,305","58,844",May 16 09:59 PM
LANNIE P ANTHONY,Exec. Vice Pres & Gen Counsel,2022-03-07,Sale,39.9,"40,800","1,627,920","145,594",Mar 08 12:07 PM
Joung Chansoo,Director,2022-02-25,Buy,32.92,"40,000","1,316,992","65,285",Feb 28 06:21 PM
Riney Stephen J,Executive Vice Pres & CFO,2022-02-24,Buy,31.47,"6,300","198,258","126,400",Feb 24 05:22 PM
