Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Gavelle Jean-Luc,"President, ISS Division",2022-02-09,Option Exercise,42.03,"129,800","5,454,888","75,000",Feb 10 02:01 PM
Gavelle Jean-Luc,"President, ISS Division",2022-02-09,Sale,81.64,"129,800","10,596,236",0,Feb 10 02:01 PM
NORWITT RICHARD ADAM,President & CEO,2022-02-03,Option Exercise,28.99,"650,000","18,843,500","1,617,424",Feb 07 08:46 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-02-03,Option Exercise,36.45,"25,000","911,250","50,700",Feb 07 08:49 AM
NORWITT RICHARD ADAM,President & CEO,2022-02-03,Sale,81.72,"650,000","53,115,790","967,424",Feb 07 08:46 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-02-03,Sale,82.19,"25,000","2,054,728","25,700",Feb 07 08:49 AM
Silverman David M,"Senior VP, Human Resources",2022-11-22,Option Exercise,28.98,"75,000","2,173,500","82,000",Nov 23 08:23 AM
Silverman David M,"Senior VP, Human Resources",2022-11-22,Sale,80.02,"75,000","6,001,522","7,000",Nov 23 08:23 AM
Doherty William J,"President, CS Division",2022-11-11,Option Exercise,39.42,"127,000","5,006,150","77,000",Nov 14 08:09 AM
WALTER LUC,"President, HES Division",2022-11-11,Option Exercise,28.99,"82,400","2,388,776","286,812",Nov 14 08:07 AM
Doherty William J,"President, CS Division",2022-11-11,Sale,79.82,"127,000","10,137,496",0,Nov 14 08:09 AM
WALTER LUC,"President, HES Division",2022-11-11,Sale,79.82,"82,400","6,577,399","204,412",Nov 14 08:07 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-11-10,Option Exercise,36.45,"40,000","1,458,000","65,700",Nov 14 08:12 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-11-10,Sale,78.79,"40,000","3,151,508","25,700",Nov 14 08:12 AM
Gavelle Jean-Luc,"President, ISS Division",2022-08-04,Option Exercise,28.99,"122,000","3,536,780","122,000",Aug 05 08:18 AM
Gavelle Jean-Luc,"President, ISS Division",2022-08-04,Sale,77.44,"122,000","9,447,643",0,Aug 05 08:18 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-08-02,Option Exercise,36.45,"20,000","729,000","45,700",Aug 03 02:35 PM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-08-02,Sale,76.87,"20,000","1,537,388","25,700",Aug 03 02:35 PM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-07-29,Option Exercise,36.45,"20,000","729,000","45,700",Aug 02 07:37 AM
D'AMICO LANCE E,"Sr. VP, Secretary & GenCounsel",2022-07-29,Sale,76.93,"20,000","1,538,614","25,700",Aug 02 07:37 AM
Doherty William J,"SR VP & GGM, AICC",2021-12-07,Option Exercise,33.71,"165,800","5,589,842","105,000",Dec 07 05:21 PM
Doherty William J,"SR VP & GGM, AICC",2021-12-07,Sale,83.77,"165,800","13,888,983",0,Dec 07 05:21 PM
