Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
McGee Grant E.,Sr. Vice President,2022-03-06,Option Exercise,587.13,"1,575","924,730","1,821",Mar 07 04:06 PM
McGee Grant E.,Sr. Vice President,2022-03-06,Sale,2511.63,"1,575","3,955,817",246,Mar 07 04:06 PM
Daniele Philip B.,Executive Vice President,2022-01-20,Option Exercise,587.13,250,"146,782",820,Jan 20 05:50 PM
RHODES WILLIAM C III,"Chairman, President & CEO",2022-01-11,Sale,2431.95,"3,800","9,241,410",0,Jan 11 09:26 PM
RHODES WILLIAM C III,"Chairman, President & CEO",2022-01-09,Sale,2479.29,"1,200","2,975,150","3,800",Jan 11 09:26 PM
McGee Grant E.,Sr. Vice President,2022-01-05,Option Exercise,744.85,"1,700","1,266,245","1,946",Jan 06 04:05 PM
Daniele Philip B.,Executive Vice President,2022-01-05,Option Exercise,784.41,448,"351,416","1,018",Jan 06 04:05 PM
McGee Grant E.,Sr. Vice President,2022-01-05,Sale,2450.00,"1,700","4,165,000",246,Jan 06 04:05 PM
Daniele Philip B.,Executive Vice President,2022-01-05,Sale,2450.00,448,"1,097,600",570,Jan 06 04:05 PM
MRKONIC GEORGE R JR,Director,2022-01-05,Sale,2441.21,138,"337,693","3,764",Jan 06 04:05 PM
Daniele Philip B.,Executive Vice President,2022-01-04,Option Exercise,784.41,"3,872","3,037,236","4,442",Jan 06 04:05 PM
Daniele Philip B.,Executive Vice President,2022-01-04,Sale,2450.38,"3,872","9,487,868",570,Jan 06 04:05 PM
McGee Grant E.,Sr. Vice President,2022-12-22,Option Exercise,744.62,500,"372,310",744,Dec 23 02:36 PM
McGee Grant E.,Sr. Vice President,2022-12-22,Sale,2400.00,500,"1,200,000",244,Dec 23 02:36 PM
RHODES WILLIAM C III,"Chairman, President & CEO",2022-12-12,Sale,2451.51,"2,500","6,128,770","1,176",Dec 14 04:04 PM
PLEAS CHARLES III,Sr. VP Finance and Accounting,2022-12-08,Option Exercise,507.79,"6,400","3,249,856","10,674",Dec 09 04:14 PM
PLEAS CHARLES III,Sr. VP Finance and Accounting,2022-12-08,Sale,2475.25,"6,454","15,975,271","4,220",Dec 09 04:14 PM
Murphy John Scott,"Vice President, Controller",2022-12-07,Option Exercise,507.79,"2,070","1,051,125","3,233",Dec 09 04:14 PM
Murphy John Scott,"Vice President, Controller",2022-12-07,Sale,2453.19,"2,070","5,078,111","1,163",Dec 09 04:14 PM
Saltiel Albert,Sr. Vice President,2022-10-27,Option Exercise,744.85,"1,500","1,117,275","2,028",Oct 28 04:19 PM
Saltiel Albert,Sr. Vice President,2022-10-27,Sale,2450.00,"1,500","3,675,000",528,Oct 28 04:19 PM
Wright Kristen C.,"Sr. VP, Sec. & Gen Counsel",2022-10-13,Option Exercise,744.62,"2,075","1,545,086","2,276",Oct 14 04:50 PM
Wright Kristen C.,"Sr. VP, Sec. & Gen Counsel",2022-10-13,Sale,2278.00,"2,075","4,726,850",201,Oct 14 04:50 PM
RHODES WILLIAM C III,"Chairman, President & CEO",2022-10-11,Option Exercise,736.00,"15,000","11,040,000","30,976",Oct 11 07:50 PM
