Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Sethi Alok,"EVP, Technology and Operations",2022-02-01,Sale,31.09,"29,503","917,325","92,132",Feb 01 03:13 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-11-08,Buy,4.21,"10,134","42,641","9,990,587",Nov 10 09:34 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-11-07,Buy,4.24,"44,574","189,003","9,980,453",Nov 08 09:02 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-11-04,Buy,4.17,"40,694","169,767","9,935,879",Nov 08 09:02 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-11-03,Buy,4.15,"50,786","210,559","9,895,185",Nov 04 09:30 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-11-02,Buy,4.15,"55,596","230,451","9,844,399",Nov 04 09:30 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-11-01,Buy,4.28,"65,500","280,445","9,788,803",Nov 02 09:29 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-31,Buy,4.29,"65,118","279,076","9,723,303",Nov 02 09:29 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-28,Buy,4.25,"64,406","273,539","9,658,185",Oct 31 09:02 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-27,Buy,4.20,"55,502","233,219","9,593,779",Oct 31 09:02 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-26,Buy,4.26,"71,000","302,140","9,538,277",Oct 27 11:01 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-25,Buy,4.18,"70,500","294,514","9,467,277",Oct 27 11:01 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-24,Buy,4.07,"53,800","219,036","9,396,777",Oct 25 12:12 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-21,Buy,4.07,"37,672","153,479","9,342,977",Oct 25 12:12 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-20,Buy,4.08,"66,413","271,217","9,305,305",Oct 21 09:15 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-19,Buy,4.06,"61,729","250,811","9,238,892",Oct 21 09:15 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-18,Buy,4.08,"60,150","245,466","9,177,163",Oct 19 09:08 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-17,Buy,4.16,"51,277","213,087","9,117,013",Oct 19 09:08 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-14,Buy,4.09,"59,500","243,397","9,065,736",Oct 17 09:15 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-13,Buy,4.16,"59,700","248,233","9,006,236",Oct 17 09:15 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-12,Buy,4.19,"46,244","193,661","8,946,536",Oct 13 09:13 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-11,Buy,4.26,"56,167","239,232","8,900,292",Oct 13 09:13 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-10,Buy,4.29,"36,136","155,005","8,844,125",Oct 11 09:29 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-07,Buy,4.27,"17,402","74,317","8,807,989",Oct 11 09:29 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-05,Buy,12.73,"1,963,865","25,000,000","7,867,833",Oct 07 12:06 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-10-05,Buy,4.27,"2,967,386","12,670,738","8,790,587",Oct 07 09:12 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-21,Buy,4.50,"49,621","223,285","5,823,201",Sep 22 09:39 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-20,Buy,4.49,"50,921","228,717","5,773,580",Sep 22 09:39 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-19,Buy,4.51,"66,591","300,465","5,722,659",Sep 20 09:16 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-16,Buy,4.47,"49,769","222,477","5,656,068",Sep 20 09:16 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-15,Buy,4.54,"72,568","329,219","5,606,299",Sep 16 02:11 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-14,Buy,4.55,"38,437","174,854","5,533,731",Sep 16 02:11 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-14,Buy,30.50,100,"3,050","73,014",Sep 16 01:02 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-13,Buy,4.58,"53,895","247,092","5,495,294",Sep 14 11:53 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-13,Buy,30.74,"4,917","151,170","72,914",Sep 14 10:42 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-12,Buy,4.61,"70,903","327,139","5,441,399",Sep 14 11:53 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-12,Buy,31.35,"4,500","141,075","67,997",Sep 14 10:42 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-09,Buy,30.74,"4,194","128,908","63,497",Sep 12 04:15 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-09-09,Buy,4.56,"26,347","120,137","5,370,496",Sep 12 10:00 AM
