Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Singhal Priya,Head of Development,2022-03-02,Option Exercise,0.00,297,0,"3,554",Mar 06 06:13 PM
Singhal Priya,Head of Development,2022-02-17,Option Exercise,0.00,460,0,"3,951",Feb 22 05:07 PM
Kramer Robin,Chief Accounting Officer,2022-02-17,Option Exercise,0.00,512,0,"3,844",Feb 22 05:01 PM
MCDONNELL MICHAEL R,"EVP, Chief Financial Officer",2022-02-17,Option Exercise,0.00,"2,561",0,"10,147",Feb 22 05:03 PM
Izzar Rachid,Head of Global Product Strat.,2022-02-17,Option Exercise,0.00,767,0,"5,884",Feb 22 04:57 PM
Gregory Ginger,"EVP, Human Resources",2022-02-17,Option Exercise,0.00,"1,792",0,"11,072",Feb 22 04:54 PM
ALEXANDER SUSAN H,EVP Chief Legal Off & Corp Sec,2022-02-17,Option Exercise,0.00,"1,920",0,"46,840",Feb 22 04:49 PM
ALEXANDER SUSAN H,EVP Chief Legal Off & Corp Sec,2022-02-10,Option Exercise,0.00,"4,023",0,"48,358",Feb 14 09:46 PM
Gregory Ginger,"EVP, Human Resources",2022-02-10,Option Exercise,0.00,"3,290",0,"12,805",Feb 14 09:44 PM
Izzar Rachid,Head of Global Product Strat.,2022-02-10,Option Exercise,0.00,"1,968",0,"6,359",Feb 14 09:41 PM
Kramer Robin,Chief Accounting Officer,2022-02-10,Option Exercise,0.00,"1,061",0,"3,932",Feb 14 09:37 PM
MCDONNELL MICHAEL R,"EVP, Chief Financial Officer",2022-02-10,Option Exercise,0.00,"3,256",0,"10,001",Feb 14 09:25 PM
Murphy Nicole,Head of Pharm Ops and Tech,2022-02-10,Option Exercise,0.00,"2,611",0,"6,379",Feb 14 09:23 PM
Singhal Priya,Head of Development,2022-02-10,Option Exercise,0.00,"1,211",0,"3,863",Feb 14 09:21 PM
Kramer Robin,Chief Accounting Officer,2022-12-08,Option Exercise,0.00,350,0,"2,368",Dec 12 06:04 PM
Izzar Rachid,Head of Alzheimer's Disease,2022-12-02,Option Exercise,0.00,"1,710",0,"3,395",Dec 06 06:37 PM
Murphy Nicole,Head of Pharm Ops and Tech,2022-12-02,Option Exercise,0.00,131,0,"2,807",Dec 06 06:33 PM
Gregory Ginger,"EVP, Human Resources",2022-11-14,Sale,300.11,"5,610","1,683,617","5,711",Dec 12 08:00 PM
ALEXANDER SUSAN H,EVP Chief Legal Off & Corp Sec,2022-10-27,Sale,280.70,"5,532","1,552,832","39,396",Oct 28 07:19 PM
MCDONNELL MICHAEL R,"EVP, Chief Financial Officer",2022-09-01,Option Exercise,0.00,"4,746",0,"7,801",Sep 06 07:31 PM
BIOGEN INC.,10% Owner,2022-08-30,Sale,5.27,"100,000","526,520","23,652,466",Aug 31 07:03 PM
BIOGEN INC.,10% Owner,2022-08-29,Sale,5.33,"400,000","2,130,720","23,752,466",Aug 31 07:03 PM
Murphy Nicole,Head of Pharm Ops and Tech,2022-08-01,Option Exercise,0.00,"1,080",0,"2,919",Aug 03 05:40 PM
Kramer Robin,Chief Accounting Officer,2022-07-01,Option Exercise,0.0,252,0,"2,092",Jul 06 07:33 PM
Izzar Rachid,Head of Alzheimer's Disease,2022-07-01,Option Exercise,0.0,504,0,"2,258",Jul 06 07:28 PM
Vounatsos Michel,Chief Executive Officer,2022-02-18,Option Exercise,0.0,"6,191",0,"70,007",Feb 23 04:21 PM
MCDONNELL MICHAEL R,"EVP, Chief Financial Officer",2022-02-18,Option Exercise,0.0,"1,981",0,"5,404",Feb 23 04:19 PM
Izzar Rachid,Head of Alzheimer's Disease,2022-02-18,Option Exercise,0.0,594,0,"1,929",Feb 23 04:16 PM
Kramer Robin,Chief Accounting Officer,2022-02-18,Option Exercise,0.0,396,0,"1,854",Feb 23 04:18 PM
Murphy Nicole,Head of Pharm Ops and Tech,2022-02-18,Option Exercise,0.0,371,0,"1,768",Feb 23 04:20 PM
Guindo Chirfi,Head of Glob Prod Strat & Com,2022-02-18,Option Exercise,0.0,"1,981",0,"8,243",Feb 23 04:15 PM
Gregory Ginger,"EVP, Human Resources",2022-02-18,Option Exercise,0.0,"1,387",0,"11,835",Feb 23 04:15 PM
ALEXANDER SUSAN H,EVP Chief Legal Off & Corp Sec,2022-02-18,Option Exercise,0.0,"1,485",0,"45,587",Feb 23 04:14 PM
ALEXANDER SUSAN H,EVP Chief Legal Off & Corp Sec,2022-02-12,Option Exercise,0.0,"2,280",0,"45,646",Feb 15 04:17 PM
Guindo Chirfi,Head of Glob Prod Strat & Com,2022-02-12,Option Exercise,0.0,"2,597",0,"8,044",Feb 15 04:15 PM
