Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2022-03-08,Option Exercise,167.82,"1,000","167,819","4,417",Mar 08 08:00 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2022-03-08,Sale,486.43,"1,746","849,300","2,671",Mar 08 08:00 PM
WRIGHT DARA,Executive Vice President,2022-12-16,Option Exercise,0.00,502,0,"1,988",Dec 19 11:52 AM
RAMALINGAM AJIT,"SVP, Chief Accounting Officer",2022-11-10,Sale,421.87,379,"160,051",0,Nov 14 04:33 PM
Crowley Michael,"EVP, GBL Commercial Operations",2022-09-05,Option Exercise,0.00,600,0,"6,838",Sep 07 02:07 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2022-09-05,Option Exercise,0.00,500,0,"3,653",Sep 07 02:13 PM
MAY SIMON,"EVP, President, LSG",2022-09-05,Option Exercise,0.00,600,0,"1,848",Sep 07 02:16 PM
Allison Schwartz,Director,2022-09-05,Option Exercise,0.00,80,0,"1,060",Sep 07 02:22 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2022-09-05,Option Exercise,0.00,"2,600",0,"429,419",Sep 07 02:24 PM
Dahowski Diane,"EVP, Global Supply Chain",2022-09-05,Option Exercise,0.00,600,0,"10,682",Sep 07 02:10 PM
Dahowski Diane,"EVP, Global Supply Chain",2022-09-04,Option Exercise,0.00,600,0,"10,380",Sep 07 02:10 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2022-09-04,Option Exercise,0.00,"2,600",0,"428,394",Sep 07 02:24 PM
Allison Schwartz,Director,2022-09-04,Option Exercise,0.00,82,0,"1,014",Sep 07 02:22 PM
MAY SIMON,"EVP, President, LSG",2022-09-04,Option Exercise,0.00,600,0,"1,533",Sep 07 02:16 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2022-09-04,Option Exercise,0.00,500,0,"3,401",Sep 07 02:13 PM
Crowley Michael,"EVP, GBL Commercial Operations",2022-09-04,Option Exercise,0.00,600,0,"6,536",Sep 07 02:07 PM
Dahowski Diane,"EVP, Global Supply Chain",2022-09-03,Option Exercise,0.00,495,0,"9,968",Sep 07 02:10 PM
Crowley Michael,"EVP, GBL Commercial Operations",2022-09-03,Option Exercise,0.00,557,0,"6,177",Sep 07 02:07 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2022-09-03,Option Exercise,0.00,464,0,"3,062",Sep 07 02:13 PM
MAY SIMON,"EVP, President, LSG",2022-09-03,Option Exercise,0.00,526,0,"1,115",Sep 07 02:16 PM
Allison Schwartz,Director,2022-09-03,Option Exercise,0.00,56,0,955,Sep 07 02:22 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2022-09-03,Option Exercise,0.00,"2,319",0,"427,199",Sep 07 02:24 PM
WRIGHT DARA,Executive Vice President,2022-09-02,Option Exercise,0.00,433,0,"1,610",Sep 07 02:27 PM
SCHWARTZ NORMAN D,"Chairman, President, and CEO",2022-09-02,Option Exercise,0.00,"1,805",0,"425,974",Sep 07 02:24 PM
Allison Schwartz,Director,2022-09-02,Option Exercise,0.00,43,0,917,Sep 07 02:22 PM
RAMALINGAM AJIT,"SVP, Chief Accounting Officer",2022-09-02,Option Exercise,0.00,241,0,449,Sep 07 02:20 PM
MAY SIMON,"EVP, President, LSG",2022-09-02,Option Exercise,0.00,409,0,731,Sep 07 02:16 PM
Last Andrew J.,"EVP, Chief Operating Officer",2022-09-02,Option Exercise,0.00,902,0,"3,531",Sep 07 02:14 PM
ERNST TIMOTHY S,"EVP, General Counsel & Sec",2022-09-02,Option Exercise,0.00,361,0,"2,723",Sep 07 02:13 PM
Crowley Michael,"EVP, GBL Commercial Operations",2022-09-02,Option Exercise,0.00,433,0,"5,770",Sep 07 02:07 PM
Daskal Ilan,"EVP, Chief Financial Officer",2022-09-02,Option Exercise,0.00,541,0,"1,222",Sep 07 02:04 PM
Dahowski Diane,"EVP, Global Supply Chain",2022-09-02,Option Exercise,0.00,361,0,"9,598",Sep 07 02:10 PM
