Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kushel J. Richard,Senior Managing Director,2022-02-27,Sale,689.06,575,"396,208","4,670",Feb 27 07:09 PM
Comerchero Marc D.,Principal Accounting Officer,2022-02-09,Sale,728.66,650,"473,631","3,055",Feb 10 06:12 PM
Kushel J. Richard,Senior Managing Director,2022-02-07,Sale,742.31,"1,000","742,310","74,307",Feb 09 07:45 PM
Kushel J. Richard,Senior Managing Director,2022-02-03,Sale,760.67,"3,021","2,297,976","75,307",Feb 03 06:26 PM
Wiedman Mark,Senior Managing Director,2022-02-03,Sale,755.18,"2,000","1,510,360","8,239",Feb 03 06:34 PM
Cohen Stephen,Senior Managing Director,2022-02-03,Sale,756.26,390,"294,941","4,357",Feb 03 06:42 PM
Kushel J. Richard,Senior Managing Director,2022-02-02,Sale,777.22,"1,786","1,388,113","78,328",Feb 03 06:26 PM
Wiedman Mark,Senior Managing Director,2022-02-02,Sale,774.90,"1,233","955,446","10,239",Feb 03 06:34 PM
Cohen Stephen,Senior Managing Director,2022-01-30,Sale,753.46,"1,149","865,726","4,135",Feb 01 06:36 PM
Wiedman Mark,Senior Managing Director,2022-01-18,Sale,749.89,"1,075","806,133","8,682",Jan 19 07:03 PM
FINK LAURENCE,Chairman and CEO,2022-11-22,Sale,732.25,"40,960","29,992,925","508,211",Nov 23 06:13 PM
Mehta Manish,Senior Managing Director,2022-11-15,Sale,742.81,"1,350","1,002,791","10,059",Nov 17 07:06 PM
Lord Rachel,Senior Managing Director,2022-11-11,Sale,773.41,"3,950","3,054,956","8,319",Nov 15 08:15 PM
Wiedman Mark,Senior Managing Director,2022-11-11,Sale,781.11,"2,100","1,640,323","9,389",Nov 15 08:08 PM
McCombe Mark,Senior Managing Director,2022-11-11,Sale,770.55,"1,000","770,554","20,106",Nov 15 07:55 PM
FINK LAURENCE,Chairman and CEO,2022-11-08,Sale,685.58,"14,600","10,009,526","549,171",Nov 10 06:11 PM
McCombe Mark,Senior Managing Director,2022-08-18,Sale,739.79,"1,360","1,006,110","21,106",Aug 19 05:37 PM
FINK LAURENCE,Chairman and CEO,2022-08-03,Sale,684.61,"44,500","30,465,056","563,771",Aug 05 06:07 PM
KAPITO ROBERT,President,2022-07-25,Sale,632.88,"37,588","23,788,680","226,680",Jul 27 05:52 PM
FORD WILLIAM E,Director,2022-04-18,Buy,681.44,"2,000","1,362,880","14,915",Apr 18 06:06 PM
FORD WILLIAM E,Director,2022-04-14,Buy,701.0,"1,000","701,000","12,915",Apr 18 06:06 PM
McCombe Mark,Senior Managing Director,2022-02-07,Sale,819.32,"1,400","1,147,049","22,588",Feb 09 05:52 PM
FINK LAURENCE,Chairman and CEO,2021-12-02,Sale,920.92,"16,365","15,070,818","589,724",Dec 03 08:20 PM
Kushel J. Richard,Senior Managing Director,2021-11-08,Sale,964.45,405,"390,602","5,245",Nov 10 04:26 PM
FINK LAURENCE,Chairman and CEO,2021-10-26,Sale,936.35,"5,000","4,681,766","606,089",Oct 27 05:11 PM
FINK LAURENCE,Chairman and CEO,2021-10-25,Sale,925.68,"22,247","20,593,675","616,524",Oct 27 05:11 PM
McCombe Mark,Senior Managing Director,2021-08-16,Sale,910.5,"2,000","1,821,000","18,804",Aug 18 04:24 PM
Meade Christopher J.,General Counsel and CLO,2021-07-20,Sale,877.24,"2,106","1,847,467","6,936",Jul 22 05:01 PM
Wiedman Mark,Senior Managing Director,2021-07-15,Sale,884.5,175,"154,787","7,766",Jul 16 05:12 PM
