Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BERKSHIRE HATHAWAY INC,10% Owner,2022-03-07,Buy,61.01,"1,760,686","107,423,963","200,153,441",Mar 07 07:12 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-03-06,Buy,61.56,"1,678,017","103,291,715","198,392,755",Mar 07 07:12 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-03-03,Buy,60.85,"2,363,088","143,797,794","196,714,738",Mar 07 07:12 PM
Jain Ajit,Vice Chairman,2022-03-02,Sale,303.28,"6,595","2,000,132","152,308",Mar 03 09:59 PM
Jain Ajit,Vice Chairman,2022-11-29,Sale,313.40,"4,020","1,259,868","158,903",Dec 01 04:51 PM
Abel Gregory,Vice Chair,2022-09-29,Buy,405942.34,61,"24,762,483",66,Oct 03 04:31 PM
Abel Gregory,Vice Chair,2022-09-29,Buy,406616.08,51,"20,737,420",117,Oct 03 04:31 PM
Abel Gregory,Vice Chair,2022-09-29,Buy,407470.40,33,"13,446,523",150,Oct 03 04:32 PM
Abel Gregory,Vice Chair,2022-09-29,Buy,408005.87,23,"9,384,135",173,Oct 03 04:33 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-09-28,Buy,60.71,"1,737,316","105,478,912","194,351,650",Sep 28 07:50 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-09-27,Buy,58.29,"2,705,798","157,709,330","192,614,334",Sep 28 07:50 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-09-26,Buy,57.91,"1,542,076","89,304,088","189,908,536",Sep 28 07:50 PM
Jain Ajit,Vice Chairman,2022-09-01,Sale,280.41,"2,500","701,016","162,923",Sep 02 11:12 AM
BERKSHIRE HATHAWAY INC,10% Owner,2022-08-08,Buy,59.67,"538,020","32,106,260","188,366,460",Aug 08 07:11 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-08-05,Buy,58.81,"1,668,274","98,117,721","187,828,440",Aug 08 07:11 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-08-04,Buy,58.21,"4,475,375","260,495,472","186,160,166",Aug 08 07:11 PM
Jain Ajit,Vice Chairman,2022-07-28,Sale,293.17,"3,420","1,002,643","165,423",Aug 01 05:31 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-16,Buy,59.67,"242,241","14,455,320","181,684,791",Jul 18 05:32 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-15,Buy,58.04,"1,148,281","66,646,072","181,442,550",Jul 18 05:32 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-14,Buy,56.14,"552,378","31,011,882","180,294,269",Jul 18 05:32 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-13,Buy,56.94,"65,199","3,712,470","179,741,891",Jul 13 07:03 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-12,Buy,57.19,"2,454,558","140,366,716","179,676,692",Jul 13 07:03 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-11,Buy,59.27,"1,784,389","105,762,667","177,222,134",Jul 13 07:03 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-06,Buy,57.95,"3,868,242","224,154,396","175,437,745",Jul 07 05:00 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-05,Buy,57.94,"8,174,228","473,623,552","171,569,503",Jul 07 05:00 PM
OLSON RONALD L,Director,2022-07-05,Buy,274.19,"1,515","415,398","1,515",Jul 07 05:39 PM
OLSON RONALD L,Director,2022-07-05,Buy,274.62,895,"245,785","5,630",Jul 07 05:39 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-07-01,Buy,59.01,"4,845,546","285,940,198","163,395,275",Jul 01 09:14 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-30,Buy,58.62,"2,906,229","170,349,032","158,549,729",Jul 01 09:14 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-29,Buy,59.08,"2,135,265","126,160,211","155,643,500",Jul 01 09:14 PM
Jain Ajit,Vice Chairman,2022-06-24,Sale,277.72,"1,200","333,265","168,843",Jun 24 05:54 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-23,Buy,55.39,"794,389","44,001,440","153,508,235",Jun 27 06:43 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-22,Buy,55.49,"3,878,258","215,222,461","152,713,846",Jun 22 06:21 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-06-17,Buy,55.27,"5,673,196","313,564,496","148,835,588",Jun 22 06:21 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-12,Buy,57.34,"185,419","10,631,666","143,162,392",May 12 09:33 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-10,Buy,57.32,"716,355","41,058,675","142,976,973",May 12 09:33 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-03,Buy,57.78,"20,500","1,184,578","142,260,618",May 04 08:27 PM
BERKSHIRE HATHAWAY INC,10% Owner,2022-05-02,Buy,57.1,"5,867,118","335,039,097","142,240,118",May 04 08:27 PM
