Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Brennan Daniel J.,EVP and CFO,2022-03-02,Sale,46.66,"30,000","1,399,914","225,958",Mar 02 05:01 PM
Brennan Daniel J.,EVP and CFO,2022-03-01,Option Exercise,15.69,"45,610","715,794","331,568",Mar 02 05:01 PM
Monson Jonathan,"SVP, Global Controller and CAO",2022-03-01,Option Exercise,12.89,"5,000","64,450","39,868",Mar 02 04:59 PM
Brennan Daniel J.,EVP and CFO,2022-03-01,Sale,46.64,"75,610","3,526,337","255,958",Mar 02 05:01 PM
Monson Jonathan,"SVP, Global Controller and CAO",2022-03-01,Sale,46.66,"5,000","233,315","34,868",Mar 02 04:59 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-22,Sale,46.10,"3,340","153,974","88,479",Feb 22 04:55 PM
Butcher Arthur C,"EVP& Grp Pres, MedSurg & APAC",2022-02-21,Option Exercise,0.00,"1,714",0,"30,445",Feb 22 04:54 PM
Carruthers Wendy,"EVP, Human Resources",2022-02-21,Option Exercise,0.00,"1,558",0,"94,590",Feb 22 04:54 PM
Brennan Daniel J.,EVP and CFO,2022-02-21,Option Exercise,0.00,"3,661",0,"287,582",Feb 22 04:53 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-21,Option Exercise,0.00,"2,804",0,"95,411",Feb 22 04:55 PM
Monson Jonathan,"SVP, Global Controller and CAO",2022-02-21,Option Exercise,0.00,623,0,"35,120",Feb 22 04:55 PM
Thepaut Eric Francis Yves,"EVP & Pres, Eur, Mid-East, Afr",2022-02-21,Option Exercise,0.00,"1,714",0,"65,975",Feb 22 04:56 PM
Brown Vance R,"SVP, GC and Corp. Secretary",2022-02-21,Option Exercise,0.00,779,0,"41,880",Feb 22 04:54 PM
Fitzgerald Joseph Michael,"EVP & Group Pres, Cardiology",2022-02-21,Option Exercise,0.00,"3,895",0,"222,200",Feb 22 04:54 PM
Sorenson John Bradley,"EVP, Global Operations",2022-02-21,Option Exercise,0.00,"1,091",0,"38,901",Feb 22 04:56 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-21,Sale,46.32,"2,313","107,138","91,819",Feb 22 04:55 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-18,Option Exercise,0.00,"2,817",0,"93,609",Feb 21 04:19 PM
Fitzgerald Joseph Michael,"EVP & Group Pres, Cardiology",2022-02-18,Option Exercise,0.00,"3,706",0,"220,134",Feb 21 04:19 PM
Mahoney Michael F,"Chairman, President & CEO",2022-02-18,Option Exercise,0.00,"16,307",0,"1,848,710",Feb 21 04:19 PM
Thepaut Eric Francis Yves,"EVP & Pres, Eur, Mid-East, Afr",2022-02-18,Option Exercise,0.00,"2,001",0,"65,420",Feb 21 04:20 PM
Brown Vance R,"SVP, GC and Corp. Secretary",2022-02-18,Option Exercise,0.00,741,0,"41,319",Feb 21 04:16 PM
Carruthers Wendy,"EVP, Human Resources",2022-02-18,Option Exercise,0.00,"1,853",0,"93,854",Feb 21 04:16 PM
Butcher Arthur C,"EVP& Grp Pres, MedSurg & APAC",2022-02-18,Option Exercise,0.00,"2,372",0,"29,783",Feb 21 04:16 PM
Sorenson John Bradley,"EVP, Global Operations",2022-02-18,Option Exercise,0.00,"1,186",0,"38,351",Feb 21 04:19 PM
Brennan Daniel J.,EVP and CFO,2022-02-18,Option Exercise,0.00,"3,706",0,"285,565",Feb 21 04:16 PM
Monson Jonathan,"SVP, Global Controller and CAO",2022-02-18,Option Exercise,0.00,637,0,"34,751",Feb 21 04:19 PM
Thepaut Eric Francis Yves,"EVP & Pres, Eur, Mid-East, Afr",2022-02-17,Option Exercise,0.00,"2,500",0,"64,867",Feb 21 04:15 PM
Monson Jonathan,"SVP, Global Controller and CAO",2022-02-17,Option Exercise,0.00,"1,000",0,"34,535",Feb 21 04:19 PM
Brennan Daniel J.,EVP and CFO,2022-02-17,Option Exercise,0.00,"4,583",0,"283,892",Feb 21 04:16 PM
Sorenson John Bradley,"EVP, Global Operations",2022-02-17,Option Exercise,0.00,"1,500",0,"37,850",Feb 21 04:19 PM
Butcher Arthur C,"EVP& Grp Pres, MedSurg & APAC",2022-02-17,Option Exercise,0.00,"2,833",0,"28,668",Feb 21 04:16 PM
Carruthers Wendy,"EVP, Human Resources",2022-02-17,Option Exercise,0.00,"2,250",0,"92,999",Feb 21 04:16 PM
Brown Vance R,"SVP, GC and Corp. Secretary",2022-02-17,Option Exercise,0.00,"1,000",0,"40,872",Feb 21 04:16 PM
Mahoney Michael F,"Chairman, President & CEO",2022-02-17,Option Exercise,0.00,"18,333",0,"1,840,534",Feb 21 04:19 PM
Fitzgerald Joseph Michael,"EVP & Group Pres, Cardiology",2022-02-17,Option Exercise,0.00,"4,166",0,"218,484",Feb 21 04:19 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-17,Option Exercise,0.00,"3,333",0,"93,873",Feb 21 04:19 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-17,Sale,46.35,"2,061","95,527","90,792",Feb 21 04:19 PM
Thepaut Eric Francis Yves,"EVP & Pres, Eur, Mid-East, Afr",2022-02-16,Option Exercise,0.00,"2,262",0,"63,677",Feb 21 04:15 PM
Brown Vance R,"SVP, GC and Corp. Secretary",2022-02-16,Option Exercise,0.00,"1,838",0,"40,440",Feb 21 04:16 PM
Carruthers Wendy,"EVP, Human Resources",2022-02-16,Option Exercise,0.00,"2,050",0,"91,659",Feb 21 04:16 PM
Butcher Arthur C,"EVP& Grp Pres, MedSurg & APAC",2022-02-16,Option Exercise,0.00,"2,545",0,"26,964",Feb 21 04:16 PM
Sorenson John Bradley,"EVP, Global Operations",2022-02-16,Option Exercise,0.00,"1,272",0,"36,931",Feb 21 04:19 PM
Brennan Daniel J.,EVP and CFO,2022-02-16,Option Exercise,0.00,"4,243",0,"280,559",Feb 21 04:16 PM
Monson Jonathan,"SVP, Global Controller and CAO",2022-02-16,Option Exercise,0.00,990,0,"33,991",Feb 21 04:19 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-16,Option Exercise,0.00,"2,970",0,"92,858",Feb 21 04:19 PM
Fitzgerald Joseph Michael,"EVP & Group Pres, Cardiology",2022-02-16,Option Exercise,0.00,"3,960",0,"216,124",Feb 21 04:19 PM
Mahoney Michael F,"Chairman, President & CEO",2022-02-16,Option Exercise,0.00,"16,264",0,"1,829,415",Feb 21 04:19 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-16,Sale,46.79,"1,409","65,927","90,540",Feb 21 04:19 PM
Brennan Daniel J.,EVP and CFO,2022-02-15,Option Exercise,4.77,"11,725","55,957","285,107",Feb 16 07:15 PM
Brown Vance R,"SVP, GC and Corp. Secretary",2022-02-15,Option Exercise,0.00,923,0,"38,925",Feb 16 07:15 PM
Butcher Arthur C,"EVP& Grp Pres, MedSurg & APAC",2022-02-15,Option Exercise,0.00,"1,846",0,"25,238",Feb 16 07:15 PM
Sorenson John Bradley,"EVP, Global Operations",2022-02-15,Option Exercise,0.00,"1,200",0,"36,207",Feb 16 07:17 PM
Monson Jonathan,"SVP, Global Controller and CAO",2022-02-15,Option Exercise,0.00,739,0,"33,341",Feb 16 07:17 PM
Mirviss Jeffrey B.,"EVP&Pres, Periph Intervent",2022-02-15,Option Exercise,0.00,"2,031",0,"90,510",Feb 16 07:17 PM
Mahoney Michael F,"Chairman, President & CEO",2022-02-15,Option Exercise,0.00,"18,457",0,"1,821,337",Feb 16 07:17 PM
Fitzgerald Joseph Michael,"EVP & Group Pres, Cardiology",2022-02-15,Option Exercise,0.00,"4,615",0,"214,442",Feb 16 07:17 PM
Carruthers Wendy,"EVP, Human Resources",2022-02-15,Option Exercise,0.00,"1,661",0,"90,346",Feb 16 07:17 PM
Thepaut Eric Francis Yves,"EVP & Pres, Eur, Mid-East, Afr",2022-02-15,Option Exercise,0.00,"1,846",0,"62,484",Feb 16 07:18 PM
Brennan Daniel J.,EVP and CFO,2022-02-15,Sale,47.14,"7,572","356,927","276,316",Feb 16 07:15 PM
Butcher Arthur C,"EVP& Grp Pres, MedSurg & APAC",2022-02-03,Option Exercise,16.58,"15,034","249,206","50,392",Feb 06 04:41 PM
