Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Villeneuve Nadia,Senior VP & CHRO,2022-03-02,Option Exercise,18.81,"6,469","121,682","72,113",Mar 03 04:12 PM
Villeneuve Nadia,Senior VP & CHRO,2022-03-02,Sale,45.45,"20,538","933,445","48,900",Mar 03 04:12 PM
Nelson Christopher John,"President, HVAC",2022-02-13,Option Exercise,20.95,"396,014","8,296,493","493,299",Feb 14 04:09 PM
Nelson Christopher John,"President, HVAC",2022-02-13,Sale,45.30,"213,353","9,665,446","97,285",Feb 14 04:09 PM
Nelson Christopher John,"President, HVAC",2022-02-10,Option Exercise,0.00,138,0,"97,344",Feb 14 04:09 PM
Timperman Jurgen,"President, Fire & Security",2022-02-10,Option Exercise,0.00,101,0,"18,641",Feb 14 04:09 PM
Villeneuve Nadia,Senior VP & CHRO,2022-02-10,Option Exercise,0.00,89,0,"65,677",Feb 14 04:09 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2022-02-10,Option Exercise,0.00,56,0,"69,037",Feb 14 04:09 PM
O'Connor Kevin J.,Senior VP & CLO,2022-02-10,Option Exercise,0.00,310,0,"42,467",Feb 14 04:10 PM
Crockett Kyle,"Vice President, Controller",2022-02-09,Sale,45.85,"10,433","478,378",0,Feb 10 04:16 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2022-02-04,Option Exercise,0.00,"13,662",0,"71,987",Feb 07 04:11 PM
Gitlin David L.,Chairman and CEO,2022-02-04,Option Exercise,0.00,"97,849",0,"198,733",Feb 07 04:11 PM
Timperman Jurgen,"President, Fire & Security",2022-02-04,Option Exercise,0.00,"24,462",0,"24,462",Feb 07 04:11 PM
O'Connor Kevin J.,Senior VP & CLO,2022-02-04,Option Exercise,0.00,"34,706",0,"63,206",Feb 07 04:11 PM
Nelson Christopher John,"President, HVAC",2022-02-04,Option Exercise,0.00,"33,290",0,"108,186",Feb 07 04:11 PM
Villeneuve Nadia,Senior VP & CHRO,2022-02-04,Option Exercise,0.00,"21,478",0,"70,394",Feb 07 04:11 PM
Crockett Kyle,"Vice President, Controller",2022-02-04,Option Exercise,0.00,"8,826",0,"12,583",Feb 07 04:11 PM
Crockett Kyle,"Vice President, Controller",2022-02-03,Option Exercise,0.00,"5,108",0,"5,132",Feb 07 04:11 PM
O'Connor Kevin J.,Senior VP & CLO,2022-01-02,Option Exercise,0.00,"40,471",0,"40,987",Jan 03 04:42 PM
Goris Patrick P.,Senior Vice President & CFO,2022-12-01,Option Exercise,0.00,"18,162",0,"29,556",Dec 05 04:07 PM
Villeneuve Nadia,Senior VP & CHRO,2022-12-01,Option Exercise,0.00,833,0,"49,749",Dec 05 04:07 PM
Timperman Jurgen,"President, Fire & Security",2022-12-01,Option Exercise,0.00,948,0,948,Dec 05 04:07 PM
Timperman Jurgen,"President, Fire & Security",2022-11-29,Option Exercise,20.39,"192,655","3,927,835","192,655",Dec 01 04:25 PM
Timperman Jurgen,"President, Fire & Security",2022-11-29,Sale,43.57,"102,552","4,468,522",0,Dec 01 04:25 PM
Timperman Jurgen,"President, Fire & Security",2022-11-29,Sale,43.54,"39,475","1,718,919","39,474",Dec 01 04:25 PM
White Timothy N,"President, Refrigeration",2022-09-01,Option Exercise,0.00,"10,451",0,"10,451",Sep 02 04:12 PM
Nelson Christopher John,"President, HVAC",2022-06-14,Option Exercise,0.0,"74,489",0,"108,193",Jun 16 04:27 PM
Villeneuve Nadia,Senior VP & CHRO,2022-06-14,Option Exercise,0.0,"24,850",0,"58,695",Jun 16 04:27 PM
Timperman Jurgen,"President, Fire & Security",2022-06-14,Option Exercise,0.0,"74,489",0,"74,489",Jun 16 04:28 PM
Crockett Kyle,"Vice President, Controller",2022-02-10,Option Exercise,0.0,16,0,28,Feb 14 04:30 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2022-02-10,Option Exercise,0.0,25,0,"58,335",Feb 14 04:31 PM
Timperman Jurgen,"President, Fire & Security",2022-02-05,Option Exercise,0.0,"34,301",0,"44,296",Feb 08 06:42 PM
Nelson Christopher John,"President, HVAC",2022-02-05,Option Exercise,0.0,"50,403",0,"52,033",Feb 08 06:42 PM
Villeneuve Nadia,Senior VP & CHRO,2022-02-05,Option Exercise,0.0,"19,259",0,"38,606",Feb 08 06:31 PM
Gitlin David L.,Chairman and CEO,2022-02-05,Option Exercise,0.0,"133,556",0,"136,471",Feb 08 06:32 PM
Agrawal Ajay,"Senior VP, Strategy & Services",2022-02-05,Option Exercise,0.0,"22,250",0,"63,489",Feb 08 06:31 PM
Crockett Kyle,"Vice President, Controller",2022-02-04,Sale,45.73,"3,682","168,360",12,Feb 04 08:19 PM
Crockett Kyle,"Vice President, Controller",2022-02-03,Option Exercise,0.0,"5,028",0,"5,040",Feb 04 08:19 PM
Nelson Christopher John,"President, HVAC",2021-12-01,Option Exercise,0.0,"1,396",0,"3,026",Dec 03 04:17 PM
Goris Patrick P.,Senior Vice President & CFO,2021-12-01,Option Exercise,0.0,"17,908",0,"17,908",Dec 03 04:17 PM
