Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BONFIELD ANDREW R J,Chief Financial Officer,2022-03-02,Option Exercise,127.60,"23,095","2,946,922","86,283",Mar 06 07:56 AM
MacLennan David,Director,2022-02-17,Buy,249.29,400,"99,716","3,709",Feb 21 10:40 AM
Long Suzette M,CLO/General Counsel,2022-02-09,Sale,251.04,"8,000","2,008,289","8,776",Feb 10 05:28 PM
DICKINSON DANIEL M,Director,2022-02-06,Sale,251.22,"6,070","1,524,905","5,038",Feb 07 01:54 PM
Johnson Cheryl H,Chief Human Resources Officer,2022-02-03,Option Exercise,134.02,"23,883","3,200,766","28,117",Feb 06 09:55 PM
Johnson Cheryl H,Chief Human Resources Officer,2022-02-03,Sale,250.44,"23,883","5,981,144","13,857",Feb 06 09:55 PM
De Lange Bob,Group President,2022-01-09,Option Exercise,74.77,"11,000","822,470","55,559",Jan 10 02:08 PM
De Lange Bob,Group President,2022-01-09,Sale,250.00,"11,000","2,750,000","44,559",Jan 10 02:08 PM
Creed Joseph E,Group President,2022-01-06,Option Exercise,151.12,"18,294","2,764,589","18,294",Jan 09 01:37 PM
Creed Joseph E,Group President,2022-01-06,Sale,249.00,"18,294","4,555,206",0,Jan 09 01:37 PM
Johnson Denise C,Group President,2022-12-27,Option Exercise,127.60,"23,737","3,028,841","32,342",Dec 28 01:43 PM
Creed Joseph E,Group President,2022-12-27,Option Exercise,127.60,"7,698","982,265","7,698",Dec 28 01:39 PM
Johnson Denise C,Group President,2022-12-27,Sale,240.14,"23,737","5,700,203","8,605",Dec 28 01:43 PM
Creed Joseph E,Group President,2022-12-27,Sale,244.00,"7,698","1,878,312",0,Dec 28 01:39 PM
Creed Joseph E,Group President,2022-12-14,Option Exercise,138.35,"5,003","692,165","5,003",Dec 15 04:01 PM
Creed Joseph E,Group President,2022-12-14,Sale,238.00,"5,003","1,190,714",0,Dec 15 04:01 PM
Long Suzette M,CLO/General Counsel,2022-11-11,Sale,237.28,"1,884","447,036","8,665",Nov 14 03:06 PM
Umpleby III Donald J,Chairman and CEO,2022-11-08,Option Exercise,127.60,"151,402","19,318,895","327,979",Nov 10 12:35 PM
Creed Joseph E,Group President,2022-05-18,Sale,214.13,"2,757","590,356",0,May 23 12:11 PM
MacLennan David,Director,2022-05-05,Buy,219.82,600,"131,892","2,480",May 06 11:07 AM
De Lange Bob,Group President,2022-04-21,Option Exercise,74.77,"11,718","876,155","55,535",Apr 25 01:05 PM
De Lange Bob,Group President,2022-04-21,Sale,237.25,"11,718","2,780,096","43,817",Apr 25 01:05 PM
Creed Joseph E,Group President,2022-04-20,Option Exercise,138.35,"5,004","692,303","7,761",Apr 22 12:59 PM
Creed Joseph E,Group President,2022-04-20,Sale,235.0,"5,004","1,175,940","2,757",Apr 22 12:59 PM
Long Suzette M,CLO/General Counsel,2022-04-20,Sale,235.0,"3,816","896,760","10,549",Apr 22 12:59 PM
Long Suzette M,CLO/General Counsel,2022-03-17,Option Exercise,132.31,"36,540","4,834,622","38,710",Mar 21 10:35 AM
Long Suzette M,CLO/General Counsel,2022-03-17,Sale,220.0,"40,356","8,878,320","14,365",Mar 21 10:35 AM
BONFIELD ANDREW R J,Chief Financial Officer,2022-03-09,Option Exercise,132.31,"41,107","5,438,882","71,514",Mar 11 10:25 AM
Marvel Gary Michael,Chief Accounting Officer,2022-02-16,Sale,203.11,674,"136,896",0,Feb 17 01:54 PM
MacLennan David,Director,2022-02-07,Buy,199.5,480,"95,760","1,877",Feb 09 12:28 PM
Creed Joseph E,Group President,2022-01-18,Sale,230.0,"5,004","1,150,920",0,Jan 19 03:52 PM
Johnson Cheryl H,Chief Human Resources Officer,2022-01-07,Option Exercise,127.6,"6,415","818,554","22,683",Jan 10 05:39 PM
De Lange Bob,Group President,2022-01-07,Option Exercise,74.77,"23,435","1,752,235","60,338",Jan 10 05:38 PM
De Lange Bob,Group President,2022-01-07,Sale,225.0,"23,435","5,272,875","36,903",Jan 10 05:38 PM
Johnson Cheryl H,Chief Human Resources Officer,2022-01-07,Sale,225.0,"6,415","1,443,375","16,268",Jan 10 05:39 PM
Creed Joseph E,Group President,2021-11-01,Sale,204.09,"5,038","1,028,205",0,Nov 02 03:29 PM
MacLennan David,Director,2021-08-04,Buy,206.2,500,"103,100","1,392",Aug 05 12:36 PM
