Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Schell Brian N,"EXECUTIVE VP, CFO & TREASURER",2022-02-21,Sale,129.00,"3,997","515,613","9,577",Feb 22 04:51 PM
Tilly Edward T,CHAIRMAN AND CEO,2022-02-19,Option Exercise,129.09,"23,497","3,033,228","197,427",Feb 22 04:54 PM
Isaacson Christopher A,"EVP, COO",2022-02-19,Option Exercise,129.09,"8,497","1,096,878","66,032",Feb 22 05:03 PM
Schell Brian N,"EXECUTIVE VP, CFO & TREASURER",2022-02-19,Option Exercise,129.09,"7,178","926,608","14,534",Feb 22 04:51 PM
Howson Dave,"EVP, GLOBAL PRESIDENT",2022-02-19,Option Exercise,129.09,"6,948","896,917","26,388",Feb 22 05:05 PM
Sexton John P,"EVP, GC AND CORP SEC",2022-02-19,Option Exercise,129.09,"3,135","404,697","20,089",Feb 22 04:53 PM
Deters John,"EVP, CORPORATE STRATEGY",2022-02-19,Option Exercise,129.09,"2,659","343,250","13,480",Feb 22 05:00 PM
Griebenow Jill,"SVP, CAO",2022-02-19,Option Exercise,129.09,"2,525","325,952","9,041",Feb 22 04:55 PM
Clay Catherine R,"EVP, DATA AND ACCESS SOLUTIONS",2022-02-19,Option Exercise,129.09,"2,470","318,852","5,394",Feb 22 05:02 PM
Schell Brian N,"EXECUTIVE VP, CFO & TREASURER",2022-02-17,Sale,125.96,"4,701","592,138","9,577",Feb 22 04:51 PM
Griebenow Jill,"SVP, CAO",2022-12-05,Sale,128.00,400,"51,200","7,230",Dec 07 04:21 PM
Sexton John P,"EVP, GC AND CORP SEC",2022-11-30,Sale,127.00,"2,872","364,744","15,190",Dec 01 04:20 PM
Tilly Edward T,CHAIRMAN AND CEO,2022-11-07,Sale,126.77,"10,000","1,267,700","164,123",Nov 09 04:10 PM
Schell Brian N,"EXECUTIVE VP, CFO & TREASURER",2022-11-04,Sale,130.00,"1,829","237,770","9,341",Nov 08 04:13 PM
Schell Brian N,"EXECUTIVE VP, CFO & TREASURER",2022-10-03,Sale,117.11,"7,303","855,254","11,170",Oct 05 04:08 PM
Clay Catherine R,"EVP, DATA AND ACCESS SOLUTIONS",2022-09-07,Sale,124.28,"1,182","146,899","3,470",Sep 09 04:38 PM
Fong Ivan K,Director,2022-05-17,Buy,109.27,650,"71,026","4,022",May 19 04:22 PM
Clay Catherine R,"EVP, DATA AND ACCESS SOLUTIONS",2022-05-13,Option Exercise,109.38,484,"52,940","4,794",May 17 04:09 PM
Howson Dave,"President, Europe & APAC",2022-02-19,Option Exercise,118.81,"8,282","983,984","21,115",Feb 23 06:32 PM
Tilly Edward T,"Chairman, President and CEO",2022-02-19,Option Exercise,118.81,"23,268","2,764,471","178,275",Feb 23 06:25 PM
Sexton John P,"EVP, GC and Corp Sec",2022-02-19,Option Exercise,118.81,"3,132","372,113","18,437",Feb 23 06:23 PM
Schell Brian N,"Executive VP, CFO & Treasurer",2022-02-19,Option Exercise,118.81,"7,292","866,363","19,676",Feb 23 06:22 PM
Isaacson Christopher A,"Executive VP, COO",2022-02-19,Option Exercise,118.81,"8,109","963,430","59,626",Feb 23 06:21 PM
Griebenow Jill,"SVP, CAO",2022-02-19,Option Exercise,118.81,"2,541","301,896","7,930",Feb 23 06:20 PM
Deters John,"EVP, Corporate Strategy",2022-02-19,Option Exercise,118.81,"2,677","318,054","9,508",Feb 23 06:18 PM
Clay Catherine R,"EVP, Data and Access Solutions",2022-02-19,Option Exercise,118.81,"2,590","307,718","4,610",Feb 23 06:02 PM
Isaacson Christopher A,"Executive VP, COO",2021-11-05,Sale,132.46,"2,000","264,910","51,433",Nov 09 04:20 PM
Froetscher Janet P,Director,2021-11-04,Sale,133.37,"5,000","666,850","10,163",Nov 08 04:25 PM
Tilly Edward T,"Chairman, President and CEO",2021-11-02,Sale,134.36,"7,500","1,007,696","155,074",Nov 04 04:48 PM
Isaacson Christopher A,"Executive VP, COO",2021-08-20,Sale,128.93,"2,500","322,336","56,433",Aug 24 04:36 PM
Tilly Edward T,"Chairman, President and CEO",2021-08-03,Sale,119.93,"7,500","899,475","162,574",Aug 05 04:12 PM
