Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Nisewaner Karna,"Corporate VP, General Counsel",2022-03-06,Sale,196.94,100,"19,694","15,273",Mar 08 06:59 PM
TAN LIP BU,Executive Chair,2022-02-28,Sale,194.07,"30,000","5,822,185","868,040",Mar 02 05:12 PM
ZAMAN ANEEL,Sr. Vice President,2022-02-28,Sale,193.26,"1,553","300,133","86,053",Mar 01 07:13 PM
DEVGAN ANIRUDH,President and CEO,2022-02-28,Sale,193.26,"1,525","294,722","172,414",Mar 01 07:05 PM
ZAMAN ANEEL,Sr. Vice President,2022-02-27,Sale,195.35,"1,801","351,825","88,444",Mar 01 07:13 PM
TENG CHIN-CHI,Sr. Vice President,2022-02-23,Option Exercise,56.57,"2,000","113,140","142,148",Feb 27 05:37 PM
DEVGAN ANIRUDH,President and CEO,2022-02-23,Sale,197.46,"3,147","621,396","175,433",Feb 27 05:39 PM
SANGIOVANNI VINCENTELLI ALBERT,Director,2022-02-17,Sale,193.80,"10,000","1,937,994","78,410",Feb 22 05:23 PM
TAN LIP BU,Executive Chair,2022-02-16,Option Exercise,30.79,"42,500","1,308,575","645,089",Feb 21 05:19 PM
TAN LIP BU,Executive Chair,2022-02-16,Sale,195.27,"42,500","8,299,062","602,589",Feb 21 05:19 PM
WALL JOHN M,Sr. VP & CFO,2022-02-15,Sale,199.88,"3,943","788,127","122,206",Feb 16 06:33 PM
SANGIOVANNI VINCENTELLI ALBERT,Director,2022-02-10,Option Exercise,14.22,"10,000","142,200","88,410",Feb 14 07:20 PM
Cunningham Paul,Sr. Vice President,2022-02-06,Sale,184.46,250,"46,115","92,354",Feb 08 05:42 PM
Nisewaner Karna,"Corporate VP, General Counsel",2022-02-01,Sale,181.78,100,"18,178","15,853",Feb 03 08:00 PM
TAN LIP BU,Executive Chair,2022-01-31,Sale,182.53,"30,000","5,475,787","898,040",Feb 02 05:36 PM
Nisewaner Karna,"Corporate VP, General Counsel",2022-01-23,Sale,180.00,"1,000","180,000","15,793",Jan 25 05:45 PM
TAN LIP BU,Executive Chair,2022-01-17,Option Exercise,30.79,"42,500","1,308,575","645,089",Jan 19 07:14 PM
TAN LIP BU,Executive Chair,2022-01-17,Sale,173.39,"42,500","7,369,027","602,589",Jan 19 07:14 PM
Cunningham Paul,Sr. Vice President,2022-01-05,Sale,157.56,250,"39,390","93,189",Jan 09 05:03 PM
TAN LIP BU,Executive Chair,2022-12-21,Sale,164.55,"40,000","6,581,925","956,936",Dec 22 05:54 PM
Cunningham Paul,Sr. Vice President,2022-12-05,Sale,170.45,250,"42,612","93,439",Dec 07 07:08 PM
SANGIOVANNI VINCENTELLI ALBERT,Director,2022-12-01,Sale,175.62,"7,550","1,325,960","100,590",Dec 05 08:04 PM
SOHN YOUNG,Director,2022-11-30,Option Exercise,14.36,"10,000","143,600","46,372",Dec 02 06:51 PM
SOHN YOUNG,Director,2022-11-30,Sale,166.00,"10,000","1,660,000","36,372",Dec 02 06:51 PM
TAN LIP BU,Executive Chair,2022-11-21,Sale,162.66,"40,000","6,506,402","996,936",Nov 22 07:10 PM
Cunningham Paul,Sr. Vice President,2022-11-07,Sale,143.63,250,"35,908","93,689",Nov 08 05:25 PM
TAN LIP BU,Executive Chair,2022-10-21,Sale,156.11,"40,000","6,244,483","1,036,936",Oct 25 05:08 PM
TAN LIP BU,Executive Chair,2022-10-17,Option Exercise,19.60,"50,000","980,000","652,589",Oct 18 07:02 PM
TAN LIP BU,Executive Chair,2022-10-17,Sale,154.66,"50,000","7,733,065","602,589",Oct 18 07:02 PM
Cunningham Paul,Sr. Vice President,2022-10-05,Sale,170.01,250,"42,502","93,939",Oct 07 07:43 PM
Adams Mark,Director,2022-09-26,Sale,162.98,"6,000","977,890","11,407",Sep 28 07:56 PM
TAN LIP BU,Executive Chair,2022-09-21,Sale,168.76,"40,000","6,750,246","1,076,936",Sep 23 08:57 PM
