Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Love Lisa Anne,EVP/CLO & Corp Secy,2022-03-01,Option Exercise,0.00,"1,337",0,"47,078",Mar 03 03:17 PM
Sewell Michael J,"CFO, EVP & Treasurer",2022-03-01,Option Exercise,0.00,"2,114",0,"91,906",Mar 03 03:18 PM
Van Den Heuvel Will H,Sr. Vice President-Subsidiary,2022-03-01,Option Exercise,0.00,"1,212",0,"24,106",Mar 03 03:18 PM
Delaney Angela Ossello,Senior Vice President- Sub,2022-03-01,Option Exercise,0.00,"1,077",0,"8,829",Mar 03 03:18 PM
SCHAMBOW MARC JON,SrVP/Chief Claims Officer-Sub,2022-03-01,Option Exercise,0.00,590,0,"19,344",Mar 03 03:18 PM
Spray Stephen M,President,2022-03-01,Option Exercise,0.00,"1,711",0,"47,677",Mar 03 03:16 PM
Cracas Teresa C,"EVP, Chief Risk Off. - Sub",2022-03-01,Option Exercise,0.00,"1,339",0,"41,537",Mar 03 03:16 PM
Doyle Donald J Jr,Sr Vice President - Subsidiary,2022-03-01,Option Exercise,0.00,"1,299",0,"35,784",Mar 03 03:17 PM
Brown Roger A,"Sr VP, COO - Subsidiary",2022-03-01,Option Exercise,0.00,885,0,"50,692",Mar 03 03:17 PM
Givler Sean Michael,Sr Vice President - Subsidiary,2022-03-01,Option Exercise,0.00,"1,290",0,"22,579",Mar 03 03:17 PM
Hoffer Theresa A,Sr Vice President - Subsidiary,2022-03-01,Option Exercise,0.00,813,0,"40,528",Mar 03 03:17 PM
JOHNSTON STEVEN J,Chairman & CEO,2022-03-01,Option Exercise,0.00,"2,538",0,"178,426",Mar 03 03:17 PM
KELLINGTON JOHN S,"EVP, Chief Info Off. -Sub",2022-03-01,Option Exercise,0.00,"1,464",0,"79,021",Mar 03 03:17 PM
SCHAMBOW MARC JON,SrVP/Chief Claims Officer,2022-02-16,Option Exercise,0.00,364,0,"18,871",Feb 21 10:52 AM
Soloria Steven Anthony,"SVP, Chief Inv Officer-Sub",2022-02-16,Option Exercise,0.00,312,0,"13,229",Feb 21 10:52 AM
Delaney Angela Ossello,Senior Vice President- Sub,2022-02-16,Option Exercise,0.00,36,0,779,Feb 21 10:51 AM
Givler Sean Michael,Sr Vice President - Subsidiary,2022-02-09,Option Exercise,71.09,"16,453","1,169,635","32,489",Feb 13 03:21 PM
KELLINGTON JOHN S,"EVP, Chief Info Off. -Sub",2022-02-09,Option Exercise,49.41,"9,490","468,941","78,819",Feb 13 03:21 PM
Hoffer Theresa A,Sr Vice President - Subsidiary,2022-02-09,Option Exercise,49.39,"2,079","102,687","40,924",Feb 13 03:21 PM
Debbink Dirk J,Director,2022-12-06,Buy,106.13,"1,000","106,130","45,502",Dec 08 02:48 PM
Spray Stephen M,President,2022-11-15,Option Exercise,44.70,"3,021","135,039","48,019",Nov 17 03:16 PM
JOHNSTON STEVEN J,Chairman & CEO,2022-11-03,Option Exercise,44.70,"13,088","585,034","184,910",Nov 07 03:37 PM
Skidmore Douglas S,Director,2022-09-01,Buy,96.76,565,"54,669","7,600",Sep 06 03:17 PM
Brown Roger A,"Sr VP, COO - Subsidiary",2022-08-12,Option Exercise,44.70,"1,092","48,812","50,482",Aug 16 03:06 PM
Aaron Thomas J,Director,2022-08-03,Buy,96.33,"1,030","99,220","5,740",Aug 05 02:45 PM
Osborn David P,Director,2022-07-29,Buy,97.69,"1,000","97,690","30,781",Aug 02 03:03 PM
Debbink Dirk J,Director,2022-07-29,Buy,96.66,510,"49,297","44,243",Aug 02 03:03 PM
Delaney Angela Ossello,Senior Vice President- Sub,2022-06-10,Option Exercise,54.64,860,"46,988","7,742",Jun 14 03:15 PM
Love Lisa Anne,EVP/CLO & Corp Secy,2022-06-07,Option Exercise,44.7,"4,527","202,357","48,858",Jun 09 03:13 PM
Debbink Dirk J,Director,2022-05-20,Buy,120.67,410,"49,473","43,507",May 24 03:19 PM
Schiff Charles Odell,Director,2022-05-12,Sale,123.08,"12,500","1,538,500","210,555",May 16 03:36 PM
Debbink Dirk J,Director,2022-03-03,Buy,123.28,400,"49,312","42,914",Mar 07 03:32 PM
Aaron Thomas J,Director,2022-03-03,Buy,123.98,200,"24,796","4,710",Mar 07 03:32 PM
Sewell Michael J,"CFO, Sr Vice Pres & Treasurer",2022-03-01,Option Exercise,0.0,"7,464",0,"92,282",Mar 03 03:20 PM
Van Den Heuvel Will H,Sr. Vice President-Subsidiary,2022-03-01,Option Exercise,0.0,"3,424",0,"23,916",Mar 03 03:20 PM
Doyle Donald J Jr,Sr Vice President - Subsidiary,2022-03-01,Option Exercise,0.0,"3,664",0,"38,125",Mar 03 03:19 PM
Givler Sean Michael,Sr Vice President - Subsidiary,2022-03-01,Option Exercise,0.0,"3,233",0,"16,986",Mar 03 03:19 PM
KELLINGTON JOHN S,"EVP, Chief Info Off. -Sub",2022-03-01,Option Exercise,0.0,"5,011",0,"69,659",Mar 03 03:19 PM
Hoffer Theresa A,Sr Vice President - Subsidiary,2022-03-01,Option Exercise,0.0,"2,368",0,"39,527",Mar 03 03:19 PM
Spray Stephen M,President - Sub,2022-03-01,Option Exercise,0.0,"5,357",0,"46,639",Mar 03 03:19 PM
Hollenbeck Martin F,"Sr.VP,Chief Investment Officer",2022-03-01,Option Exercise,0.0,"6,151",0,"79,303",Mar 03 03:20 PM
JOHNSTON STEVEN J,"Chairman, President & CEO",2022-03-01,Option Exercise,0.0,"13,034",0,"176,357",Mar 03 03:20 PM
Love Lisa Anne,"Sr VP, Gen Counsel, Corp Sec",2022-03-01,Option Exercise,0.0,"4,685",0,"45,727",Mar 03 03:20 PM
Brown Roger A,"Sr VP, COO - Subsidiary",2022-03-01,Option Exercise,0.0,"2,569",0,"50,179",Mar 03 03:18 PM
Cracas Teresa C,"EVP, Chief Risk Off. - Sub",2022-03-01,Option Exercise,0.0,"4,605",0,"41,562",Mar 03 03:18 PM
Delaney Angela Ossello,Senior Vice President- Sub,2022-03-01,Option Exercise,0.0,"2,070",0,"7,524",Mar 03 03:18 PM
Sewell Michael J,"CFO, Sr Vice Pres & Treasurer",2022-02-24,Option Exercise,44.7,"8,016","358,315","89,253",Feb 28 03:49 PM
Hoffer Theresa A,Sr Vice President - Subsidiary,2022-02-17,Option Exercise,44.7,"1,092","48,812","37,778",Feb 22 03:28 PM
Delaney Angela Ossello,Senior Vice President,2022-02-16,Option Exercise,0.0,130,0,779,Feb 18 03:40 PM
Debbink Dirk J,Director,2021-11-29,Buy,116.81,855,"99,873","41,459",Dec 01 03:09 PM
JOHNSTON STEVEN J,"Chairman, President & CEO",2021-10-29,Option Exercise,35.63,"13,472","480,007","171,302",Nov 02 03:04 PM
Brown Roger A,"Sr VP, COO - Subsidiary",2021-08-26,Option Exercise,35.63,"1,575","56,117","23,486",Aug 30 04:34 PM
Debbink Dirk J,Director,2021-08-09,Buy,118.73,419,"49,749","40,416",Aug 11 02:41 PM
