Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
POLK MICHAEL B,Director,2022-02-27,Option Exercise,71.65,"5,703","408,620","29,142",Mar 01 04:13 PM
CAHILL JOHN T,Director,2022-02-27,Option Exercise,71.65,"5,703","408,620","30,086",Mar 01 04:16 PM
CAHILL JOHN T,Director,2022-02-27,Sale,73.83,"5,703","421,075","24,383",Mar 01 04:16 PM
POLK MICHAEL B,Director,2022-02-27,Sale,73.48,"5,559","408,494","23,583",Mar 01 04:13 PM
HARRIS C MARTIN,Director,2022-02-21,Option Exercise,71.65,"5,703","408,620","22,713",Feb 23 04:14 PM
HARRIS C MARTIN,Director,2022-02-21,Sale,74.25,"5,703","423,447","17,010",Feb 23 04:14 PM
Daniels Jennifer,CLO and Secretary,2022-02-17,Sale,73.31,"4,922","360,832","52,728",Feb 21 04:17 PM
Kooyman John W,Chief of Staff,2022-02-17,Sale,73.30,"1,515","111,050","8,406",Feb 21 04:19 PM
Massey Sally,Chief Human Resources Officer,2022-02-17,Sale,73.25,"1,009","73,905","8,615",Feb 21 04:17 PM
NORRINGTON LORRIE M,Director,2022-02-01,Option Exercise,71.65,"5,703","408,620","33,203",Feb 03 04:17 PM
NORRINGTON LORRIE M,Director,2022-02-01,Sale,74.13,"5,703","422,770","27,500",Feb 03 04:17 PM
Massey Sally,Chief Human Resources Officer,2022-09-13,Sale,77.58,656,"50,890","7,913",Sep 15 04:23 PM
Parameswaran Prabha,"Grp Pres, Growth & Strategy",2022-08-29,Option Exercise,72.99,"48,778","3,560,306","55,565",Aug 31 04:16 PM
Parameswaran Prabha,"Grp Pres, Growth & Strategy",2022-08-29,Sale,78.80,"48,778","3,843,565","6,787",Aug 31 04:16 PM
Tsourapas Panagiotis,"Grp Pres, Eur& Developing Mkts",2022-08-16,Option Exercise,72.99,"35,976","2,625,888","42,795",Aug 17 04:18 PM
Wallace Noel R.,"Chairman, President & CEO",2022-08-04,Option Exercise,72.99,"51,665","3,771,028","273,455",Aug 08 04:23 PM
Daniels Jennifer,CLO and Secretary,2022-08-04,Option Exercise,73.00,"24,703","1,803,319","72,866",Aug 08 04:22 PM
Wallace Noel R.,"Chairman, President & CEO",2022-08-04,Sale,81.27,"51,665","4,198,897","221,790",Aug 08 04:23 PM
Daniels Jennifer,CLO and Secretary,2022-08-04,Sale,81.25,"24,703","2,007,176","48,163",Aug 08 04:22 PM
Wallace Noel R.,"Chairman, President & CEO",2022-06-06,Option Exercise,72.99,"50,000","3,649,500","271,790",Jun 08 04:30 PM
Wallace Noel R.,"Chairman, President & CEO",2022-06-06,Sale,79.34,"50,000","3,966,905","221,790",Jun 08 04:30 PM
Kooyman John W,Chief of Staff,2022-05-16,Option Exercise,72.99,"19,683","1,436,662","26,690",May 18 04:27 PM
Shotts Philip G.,Vice President and Controller,2022-05-16,Option Exercise,72.99,"10,000","729,900","56,094",May 18 04:29 PM
Kooyman John W,Chief of Staff,2022-05-16,Sale,78.49,"19,683","1,544,990","7,007",May 18 04:27 PM
Shotts Philip G.,Vice President and Controller,2022-05-16,Sale,78.52,"10,000","785,190","46,094",May 18 04:29 PM
Kooyman John W,Chief of Staff,2022-05-11,Sale,77.06,"2,600","200,345","6,972",May 12 04:49 PM
Daniels Jennifer,CLO and Secretary,2022-02-18,Sale,79.25,"8,812","698,354","48,123",Feb 22 04:34 PM
Kooyman John W,Chief of Staff,2022-02-18,Sale,79.22,"3,023","239,488","9,572",Feb 22 04:34 PM
Massey Sally,Chief Human Resources Officer,2022-02-18,Sale,79.17,"1,624","128,570","8,514",Feb 22 04:35 PM
Shotts Philip G.,Vice President and Controller,2022-02-18,Sale,79.19,"2,461","194,898","46,084",Feb 22 04:35 PM
Verduin Patricia,Chief Technology Officer,2022-02-18,Sale,79.28,"6,306","499,913","60,246",Feb 22 04:35 PM
Wallace Noel R.,"Chairman, President & CEO",2022-02-18,Sale,79.33,"38,583","3,060,824","221,625",Feb 22 04:34 PM
