Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Fier Walter J,VP - Chief Technical Officer,2022-02-22,Option Exercise,164.22,"4,320","709,414","11,397",Feb 23 03:28 PM
Aaholm Sherry A,VP - Chief Digital Officer,2022-02-22,Option Exercise,105.94,"3,340","353,840","9,092",Feb 23 03:27 PM
RUMSEY JENNIFER,President & CEO,2022-02-22,Option Exercise,111.84,"1,430","159,931","1,430",Feb 23 03:29 PM
Fier Walter J,VP - Chief Technical Officer,2022-02-22,Sale,252.99,"3,307","836,652","8,090",Feb 23 03:28 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-02-17,Option Exercise,149.72,"5,929","887,690","22,073",Feb 21 01:24 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-02-17,Sale,257.13,"5,929","1,524,553","16,144",Feb 21 01:24 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-02-15,Option Exercise,109.09,"5,540","604,359","21,684",Feb 16 04:40 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-02-15,Sale,252.34,"5,540","1,397,976","16,144",Feb 16 04:40 PM
NELSON GEORGIA R,Director,2022-02-15,Sale,252.38,"1,977","498,955",0,Feb 21 07:03 PM
NELSON GEORGIA R,Director,2022-02-15,Sale,251.64,"1,933","486,420","21,742",Feb 15 03:33 PM
ChangDiaz Franklin R,Director,2022-11-16,Sale,249.34,"3,200","797,887","1,642",Nov 16 04:24 PM
Di Leo Allen Bruno V,Director,2022-11-16,Sale,250.30,950,"237,786","7,431",Nov 16 01:14 PM
LINEBARGER NORMAN THOMAS,Chairman & Executive Chairman,2022-11-14,Option Exercise,111.84,"54,809","6,129,839","192,147",Nov 16 09:22 AM
Satterthwaite Tony,Senior Vice President,2022-11-14,Option Exercise,149.34,"7,610","1,136,477","66,886",Nov 15 01:39 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-14,Option Exercise,163.43,"2,442","399,096","18,790",Nov 16 09:22 AM
LINEBARGER NORMAN THOMAS,Chairman & Executive Chairman,2022-11-14,Sale,250.21,"54,809","13,713,502","137,338",Nov 16 09:22 AM
Satterthwaite Tony,Senior Vice President,2022-11-14,Sale,250.06,"7,610","1,902,935","59,276",Nov 15 01:39 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-14,Sale,251.76,"2,442","614,808","16,348",Nov 16 09:22 AM
Satterthwaite Tony,Senior Vice President,2022-11-11,Option Exercise,118.17,"7,704","910,365","66,980",Nov 15 01:39 PM
LINEBARGER NORMAN THOMAS,Chairman & Executive Chairman,2022-11-11,Option Exercise,111.84,"5,291","591,745","142,629",Nov 15 01:39 PM
Satterthwaite Tony,Senior Vice President,2022-11-11,Sale,247.30,"7,704","1,905,231","59,276",Nov 15 01:39 PM
LINEBARGER NORMAN THOMAS,Chairman & Executive Chairman,2022-11-11,Sale,250.03,"5,291","1,322,913","137,338",Nov 15 01:39 PM
Embree Tracy A,President - Distribution,2022-11-10,Option Exercise,154.60,"46,860","7,244,638","65,296",Nov 14 03:55 PM
Narang Mahesh,VP & President - Components,2022-11-10,Option Exercise,149.34,350,"52,269","3,166",Nov 14 03:55 PM
Embree Tracy A,President - Distribution,2022-11-10,Sale,241.85,"46,860","11,332,923","18,436",Nov 14 03:55 PM
Narang Mahesh,VP & President - Components,2022-11-10,Sale,241.96,278,"67,266","2,888",Nov 14 03:55 PM
Smith Mark Andrew,VP - Chief Financial Officer,2022-11-09,Option Exercise,111.84,770,"86,117","11,765",Nov 10 02:48 PM
Smith Mark Andrew,VP - Chief Financial Officer,2022-11-09,Sale,237.88,543,"129,167","11,222",Nov 10 02:48 PM
Satterthwaite Tony,Senior Vice President,2022-11-08,Option Exercise,111.84,"5,000","559,200","64,276",Nov 10 02:48 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-08,Option Exercise,109.09,"2,460","268,361","18,808",Nov 10 02:48 PM
Satterthwaite Tony,Senior Vice President,2022-11-08,Sale,239.07,"5,000","1,195,358","59,276",Nov 10 02:48 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-08,Sale,240.03,"2,460","590,468","16,348",Nov 10 02:48 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-07,Option Exercise,109.09,600,"65,454","16,948",Nov 08 01:04 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-07,Sale,239.76,600,"143,854","16,348",Nov 08 01:04 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-04,Option Exercise,109.09,"1,060","115,635","17,408",Nov 08 01:04 PM
Barner Sharon R,VP - Chief Administrative Off.,2022-11-04,Sale,234.86,"1,060","248,955","16,348",Nov 08 01:04 PM
Embree Tracy A,President - Distribution,2022-10-31,Sale,240.13,"6,804","1,633,830","18,436",Oct 31 12:51 PM
Embree Tracy A,President - Distribution,2022-10-27,Option Exercise,109.09,"10,205","1,113,263","28,641",Oct 31 12:51 PM
