Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
FAIRBANK RICHARD D,Chairman and CEO,2022-02-15,Option Exercise,0.00,"35,844",0,"3,792,873",Feb 17 04:06 PM
Blinde Neal,"President, Commercial Banking",2022-02-14,Sale,115.16,"8,000","921,280","121,472",Feb 16 04:10 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-01-26,Option Exercise,116.07,862,"100,052","3,757,891",Jan 30 05:12 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-14,Option Exercise,56.32,"12,537","706,084","3,769,559",Nov 15 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-14,Sale,114.77,"12,537","1,438,871","3,757,022",Nov 15 04:06 PM
West Kara,Chief Audit Officer,2022-11-14,Sale,114.63,606,"69,466","7,793",Nov 16 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-11,Option Exercise,56.32,"12,537","706,084","3,769,559",Nov 15 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-11,Sale,115.67,"12,537","1,450,184","3,757,022",Nov 15 04:06 PM
Alexander Robert M.,Chief Information Officer,2022-11-11,Sale,115.00,"7,857","903,555","61,352",Nov 15 04:09 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-10,Option Exercise,56.32,"12,537","706,084","3,769,559",Nov 15 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-10,Sale,108.31,"12,537","1,357,847","3,757,022",Nov 15 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-09,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 10 04:07 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-09,Sale,103.32,"12,538","1,295,425","3,757,022",Nov 10 04:07 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-08,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 10 04:07 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-08,Sale,104.72,"12,538","1,312,946","3,757,022",Nov 10 04:07 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-07,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 08 04:11 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-07,Sale,103.21,"12,538","1,294,094","3,757,022",Nov 08 04:11 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-04,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 08 04:11 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-04,Sale,100.86,"12,538","1,264,583","3,757,022",Nov 08 04:11 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-03,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 04 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-03,Sale,100.11,"12,538","1,255,143","3,757,022",Nov 04 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-02,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 04 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-02,Sale,106.12,"12,538","1,330,533","3,757,022",Nov 04 04:06 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-01,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 02 04:07 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-11-01,Sale,107.18,"12,538","1,343,843","3,757,022",Nov 02 04:07 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-10-31,Option Exercise,56.32,"12,538","706,140","3,769,560",Nov 02 04:07 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-10-31,Sale,106.24,"12,538","1,332,073","3,757,022",Nov 02 04:07 PM
Mouadeb Mark Daniel,"President, U.S. Card",2022-10-28,Sale,105.00,940,"98,700","11,303",Nov 01 04:16 PM
Mouadeb Mark Daniel,"President, U.S. Card",2022-09-15,Sale,100.94,600,"60,564","12,243",Sep 19 04:09 PM
Golden Timothy P,Controller,2022-08-29,Sale,108.85,322,"35,050","11,392",Aug 31 04:08 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-08-12,Option Exercise,56.32,"12,538","706,140","3,769,554",Aug 12 04:27 PM
FAIRBANK RICHARD D,Chairman and CEO,2022-08-12,Sale,115.76,"12,538","1,451,433","3,757,016",Aug 12 04:27 PM
