Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
WALKER R A,Director,2022-02-22,Buy,103.00,"4,800","494,400","27,600",Feb 23 02:43 PM
WALKER R A,Director,2022-02-22,Buy,103.00,"1,200","123,600","6,900",Feb 23 02:43 PM
WALKER R A,Director,2022-02-17,Buy,104.50,"4,800","501,600","22,800",Feb 21 11:15 AM
WALKER R A,Director,2022-02-17,Buy,104.50,"1,200","125,400","5,700",Feb 21 11:15 AM
LEACH TIMOTHY A,Director,2022-12-15,Sale,112.58,"4,860","547,140","661,142",Dec 19 10:54 AM
Olds Nicholas G,Executive Vice President,2022-11-08,Option Exercise,69.25,"10,950","758,233","10,950",Nov 09 06:00 PM
Olds Nicholas G,Executive Vice President,2022-11-08,Sale,134.90,"10,950","1,477,183",0,Nov 09 06:00 PM
Rose Kelly Brunetti,SVP & General Counsel,2022-11-07,Sale,135.63,"2,374","321,986",0,Nov 08 03:37 PM
Olds Nicholas G,Executive Vice President,2022-09-14,Option Exercise,69.25,"10,950","758,233","10,950",Sep 15 05:42 PM
Olds Nicholas G,Executive Vice President,2022-09-14,Sale,116.52,"10,950","1,275,849",0,Sep 15 05:42 PM
Lance Ryan Michael,Chairman and CEO,2022-06-07,Option Exercise,58.08,"584,900","33,969,530","629,422",Jun 08 05:03 PM
Lance Ryan Michael,Chairman and CEO,2022-06-07,Sale,121.21,"584,900","70,898,186","44,522",Jun 08 05:03 PM
Olds Nicholas G,Executive Vice President,2022-05-25,Option Exercise,65.46,"19,200","1,256,890","19,200",May 26 01:39 PM
Olds Nicholas G,Executive Vice President,2022-05-25,Sale,110.51,"19,200","2,121,742",0,May 26 01:39 PM
LEACH TIMOTHY A,Director,2022-05-19,Sale,102.33,"40,603","4,154,982","666,002",May 23 04:53 PM
Olds Nicholas G,Executive Vice President,2022-03-04,Option Exercise,33.12,"19,600","649,250","19,600",Mar 07 05:08 PM
Sirdashney Heather G,Vice President,2022-03-04,Option Exercise,49.76,"5,700","283,604","5,700",Mar 07 05:09 PM
Sirdashney Heather G,Vice President,2022-03-04,Sale,98.71,"5,700","562,647",0,Mar 07 05:09 PM
Olds Nicholas G,Executive Vice President,2022-03-04,Sale,99.95,"19,600","1,959,020",0,Mar 07 05:08 PM
Bullock William L. Jr.,Executive Vice President & CFO,2022-03-02,Option Exercise,61.86,"77,100","4,769,502","94,458",Mar 03 05:06 PM
Bullock William L. Jr.,Executive Vice President & CFO,2022-03-02,Sale,99.26,"77,100","7,653,185","17,358",Mar 03 05:06 PM
Macklon Dominic E.,Executive Vice President,2022-02-08,Option Exercise,49.76,"19,200","955,296","19,200",Feb 09 04:37 PM
Macklon Dominic E.,Executive Vice President,2022-02-08,Sale,91.13,"19,200","1,749,644",0,Feb 09 04:37 PM
LUNDQUIST ANDREW D,Senior Vice President,2022-02-07,Option Exercise,64.59,"112,300","7,253,630","114,653",Feb 09 04:33 PM
Sirdashney Heather G,Vice President,2022-02-07,Option Exercise,49.76,"11,000","547,305","11,000",Feb 09 04:39 PM
Olds Nicholas G,Executive Vice President,2022-02-07,Option Exercise,45.08,"19,200","865,563","19,200",Feb 09 06:06 PM
Olds Nicholas G,Executive Vice President,2022-02-07,Sale,92.93,"19,200","1,784,266",0,Feb 09 06:06 PM
Sirdashney Heather G,Vice President,2022-02-07,Sale,92.43,"11,000","1,016,752",0,Feb 09 04:39 PM
LUNDQUIST ANDREW D,Senior Vice President,2022-02-07,Sale,92.99,"112,300","10,442,710","2,353",Feb 09 04:33 PM
Freeman Jody,Director,2021-12-29,Sale,72.84,"3,420","249,123","4,831",Dec 30 09:34 AM
Lance Ryan Michael,Chairman and CEO,2021-12-27,Option Exercise,54.8,"105,098","5,759,370","149,620",Dec 28 05:02 PM
Lance Ryan Michael,Chairman and CEO,2021-12-27,Sale,73.08,"105,098","7,680,173","44,522",Dec 28 05:02 PM
DeSanctis Ellen,Senior Vice President,2021-12-09,Option Exercise,54.8,"28,171","1,543,771","50,749",Dec 13 04:16 PM
DeSanctis Ellen,Senior Vice President,2021-12-09,Sale,73.26,"28,171","2,063,847","22,578",Dec 13 04:16 PM
Bullock William L. Jr.,Executive Vice President & CFO,2021-11-23,Option Exercise,54.8,"24,441","1,339,367","41,799",Nov 24 05:18 PM
Bullock William L. Jr.,Executive Vice President & CFO,2021-11-23,Sale,74.03,"24,441","1,809,245","17,358",Nov 24 05:18 PM
Olds Nicholas G,Executive Vice President,2021-11-04,Option Exercise,58.08,"9,200","534,313","9,200",Nov 05 04:06 PM
Olds Nicholas G,Executive Vice President,2021-11-04,Sale,74.64,"9,200","686,688",0,Nov 05 04:06 PM
WALKER R A,Director,2021-08-09,Buy,55.5,"4,500","249,750","4,500",Aug 10 01:46 PM
WALKER R A,Director,2021-08-09,Buy,55.5,"18,000","998,989","18,000",Aug 10 01:46 PM
