Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Robbins Charles,Chair and CEO,2022-02-23,Sale,49.08,"20,117","987,404","798,970",Feb 24 04:38 PM
Martinez Maria,EVP & Chief Operating Officer,2022-02-21,Sale,49.88,"20,000","997,538","429,263",Feb 22 04:57 PM
Herren Richard Scott,EVP and CFO,2022-02-21,Sale,50.66,"15,424","781,380","283,973",Feb 22 04:55 PM
Sharritts Jeffery S.,EVP & Chief Cust & Prtnr Offcr,2022-02-21,Sale,49.96,"6,511","325,262","268,770",Feb 22 05:00 PM
Stahlkopf Deborah L,EVP and Chief Legal Officer,2022-02-17,Sale,50.90,"23,701","1,206,296","184,853",Feb 22 05:02 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-02-17,Sale,51.36,"2,612","134,152","51,092",Feb 22 04:54 PM
Sharritts Jeffery S.,EVP & Chief Cust & Prtnr Offcr,2022-12-13,Sale,50.08,637,"31,898","276,589",Dec 13 07:21 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-12-13,Sale,50.10,468,"23,448","55,230",Dec 13 07:17 PM
Herren Richard Scott,EVP and CFO,2022-12-01,Sale,50.03,"98,342","4,920,414","304,048",Dec 02 05:11 PM
Robbins Charles,Chair and CEO,2022-11-23,Sale,48.64,"115,868","5,636,086","827,722",Nov 28 04:40 PM
Sharritts Jeffery S.,EVP & Chief Cust & Prtnr Offcr,2022-11-21,Sale,47.80,"14,830","708,880","277,751",Nov 22 04:51 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-11-21,Sale,47.80,"9,752","466,167","56,159",Nov 22 04:47 PM
Martinez Maria,EVP & Chief Operating Officer,2022-11-21,Sale,47.81,"3,201","153,030","452,254",Nov 22 04:49 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-09-13,Sale,44.28,"19,168","848,790","38,158",Sep 13 08:17 PM
Sharritts Jeffery S.,EVP & Chief Cust & Prtnr Offcr,2022-09-13,Sale,44.69,637,"28,468","166,370",Sep 13 08:21 PM
Martinez Maria,EVP & Chief Operating Officer,2022-09-12,Sale,46.40,"4,674","216,878","273,307",Sep 13 08:18 PM
Robbins Charles,Chair and CEO,2022-08-24,Sale,47.14,"12,716","599,404","631,374",Aug 24 06:17 PM
Sharritts Jeffery S.,EVP & Chief Cust & Prtnr Offcr,2022-08-22,Sale,47.86,"12,838","614,440","167,532",Aug 24 06:19 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-08-22,Sale,48.39,"3,453","167,091","75,443",Aug 24 06:13 PM
Martinez Maria,EVP & Chief Operating Officer,2022-08-22,Sale,48.39,"2,831","136,992","278,012",Aug 24 06:15 PM
Martinez Maria,EVP & Chief Operating Officer,2022-06-13,Sale,43.33,"4,674","202,537","286,033",Jun 14 04:46 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-06-13,Sale,43.1,607,"26,162","79,855",Jun 14 04:44 PM
Robbins Charles,Chair and CEO,2022-05-25,Sale,43.79,"12,717","556,931","651,577",May 25 07:08 PM
Martinez Maria,EVP & Chief Operating Officer,2022-05-23,Sale,43.34,"3,628","157,238","295,305",May 25 07:05 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-05-23,Sale,43.34,"3,700","160,358","80,784",May 25 07:03 PM
Martinez Maria,EVP & Chief Operating Officer,2022-03-11,Sale,55.24,992,"54,798","304,198",Mar 11 07:46 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-03-11,Sale,55.16,608,"33,536","86,445",Mar 11 07:45 PM
Robbins Charles,Chair and CEO,2022-02-24,Sale,53.86,"15,382","828,521","672,737",Feb 24 07:43 PM
BHATT PRAT,SVP & Chief Acctg Officer,2022-02-22,Sale,56.4,"3,623","204,340","87,375",Feb 24 07:42 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-12-14,Sale,58.34,468,"27,303","93,035",Dec 14 06:58 PM
Robbins Charles,Chair and CEO,2021-11-24,Sale,55.45,"162,959","9,036,500","694,369",Nov 29 06:03 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-11-22,Sale,54.8,"12,722","697,175","93,964",Nov 23 05:06 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-09-13,Sale,58.35,468,"27,309","93,506",Sep 14 05:50 PM
Elliott Geraldine,EVP & Chief Cust & Prtnr Offcr,2021-08-25,Sale,59.4,"50,000","2,969,805","266,791",Aug 25 07:29 PM
Robbins Charles,Chair and CEO,2021-08-25,Sale,59.69,"6,543","390,572","587,380",Aug 25 07:32 PM
Martinez Maria,EVP & Chief Operating Officer,2021-08-24,Sale,59.01,"44,000","2,596,541","204,881",Aug 25 07:31 PM
BHATT PRAT,SVP & Chief Acctg Officer,2021-08-23,Sale,58.4,"3,518","205,454","94,436",Aug 25 07:27 PM
Martinez Maria,EVP & Chief Operating Officer,2021-08-23,Sale,58.52,"4,000","234,063","248,881",Aug 25 07:31 PM
