Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Magro Charles V.,Chief Executive Officer,2022-02-06,Buy,60.64,"40,000","2,425,480","126,095",Feb 08 04:41 PM
Grimm Audrey,See Remarks,2022-09-15,Sale,62.79,"10,000","627,932","7,511",Sep 19 05:46 PM
Engel Klaus A,Director,2022-03-15,Sale,52.76,"3,000","158,280","28,742",Mar 17 05:07 PM
Cassidy Meghan,See Remarks,2022-03-02,Option Exercise,33.52,"87,022","2,917,224","142,540",Mar 04 04:25 PM
Cassidy Meghan,See Remarks,2022-03-02,Sale,51.53,"87,022","4,484,244","55,518",Mar 04 04:25 PM
Magro Charles V.,Chief Executive Officer,2022-02-11,Buy,51.14,"50,000","2,556,763","50,000",Feb 15 05:04 PM
TITUS BRIAN,See Remarks,2022-02-11,Sale,51.53,"23,500","1,210,946","14,152",Feb 15 05:09 PM
Engel Klaus A,Director,2021-12-08,Sale,47.12,"4,000","188,468","31,645",Dec 10 04:09 PM
GLENN TIMOTHY P,"EVP, Chief Commercial Officer",2021-09-02,Option Exercise,26.76,"32,788","877,407","102,640",Sep 07 04:32 PM
Collins James C. Jr.,Chief Executive Officer,2021-08-10,Option Exercise,34.58,"241,026","8,333,795","491,591",Aug 12 05:54 PM
GLENN TIMOTHY P,"EVP, Chief Commercial Officer",2021-08-09,Option Exercise,32.36,"17,832","577,044","84,939",Aug 11 04:31 PM
