Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
MORRIS RHONDA J,Vice President,2022-02-07,Option Exercise,88.20,"19,666","1,734,541","23,633",Feb 09 05:12 PM
MORRIS RHONDA J,Vice President,2022-02-07,Sale,170.00,"19,666","3,343,281","3,967",Feb 09 05:12 PM
Pate R. Hewitt,VP and General Counsel,2022-01-31,Option Exercise,0.00,"6,936",0,"12,836",Feb 02 05:30 PM
NELSON MARK A,Vice Chairman and EVP,2022-01-31,Option Exercise,0.00,"4,773",0,"13,280",Feb 02 05:28 PM
MORRIS RHONDA J,Vice President,2022-01-31,Option Exercise,0.00,"3,323",0,"7,290",Feb 02 05:25 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-01-31,Option Exercise,0.00,872,0,"3,092",Feb 02 05:23 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-01-31,Option Exercise,0.00,"11,838",0,"11,838",Feb 02 05:21 PM
GUSTAVSON JEFF B,Vice President,2022-01-31,Option Exercise,0.00,"2,038",0,"3,756",Feb 02 05:19 PM
HEARNE ANDREW NIGEL,Executive Vice President,2022-01-31,Option Exercise,0.00,"15,247",0,"20,279",Feb 02 05:17 PM
Breber Pierre R,VP & Chief Financial Officer,2022-01-31,Option Exercise,0.00,"9,120",0,"15,028",Feb 02 05:15 PM
BONNER EIMEAR P,Vice President,2022-01-31,Option Exercise,0.00,"1,404",0,"5,844",Feb 02 05:09 PM
Wirth Michael K,Chairman and CEO,2022-01-31,Option Exercise,0.00,"31,383",0,"55,113",Feb 02 05:06 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-12-16,Option Exercise,0.00,623,0,623,Dec 20 08:30 PM
NELSON MARK A,Executive Vice President,2022-12-16,Option Exercise,0.00,548,0,"1,355",Dec 20 08:26 PM
Pate R. Hewitt,VP and General Counsel,2022-12-16,Option Exercise,0.00,809,0,391,Dec 20 08:24 PM
Wirth Michael K,Chairman and CEO,2022-12-16,Option Exercise,0.00,"2,124",0,"2,124",Dec 20 08:21 PM
INCHAUSTI DAVID A,Vice Pres. and Controller,2022-12-16,Option Exercise,0.00,197,0,197,Dec 20 07:43 PM
HEARNE ANDREW NIGEL,Executive Vice President,2022-12-16,Option Exercise,0.00,299,0,158,Dec 20 07:40 PM
Breber Pierre R,VP & Chief Financial Officer,2022-12-16,Option Exercise,0.00,"1,119",0,556,Dec 20 07:36 PM
MORRIS RHONDA J,Vice President,2022-12-16,Option Exercise,0.00,171,0,912,Dec 20 07:31 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-30,Option Exercise,125.35,"37,300","4,675,555","37,300",Dec 02 04:20 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-30,Sale,182.31,"37,300","6,800,230",0,Dec 02 04:20 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-29,Option Exercise,125.35,"2,900","363,515","2,900",Nov 30 05:47 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-29,Sale,181.77,"2,900","527,146",0,Nov 30 05:47 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-28,Option Exercise,113.83,"143,466","16,331,178","143,466",Nov 30 05:47 PM
Breber Pierre R,VP & Chief Financial Officer,2022-11-28,Option Exercise,103.71,"25,000","2,592,750","25,008",Nov 30 05:27 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-28,Sale,179.30,"143,466","25,723,620",0,Nov 30 05:47 PM
Breber Pierre R,VP & Chief Financial Officer,2022-11-28,Sale,179.64,"25,000","4,490,889",8,Nov 30 05:27 PM
GAST ALICE P,Director,2022-11-21,Sale,179.44,"2,706","485,565","21,964",Nov 22 05:03 PM
Wirth Michael K,Chairman and CEO,2022-11-07,Option Exercise,116.00,"34,620","4,015,920","34,620",Nov 08 05:48 PM
Wirth Michael K,Chairman and CEO,2022-11-07,Sale,185.03,"34,620","6,405,707",0,Nov 08 05:48 PM
Wirth Michael K,Chairman and CEO,2022-11-04,Option Exercise,116.00,"55,380","6,424,080","55,380",Nov 08 05:48 PM
Wirth Michael K,Chairman and CEO,2022-11-04,Sale,185.09,"55,380","10,250,428",0,Nov 08 05:48 PM
Pate R. Hewitt,VP and General Counsel,2022-11-03,Option Exercise,98.80,"32,391","3,200,284","32,391",Nov 07 04:58 PM
Pate R. Hewitt,VP and General Counsel,2022-11-03,Sale,180.00,"32,391","5,830,380",0,Nov 07 04:58 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-01,Option Exercise,125.35,"28,500","3,572,475","28,500",Nov 03 04:27 PM
Breber Pierre R,VP & Chief Financial Officer,2022-11-01,Option Exercise,103.71,"25,000","2,592,750","25,008",Nov 03 04:32 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-11-01,Sale,182.46,"28,500","5,200,244",0,Nov 03 04:27 PM
Breber Pierre R,VP & Chief Financial Officer,2022-11-01,Sale,183.13,"25,000","4,578,308",8,Nov 03 04:32 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-08-25,Option Exercise,113.57,"85,300","9,687,453","85,300",Aug 29 05:28 PM
JOHNSON JAMES WILLIAM,Executive Vice President,2022-08-25,Sale,164.01,"85,300","13,989,993",0,Aug 29 05:28 PM
Breber Pierre R,VP & Chief Financial Officer,2022-08-23,Option Exercise,116.00,"22,500","2,610,000","22,507",Aug 25 05:41 PM
Breber Pierre R,VP & Chief Financial Officer,2022-08-23,Sale,161.39,"22,500","3,631,212",7,Aug 25 05:41 PM
Breber Pierre R,VP & Chief Financial Officer,2022-08-11,Option Exercise,116.00,"22,500","2,610,000","22,507",Aug 15 05:43 PM
Breber Pierre R,VP & Chief Financial Officer,2022-08-11,Sale,158.11,"22,500","3,557,475",7,Aug 15 05:43 PM
