Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Reeg Thomas,Chief Executive Officer,2022-01-29,Option Exercise,0.00,"33,184",0,"324,257",Jan 31 08:00 PM
Yunker Bret,Chief Financial Officer,2022-01-29,Option Exercise,0.00,"11,235",0,"91,446",Jan 31 08:00 PM
Quatmann Edmund L Jr,Chief Legal Officer,2022-01-29,Option Exercise,0.00,"5,540",0,"35,684",Jan 31 08:01 PM
Lepori Stephanie,CAO & Chief Admin. Officer,2022-01-29,Option Exercise,0.00,"4,207",0,"42,297",Jan 31 08:03 PM
Jones Josh,Chief Marketing Officer,2022-01-29,Option Exercise,0.00,"2,241",0,"15,568",Jan 31 08:04 PM
Carano Gary L.,Exec. Chairman of the Board,2022-01-29,Option Exercise,0.00,"8,495",0,"257,669",Jan 31 08:05 PM
Carano Anthony L.,President and COO,2022-01-29,Option Exercise,0.00,"13,737",0,"142,450",Jan 31 08:06 PM
Biumi Bonnie,Director,2022-01-27,Option Exercise,0.00,"4,881",0,"17,759",Jan 31 08:06 PM
FAHRENKOPF FRANK J JR,Director,2022-01-27,Option Exercise,0.00,"4,881",0,"4,881",Jan 31 08:05 PM
Jones Blackhurst Janis L,Director,2022-01-27,Option Exercise,0.00,"4,881",0,"10,509",Jan 31 08:04 PM
KORNSTEIN DON R,Director,2022-01-27,Option Exercise,0.00,"4,881",0,"39,234",Jan 31 08:03 PM
TOMICK DAVID P,Director,2022-01-27,Option Exercise,0.00,"4,881",0,"22,521",Jan 31 08:00 PM
Carano Anthony L.,President and COO,2022-01-24,Option Exercise,0.00,"18,007",0,"138,023",Jan 26 08:05 PM
Lepori Stephanie,CAO & Chief Admin. Officer,2022-01-24,Option Exercise,0.00,"2,912",0,"39,652",Jan 26 08:04 PM
Jones Josh,Chief Marketing Officer,2022-01-24,Option Exercise,0.00,"2,253",0,"14,707",Jan 26 08:05 PM
Carano Gary L.,Exec. Chairman of the Board,2022-01-24,Option Exercise,0.00,"22,779",0,"258,728",Jan 26 08:05 PM
Quatmann Edmund L Jr,Chief Legal Officer,2022-01-24,Option Exercise,0.00,"6,752",0,"33,331",Jan 26 08:03 PM
Yunker Bret,Chief Financial Officer,2022-01-24,Option Exercise,0.00,"13,505",0,"87,832",Jan 26 08:02 PM
Reeg Thomas,Chief Executive Officer,2022-01-24,Option Exercise,0.00,"43,217",0,"315,151",Jan 26 08:03 PM
Carano Anthony L.,President and COO,2022-01-01,Option Exercise,0.00,"27,011",0,"127,521",Jan 04 08:38 PM
Lepori Stephanie,CAO & Chief Admin. Officer,2022-01-01,Option Exercise,0.00,"4,368",0,"37,960",Jan 04 08:37 PM
Jones Josh,Chief Marketing Officer,2022-01-01,Option Exercise,0.00,"3,380",0,"13,452",Jan 04 08:38 PM
Carano Gary L.,Exec. Chairman of the Board,2022-01-01,Option Exercise,0.00,"34,169",0,"245,994",Jan 04 08:38 PM
Reeg Thomas,Chief Executive Officer,2022-01-01,Option Exercise,0.00,"64,826",0,"293,975",Jan 04 08:36 PM
Quatmann Edmund L Jr,Chief Legal Officer,2022-01-01,Option Exercise,0.00,"10,128",0,"29,194",Jan 04 08:37 PM
Yunker Bret,Chief Financial Officer,2022-01-01,Option Exercise,0.00,"20,258",0,"79,388",Jan 04 08:36 PM
Pegram Michael E,Director,2022-11-04,Buy,44.74,"25,000","1,118,572","96,697",Nov 07 04:54 PM
Carano Gary L.,Exec. Chairman of the Board,2022-08-20,Option Exercise,0.00,"2,107",0,"212,655",Aug 23 04:15 PM
Carano Anthony L.,President and COO,2022-08-20,Option Exercise,0.00,"1,889",0,"101,254",Aug 23 04:16 PM
Quatmann Edmund L Jr,Chief Legal Officer,2022-08-20,Option Exercise,0.00,"1,325",0,"19,588",Aug 23 04:14 PM
Lepori Stephanie,CAO & Chief Admin. Officer,2022-08-20,Option Exercise,0.00,"1,248",0,"34,084",Aug 23 04:14 PM
Jones Josh,Chief Marketing Officer,2022-08-20,Option Exercise,0.00,748,0,"10,367",Aug 23 04:15 PM
Yunker Bret,Chief Financial Officer,2022-08-20,Option Exercise,0.00,"1,622",0,"59,769",Aug 23 04:13 PM
Reeg Thomas,Chief Executive Officer,2022-08-20,Option Exercise,0.00,"7,657",0,"232,163",Aug 23 04:14 PM
TOMICK DAVID P,Director,2022-06-17,Buy,38.39,"1,100","42,229","5,800",Jun 21 08:53 AM
KORNSTEIN DON R,Director,2022-06-16,Buy,38.1,"2,500","95,250","34,353",Jun 21 08:54 AM
KORNSTEIN DON R,Director,2022-06-14,Buy,39.0,"1,000","39,000","31,853",Jun 15 04:08 PM
KORNSTEIN DON R,Director,2022-06-13,Buy,39.6,"4,000","158,419","30,853",Jun 15 04:08 PM
FAHRENKOPF FRANK J JR,Director,2022-06-08,Sale,52.0,"2,695","140,140",0,Jun 09 04:27 PM
MATHER COURTNEY,Director,2022-05-06,Buy,60.12,"16,000","961,920","30,160",May 10 05:20 PM
Yunker Bret,Chief Financial Officer,2022-05-02,Option Exercise,0.0,"29,123",0,"69,608",May 04 04:34 PM
Morgan Sandra Douglass,Director,2022-03-17,Sale,79.28,756,"59,936","1,939",Mar 18 07:05 PM
Pegram Michael E,Director,2022-03-08,Buy,68.89,"13,000","895,526","84,697",Mar 09 08:34 PM
Reeg Thomas,Chief Executive Officer,2022-03-08,Buy,71.38,"10,000","713,755","10,000",Mar 08 05:53 PM
Quatmann Edmund L Jr,Chief Legal Officer,2022-02-01,Sale,80.46,"1,482","119,237","18,263",Feb 01 07:45 PM
Quatmann Edmund L Jr,Chief Legal Officer,2022-01-29,Option Exercise,0.0,"2,444",0,"20,707",Feb 01 07:45 PM
Lepori Stephanie,CAO & Chief Admin. Officer,2022-01-29,Option Exercise,0.0,"1,412",0,"33,223",Feb 01 07:46 PM
Jones Josh,Chief Marketing Officer,2022-01-29,Option Exercise,0.0,977,0,"10,004",Feb 01 07:46 PM
Carano Anthony L.,President and COO,2022-01-29,Option Exercise,0.0,"5,650",0,"101,589",Feb 01 07:46 PM
