Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Smith Joanne D,EVP & Chief People Officer,2022-02-28,Sale,38.43,"4,846","186,232","115,295",Mar 01 08:00 PM
HAUENSTEIN GLEN W,President,2022-02-27,Sale,37.87,"5,000","189,325","278,712",Feb 28 08:27 PM
Samant Rahul D,EVP & Chief Info Officer,2022-02-14,Sale,38.77,"13,124","508,844","57,383",Feb 16 08:00 PM
Carroll William C,"SVP, Fin & Controller",2022-02-02,Sale,40.01,"5,481","219,295","8,720",Feb 03 08:01 PM
BLAKE FRANCIS S,Director,2022-01-18,Buy,38.58,"12,880","496,904","93,795",Jan 20 05:19 PM
Carroll William C,"SVP, Fin & Controller",2022-01-17,Sale,38.20,"15,529","593,208","16,780",Jan 19 05:57 PM
Smith Joanne D,EVP & Chief People Officer,2022-10-28,Sale,34.19,"2,000","68,380","111,153",Nov 01 04:30 PM
Bastian Edward H,Chief Executive Officer,2022-08-31,Sale,31.58,"47,500","1,499,908","399,212",Sep 01 04:30 PM
Taylor David S,Director,2022-07-14,Buy,29.31,"10,000","293,100","43,010",Jul 15 04:30 PM
Smith Joanne D,EVP & Chief People Officer,2022-05-31,Sale,41.48,"7,704","319,562","113,153",Jun 01 04:30 PM
Sear Steven M,EVP - Global Sales,2022-05-27,Sale,41.65,"12,780","532,287","90,373",Jun 01 04:30 PM
Bastian Edward H,Chief Executive Officer,2022-05-23,Sale,39.55,"27,664","1,094,111","446,712",May 25 04:30 PM
HAUENSTEIN GLEN W,President,2022-05-04,Sale,43.55,"10,000","435,500","267,527",May 06 04:30 PM
Smith Joanne D,EVP & Chief People Officer,2022-04-29,Sale,44.14,"9,024","398,319","120,857",May 02 05:13 PM
Creed Greg,Director,2022-04-22,Buy,44.03,"11,000","484,352","11,000",Apr 26 04:31 PM
Smith Joanne D,EVP & Chief People Officer,2022-04-14,Sale,41.99,"6,098","256,055","129,881",Apr 18 04:30 PM
Samant Rahul D,EVP & Chief Info Officer,2022-02-16,Sale,44.37,"11,885","527,337","61,520",Feb 17 04:15 PM
Carroll William C,"SVP, Fin & Controller",2022-02-02,Sale,40.08,"3,580","143,486","23,189",Feb 03 05:16 PM
Taylor David S,Director,2021-11-30,Buy,35.59,"6,000","213,510","40,580",Dec 01 04:30 PM
Taylor David S,Director,2021-11-26,Buy,35.96,"6,000","215,784","34,580",Nov 29 04:36 PM
Laughter John E,EVP & Chief of Operations,2021-08-31,Buy,40.22,"1,250","50,269","25,410",Sep 02 04:30 PM
Taylor David S,Director,2021-08-03,Buy,39.3,"5,000","196,485","28,580",Aug 05 04:49 PM
Taylor David S,Director,2021-07-19,Buy,38.25,"3,000","114,750","23,580",Jul 21 06:13 PM
