Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
CAMPBELL RYAN D,"Pres, WWC&F and Pwr Systems",2022-12-01,Option Exercise,200.08,"11,429","2,286,740","19,220",Dec 05 11:37 AM
CAMPBELL RYAN D,"Pres, WWC&F and Pwr Systems",2022-12-01,Sale,439.69,"11,429","5,025,217","13,147",Dec 05 11:37 AM
Howze Marc A,"Sr Advisor, Office of Chairman",2022-11-29,Option Exercise,149.54,"10,910","1,631,524","24,211",Nov 30 11:36 AM
Howze Marc A,"Sr Advisor, Office of Chairman",2022-11-29,Sale,442.79,"10,910","4,830,881","17,321",Nov 30 11:36 AM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-11-08,Option Exercise,151.95,984,"149,519","31,930",Nov 09 11:32 AM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-11-08,Sale,405.11,984,"398,628","30,946",Nov 09 11:32 AM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-11-04,Option Exercise,151.95,285,"43,306","31,231",Nov 07 01:05 PM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-11-04,Sale,400.76,285,"114,216","30,946",Nov 07 01:05 PM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-10-31,Option Exercise,151.95,"2,034","309,066","32,980",Nov 01 12:02 PM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-10-31,Sale,401.75,"2,034","817,150","30,946",Nov 01 12:02 PM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-10-27,Option Exercise,151.95,"6,697","1,017,609","37,643",Oct 31 12:00 PM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2022-10-27,Sale,401.12,"6,697","2,686,304","30,946",Oct 31 12:00 PM
Howze Marc A,"Group Pres., Life Sol & CAO",2022-09-09,Option Exercise,151.95,"4,019","610,687","21,340",Sep 12 11:17 AM
Howze Marc A,"Group Pres., Life Sol & CAO",2022-09-09,Sale,373.22,"4,019","1,499,979","17,321",Sep 12 11:17 AM
Stone John H,"President, WW C&F & Pwr Syst",2022-05-26,Option Exercise,113.17,"17,145","1,940,361","27,068",May 31 02:43 PM
Stone John H,"President, WW C&F & Pwr Syst",2022-05-26,Option Exercise,217.79,"6,497","1,414,968","24,757",May 31 04:59 PM
Stone John H,"President, WW C&F & Pwr Syst",2022-05-26,Sale,4321.07,"17,145","74,084,689","21,087",May 31 02:43 PM
Stone John H,"President, WW C&F & Pwr Syst",2022-05-26,Sale,346.39,"6,497","2,250,511","21,087",May 31 04:59 PM
von Pentz Markwart,"Pres, Ag & Turf, Sml Ag Turf",2022-03-14,Option Exercise,88.19,"8,341","735,551","78,066",Mar 15 11:09 AM
von Pentz Markwart,"Pres, Ag & Turf, Sml Ag Turf",2022-03-14,Sale,393.0,"18,364","7,217,052","59,702",Mar 15 11:09 AM
Kalathur Rajesh,"President, JD Financial & CIO",2022-03-07,Option Exercise,79.24,"32,391","2,566,663","94,750",Mar 08 09:33 AM
Kalathur Rajesh,"President, JD Financial & CIO",2022-03-07,Sale,400.0,"32,391","12,956,400","62,359",Mar 08 09:33 AM
Stone John H,"President, WW C&F & Pwr Syst",2021-11-30,Option Exercise,84.89,"17,818","1,512,647","21,776",Dec 01 10:57 AM
Stone John H,"President, WW C&F & Pwr Syst",2021-11-30,Sale,348.82,"10,035","3,500,434","11,708",Dec 01 10:57 AM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2021-08-11,Option Exercise,100.55,"6,188","622,203","31,649",Aug 12 11:45 AM
Reed Cory J,"Pres Ag & Turf, Prod & Prec Ag",2021-08-11,Sale,385.0,"6,188","2,382,380","25,461",Aug 12 11:45 AM
