Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BRYANT WARREN F,Director,2022-01-04,Option Exercise,53.69,"8,833","474,283","40,220",Jan 05 04:44 PM
BRYANT WARREN F,Director,2022-01-04,Sale,243.93,"1,951","475,913","38,269",Jan 05 04:44 PM
Wenkoff Carman R,EVP & Chief Information Ofc,2022-09-30,Option Exercise,76.89,"10,000","768,900","32,980",Oct 03 03:31 PM
Wenkoff Carman R,EVP & Chief Information Ofc,2022-09-30,Sale,240.49,"10,000","2,404,911","22,980",Oct 03 03:31 PM
VASOS TODD J,Chief Executive Officer,2022-09-01,Option Exercise,166.86,"97,259","16,229,103","182,628",Sep 02 04:52 PM
VASOS TODD J,Chief Executive Officer,2022-09-01,Sale,241.55,"97,259","23,492,481","85,369",Sep 02 04:52 PM
VASOS TODD J,Chief Executive Officer,2022-08-30,Option Exercise,117.65,"25,239","2,969,297","110,608",Sep 01 04:33 PM
VASOS TODD J,Chief Executive Officer,2022-08-30,Sale,239.01,"25,239","6,032,500","85,369",Sep 01 04:33 PM
VASOS TODD J,Chief Executive Officer,2022-08-29,Option Exercise,96.72,"46,508","4,498,411","193,514",Aug 30 04:41 PM
Garratt John W,EVP & Chief Financial Officer,2022-08-29,Option Exercise,92.98,"6,877","639,423","31,604",Aug 30 04:46 PM
VASOS TODD J,Chief Executive Officer,2022-08-29,Sale,239.18,"108,145","25,866,500","85,369",Aug 30 04:41 PM
Garratt John W,EVP & Chief Financial Officer,2022-08-29,Sale,238.11,"9,570","2,278,725","24,727",Aug 30 04:46 PM
TAYLOR RHONDA,EVP & General Counsel,2022-08-26,Option Exercise,102.15,"44,363","4,531,872","82,118",Aug 30 04:49 PM
VASOS TODD J,Chief Executive Officer,2022-08-26,Sale,241.09,"108,537","26,167,064","147,006",Aug 30 04:41 PM
TAYLOR RHONDA,EVP & General Counsel,2022-08-26,Sale,243.04,"44,363","10,782,100","37,755",Aug 30 04:49 PM
Garratt John W,EVP & Chief Financial Officer,2022-08-26,Sale,244.90,"4,807","1,177,240","27,420",Aug 30 04:46 PM
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2022-06-24,Option Exercise,84.67,"5,000","423,350","21,279",Jun 27 05:57 PM
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2022-06-24,Sale,247.11,"5,000","1,235,562","16,279",Jun 27 05:57 PM
FILIKRUSHEL PATRICIA,Director,2022-05-31,Option Exercise,53.69,"8,833","474,283","28,082",Jun 01 05:55 PM
FILIKRUSHEL PATRICIA,Director,2022-05-31,Sale,221.59,"5,289","1,171,976","22,793",Jun 01 05:55 PM
ZUAZO ANTONIO,"EVP, Global Supply Chain",2022-05-27,Option Exercise,48.11,"2,999","144,282","12,490",Jun 01 11:41 AM
ZUAZO ANTONIO,"EVP, Global Supply Chain",2022-05-27,Sale,227.43,"2,999","682,055","9,491",Jun 01 11:41 AM
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2022-04-06,Option Exercise,78.04,"7,502","585,424","23,781",Apr 07 04:24 PM
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2022-04-06,Sale,235.7,"7,502","1,768,256","16,279",Apr 07 04:24 PM
TAYLOR EMILY C,EVP & Chief Merchandising Ofc,2022-03-24,Option Exercise,84.67,"10,016","848,055","25,469",Mar 25 05:59 PM
TAYLOR EMILY C,EVP & Chief Merchandising Ofc,2022-03-24,Sale,220.2,"10,016","2,205,522","15,453",Mar 25 05:59 PM
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2021-12-15,Option Exercise,74.72,"5,000","373,600","19,546",Dec 17 03:20 PM
ELLIOTT ANITA C,SVP & Chief Accounting Officer,2021-12-15,Sale,226.15,"5,000","1,130,734","14,546",Dec 17 03:20 PM
FILIKRUSHEL PATRICIA,Director,2021-12-07,Option Exercise,47.94,"4,059","194,588","19,393",Dec 09 12:58 PM
FILIKRUSHEL PATRICIA,Director,2021-12-07,Sale,222.34,876,"194,769","18,517",Dec 09 12:58 PM
RHODES WILLIAM C III,Director,2021-12-06,Option Exercise,53.69,"8,833","474,283","33,619",Dec 08 01:37 PM
CALBERT MICHAEL M,Director,2021-12-06,Option Exercise,48.62,"4,180","203,232","101,704",Dec 08 01:35 PM
VASOS TODD J,Chief Executive Officer,2021-12-03,Option Exercise,93.75,"337,456","31,636,064","547,534",Dec 07 04:37 PM
Garratt John W,Chief Financial Officer,2021-12-03,Option Exercise,114.32,"29,412","3,362,246","54,219",Dec 07 04:39 PM
Garratt John W,Chief Financial Officer,2021-12-03,Sale,223.3,"29,412","6,567,800","24,807",Dec 07 04:39 PM
VASOS TODD J,Chief Executive Officer,2021-12-03,Sale,220.97,"337,456","74,567,105","210,078",Dec 07 04:37 PM
