Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Doherty Catherine T.,"SVP, Regional Businesses",2022-03-07,Sale,140.55,"5,307","745,899","67,810",Mar 08 04:38 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-03-07,Sale,140.55,"4,754","668,175","38,527",Mar 08 04:39 PM
Doherty Catherine T.,"SVP, Regional Businesses",2022-03-03,Sale,140.63,717,"100,832","67,810",Mar 06 05:08 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-03-02,Sale,138.54,593,"82,154","38,527",Mar 03 04:51 PM
Doherty Catherine T.,"SVP, Regional Businesses",2022-02-24,Sale,141.42,"1,690","239,000","68,919",Feb 27 04:42 PM
PREVOZNIK MICHAEL E,SVP & General Counsel,2022-02-24,Sale,141.42,"1,415","200,109","39,440",Feb 27 04:49 PM
RING TIMOTHY M,Director,2022-12-01,Option Exercise,57.39,"2,025","116,214","26,174",Dec 05 04:40 PM
RING TIMOTHY M,Director,2022-12-01,Sale,152.50,"2,025","308,812","24,149",Dec 05 04:40 PM
Doherty Catherine T.,"SVP, Regional Businesses",2022-11-28,Option Exercise,86.63,"40,765","3,531,472","108,498",Nov 29 04:35 PM
Doherty Catherine T.,"SVP, Regional Businesses",2022-11-28,Sale,149.18,"40,765","6,081,262","67,733",Nov 29 04:35 PM
RING TIMOTHY M,Director,2022-11-01,Option Exercise,61.07,"2,000","122,136","25,933",Nov 02 04:32 PM
RING TIMOTHY M,Director,2022-11-01,Sale,144.06,"2,000","288,120","24,149",Nov 02 04:32 PM
DEPPE MICHAEL J,"VP, Corp. Controller & CAO",2022-10-26,Option Exercise,53.79,"15,497","833,598","47,503",Oct 27 05:35 PM
DEPPE MICHAEL J,"VP, Corp. Controller & CAO",2022-10-26,Sale,145.00,"15,497","2,247,065","32,013",Oct 27 05:35 PM
RING TIMOTHY M,Director,2022-10-03,Option Exercise,61.23,"2,000","122,450","25,933",Oct 04 04:34 PM
RING TIMOTHY M,Director,2022-10-03,Sale,123.39,"2,000","246,780","23,933",Oct 04 04:34 PM
RING TIMOTHY M,Director,2022-09-01,Option Exercise,61.23,"2,000","122,450","25,933",Sep 06 07:04 PM
RING TIMOTHY M,Director,2022-09-01,Sale,125.02,"2,000","250,040","23,933",Sep 06 07:04 PM
RING TIMOTHY M,Director,2022-08-01,Option Exercise,60.85,"2,000","121,709","25,933",Aug 02 04:25 PM
RING TIMOTHY M,Director,2022-08-01,Sale,136.04,"2,000","272,080","23,933",Aug 02 04:25 PM
RING TIMOTHY M,Director,2022-07-01,Option Exercise,57.46,"2,000","114,911","25,933",Jul 05 04:35 PM
RING TIMOTHY M,Director,2022-07-01,Sale,133.47,"2,000","266,940","23,933",Jul 05 04:35 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-24,Option Exercise,94.2,"282,408","26,601,579","491,115",May 25 04:31 PM
RUSCKOWSKI STEPHEN H,"Chairman, CEO and President",2022-05-24,Sale,140.12,"282,408","39,571,322","334,833",May 25 04:31 PM
