Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
DEFRANCO JAMES,Director,2022-03-08,Buy,11.46,"150,000","1,719,000","3,767,658",Mar 08 06:42 PM
DEFRANCO JAMES,Director,2022-03-07,Buy,11.36,"100,000","1,136,000","604,642",Mar 08 06:42 PM
DEFRANCO JAMES,Director,2022-03-06,Buy,10.88,"500,000","5,440,000","504,642",Mar 08 06:42 PM
DEFRANCO JAMES,Director,2022-03-06,Buy,10.96,"50,000","548,000","3,617,658",Mar 08 06:42 PM
DEFRANCO JAMES,Director,2022-03-02,Buy,10.84,"1,450,000","15,718,000","3,567,658",Mar 06 05:54 PM
DEFRANCO JAMES,Director,2022-09-06,Buy,16.73,"110,000","1,840,300","131,327",Sep 08 08:42 PM
DEFRANCO JAMES,Director,2022-08-22,Buy,17.82,"144,328","2,571,925","1,050,000",Aug 24 04:36 PM
DEFRANCO JAMES,Director,2022-08-19,Buy,18.12,"191,735","3,473,809","905,672",Aug 23 05:03 PM
DEFRANCO JAMES,Director,2022-08-18,Buy,18.11,"163,637","2,963,466","713,937",Aug 22 05:36 PM
DEFRANCO JAMES,Director,2022-08-17,Buy,18.53,"160,373","2,971,712","550,300",Aug 19 05:12 PM
DEFRANCO JAMES,Director,2022-08-09,Buy,18.66,"35,620","664,669","389,927",Aug 11 06:07 PM
DEFRANCO JAMES,Director,2022-05-13,Buy,20.30,"50,000","1,015,000","1,711,428",May 16 04:47 PM
DEFRANCO JAMES,Director,2022-05-13,Buy,20.63,"33,700","695,231","2,117,658",May 16 04:47 PM
DEFRANCO JAMES,Director,2022-05-13,Buy,20.3,"50,000","1,015,000","1,711,428",May 16 04:47 PM
DEFRANCO JAMES,Director,2022-05-12,Buy,19.4,"766,300","14,866,220","2,083,958",May 16 04:47 PM
DEFRANCO JAMES,Director,2022-05-12,Buy,19.27,"400,000","7,708,000","1,661,428",May 16 04:47 PM
Brokaw George R,Director,2022-05-12,Buy,19.07,"5,000","95,350","5,000",May 16 04:42 PM
ERGEN CHARLES W,CHAIRMAN,2021-09-29,Option Exercise,27.9,"540,000","15,066,000","3,800,499",Oct 01 04:18 PM
Scott David A.,EVP & CHIEF HR OFFICER,2021-09-13,Sale,44.21,500,"22,105",616,Sep 15 04:11 PM
