Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Bruzzo Chris,Chief Experience Officer,2022-03-01,Sale,110.98,"2,000","221,960","11,907",Mar 03 05:14 PM
Miele Laura,Chief Operating Officer,2022-03-01,Sale,110.98,"1,500","166,470","28,270",Mar 03 05:27 PM
Singh Vijayanthimala,Chief People Officer,2022-03-01,Sale,110.98,800,"88,784","24,555",Mar 03 05:29 PM
Simonson Richard A,Director,2022-02-01,Option Exercise,116.76,212,"24,753","68,561",Feb 03 05:30 PM
Hoskins Roche L Talbott,Director,2022-02-01,Option Exercise,116.76,200,"23,352","19,406",Feb 03 05:24 PM
Huber Jeff,Director,2022-02-01,Option Exercise,116.76,176,"20,550","11,282",Feb 03 05:22 PM
Ueberroth Heidi,Director,2022-02-01,Option Exercise,116.76,171,"19,966","5,642",Feb 03 05:33 PM
Gonzalez Rachel A,Director,2022-02-01,Option Exercise,116.76,165,"19,265","2,465",Feb 03 05:19 PM
Bruzzo Chris,Chief Experience Officer,2022-02-01,Sale,114.47,"2,000","228,935","13,719",Feb 03 05:08 PM
Miele Laura,Chief Operating Officer,2022-02-01,Sale,114.47,"1,500","171,704","29,582",Feb 03 05:13 PM
Singh Vijayanthimala,Chief People Officer,2022-02-01,Sale,116.78,800,"93,424","25,355",Feb 03 05:16 PM
Wilson Andrew,CEO and Board Chair,2022-01-30,Sale,129.00,"5,000","645,007","80,274",Jan 31 05:06 PM
Bruzzo Chris,Chief Experience Officer,2022-01-03,Sale,123.59,"2,000","247,180","15,719",Jan 05 04:59 PM
Miele Laura,Chief Operating Officer,2022-01-03,Sale,123.59,"1,500","185,385","31,082",Jan 05 05:04 PM
Singh Vijayanthimala,Chief People Officer,2022-01-03,Sale,123.59,800,"98,872","26,155",Jan 05 05:07 PM
Wilson Andrew,CEO and Board Chair,2022-12-27,Sale,120.84,"5,000","604,219","85,274",Dec 29 05:09 PM
Bruzzo Chris,Chief Experience Officer,2022-12-01,Sale,130.74,"2,000","261,472","17,719",Dec 02 05:04 PM
Miele Laura,Chief Operating Officer,2022-12-01,Sale,131.83,"1,500","197,745","32,582",Dec 02 05:05 PM
Singh Vijayanthimala,Chief People Officer,2022-12-01,Sale,131.83,800,"105,464","26,955",Dec 02 05:07 PM
Wilson Andrew,CEO and Board Chair,2022-11-28,Sale,128.68,"5,000","643,391","90,274",Nov 29 05:57 PM
Schatz Jacob J.,Chief Legal Officer,2022-11-21,Sale,126.53,"2,000","253,054","16,737",Nov 21 05:26 PM
Wilson Andrew,CEO and Board Chair,2022-11-17,Sale,128.61,"10,000","1,286,101","95,274",Nov 21 05:23 PM
Kelly Eric Charles,Chief Accounting Officer,2022-11-14,Sale,129.56,"1,000","129,560","5,730",Nov 15 05:16 PM
Simonson Richard A,Director,2022-11-01,Option Exercise,126.27,196,"24,749","68,349",Nov 03 04:43 PM
Hoskins Roche L Talbott,Director,2022-11-01,Option Exercise,126.27,185,"23,360","19,206",Nov 03 04:41 PM
Huber Jeff,Director,2022-11-01,Option Exercise,126.27,164,"20,708","11,106",Nov 03 04:39 PM
Ueberroth Heidi,Director,2022-11-01,Option Exercise,126.27,158,"19,951","5,471",Nov 03 04:45 PM
Gonzalez Rachel A,Director,2022-11-01,Option Exercise,126.27,153,"19,319","2,300",Nov 03 04:32 PM
Bruzzo Chris,Chief Experience Officer,2022-11-01,Sale,126.29,"2,000","252,580","15,524",Nov 02 07:33 PM
Miele Laura,Chief Operating Officer,2022-11-01,Sale,126.29,"1,500","189,435","29,200",Nov 02 07:38 PM
Singh Vijayanthimala,Chief People Officer,2022-11-01,Sale,126.29,800,"101,032","25,314",Nov 02 07:41 PM
Wilson Andrew,CEO and Board Chair,2022-10-28,Sale,128.55,"5,885","756,505","24,242",Nov 01 05:33 PM
Wilson Andrew,CEO and Board Chair,2022-10-03,Sale,120.00,"6,975","837,000","26,742",Oct 04 05:39 PM
Bruzzo Chris,Chief Experience Officer,2022-10-03,Sale,118.69,"2,000","237,372","17,524",Oct 04 05:28 PM
Miele Laura,Chief Operating Officer,2022-10-03,Sale,116.23,"1,500","174,345","30,700",Oct 04 05:30 PM
Singh Vijayanthimala,Chief People Officer,2022-10-03,Sale,116.23,800,"92,984","26,114",Oct 04 05:36 PM
Bruzzo Chris,Chief Experience Officer,2022-09-01,Sale,126.84,"2,000","253,680","19,524",Sep 02 05:23 PM
Miele Laura,Chief Operating Officer,2022-09-01,Sale,125.88,"1,500","188,820","32,200",Sep 02 05:25 PM
Singh Vijayanthimala,Chief People Officer,2022-09-01,Sale,125.88,800,"100,704","26,914",Sep 02 05:26 PM
Wilson Andrew,CEO and Board Chair,2022-08-29,Sale,130.05,"7,373","958,883","29,242",Aug 31 05:09 PM
Schatz Jacob J.,Chief Legal Officer,2022-08-18,Sale,132.52,"6,816","903,258","17,251",Aug 19 06:13 PM
Moss Kenneth A,Chief Technology Officer,2022-08-12,Option Exercise,37.12,"30,713","1,140,067","280,252",Aug 16 05:39 PM
Moss Kenneth A,Chief Technology Officer,2022-08-12,Sale,131.28,"30,713","4,032,150","249,539",Aug 16 05:39 PM
