Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Loeger Julie A,"SVP, Chief Growth Officer",2022-02-15,Option Exercise,0.00,"4,707",0,"29,965",Feb 16 04:04 PM
IANNONE JAMIE,President and CEO,2022-02-07,Option Exercise,0.00,"7,591",0,"180,777",Feb 09 05:48 PM
SWAN ROBERT HOLMES,Director,2022-02-01,Sale,50.00,"20,000","1,000,000","136,632",Feb 03 04:22 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-01-15,Option Exercise,0.00,"2,462",0,"142,775",Jan 18 05:44 PM
Priest Stephen J,"SVP, Chief Financial Officer",2022-01-15,Option Exercise,0.00,"2,525",0,"27,038",Jan 18 05:34 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-12-15,Option Exercise,0.00,"9,659",0,"145,221",Dec 19 05:04 PM
Boone Cornelius,"SVP, Chief People Officer",2022-12-15,Option Exercise,0.00,"5,064",0,"25,508",Dec 19 04:59 PM
Priest Stephen J,"SVP, Chief Financial Officer",2022-12-15,Option Exercise,0.00,"3,386",0,"26,192",Dec 19 04:59 PM
IANNONE JAMIE,President and CEO,2022-12-15,Option Exercise,0.00,"14,068",0,"180,439",Dec 19 04:52 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-12-15,Option Exercise,0.00,"3,611",0,"26,827",Dec 19 04:50 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-12-15,Option Exercise,0.00,"8,287",0,"10,718",Dec 19 04:45 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-11-15,Option Exercise,0.00,"4,706",0,"24,526",Nov 17 04:43 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-11-15,Option Exercise,0.00,"4,741",0,"4,741",Nov 17 04:40 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-11-10,Sale,44.12,"9,542","420,983",0,Nov 14 05:29 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-11-08,Sale,41.89,"4,311","180,601","9,542",Nov 10 04:34 PM
IANNONE JAMIE,President and CEO,2022-11-07,Option Exercise,0.00,"7,592",0,"170,218",Nov 09 04:32 PM
SWAN ROBERT HOLMES,Director,2022-10-26,Sale,40.00,"25,000","1,000,000","155,248",Oct 28 04:32 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-10-15,Option Exercise,0.00,"2,462",0,"136,791",Oct 18 06:28 PM
Priest Stephen J,"SVP, Chief Financial Officer",2022-10-15,Option Exercise,0.00,"2,525",0,"24,058",Oct 18 06:23 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-09-15,Option Exercise,0.00,"8,285",0,"17,827",Sep 19 05:29 PM
IANNONE JAMIE,President and CEO,2022-09-15,Option Exercise,0.00,"14,067",0,"169,915",Sep 19 05:22 PM
Priest Stephen J,"SVP, Chief Financial Officer",2022-09-15,Option Exercise,0.00,"3,385",0,"23,212",Sep 19 05:15 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-09-15,Option Exercise,0.00,"3,611",0,"22,098",Sep 19 04:54 PM
Boone Cornelius,"SVP, Chief People Officer",2022-09-15,Option Exercise,0.00,"5,063",0,"22,133",Sep 19 06:40 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-09-15,Option Exercise,0.00,"9,660",0,"139,263",Sep 19 06:21 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-08-15,Option Exercise,0.00,"4,706",0,"20,510",Aug 17 04:27 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-08-15,Option Exercise,0.00,"4,740",0,"11,862",Aug 17 04:21 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-08-10,Sale,49.13,"12,107","594,768","7,122",Aug 12 04:16 PM
Priest Stephen J,"SVP, Chief Financial Officer",2022-07-15,Option Exercise,0.0,"31,746",0,"34,227",Jul 19 05:52 PM
Huber Marie Oh,"SVP, General Counsel & Sec.",2022-07-15,Option Exercise,0.0,"2,462",0,"130,848",Jul 19 05:47 PM
Huber Marie Oh,"SVP, General Counsel & Secreta",2022-06-15,Option Exercise,0.0,"9,659",0,"133,346",Jun 17 05:32 PM
Boone Cornelius,"SVP, Chief People Officer",2022-06-15,Option Exercise,0.0,"5,063",0,"19,026",Jun 17 05:26 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-06-15,Option Exercise,0.0,"8,286",0,"23,215",Jun 17 05:22 PM
Priest Stephen J,"SVP, Chief Financial Officer",2022-06-15,Option Exercise,0.0,"3,386",0,"4,041",Jun 17 05:16 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-06-15,Option Exercise,0.0,"3,612",0,"17,394",Jun 17 05:13 PM
IANNONE JAMIE,President and CEO,2022-06-15,Option Exercise,0.0,"14,068",0,"159,467",Jun 17 05:08 PM
TRAQUINA PERRY M,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"61,209",Jun 10 05:50 PM
SWAN ROBERT HOLMES,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"179,619",Jun 10 05:44 PM
SHROFF MOHAK,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"7,689",Jun 10 05:39 PM
PRESSLER PAUL S,Director,2022-06-08,Option Exercise,0.0,"5,307",0,"64,567",Jun 10 05:35 PM
Mitic Kathleen C.,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"20,120",Jun 10 05:30 PM
HAYLES CAROL,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"7,762",Jun 10 05:24 PM
Green Logan,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"30,123",Jun 10 05:13 PM
Brown Adriane M,Director,2022-06-08,Option Exercise,0.0,"3,791",0,"24,401",Jun 10 05:04 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-06-06,Sale,47.95,"3,633","174,217","14,929",Jun 08 04:23 PM
Doerger Brian J.,"VP, Chief Accounting Officer",2022-05-23,Sale,45.16,"7,942","358,669","18,562",May 24 04:49 PM
Loeger Julie A,"SVP, Chief Growth Officer",2022-05-15,Option Exercise,0.0,"4,705",0,"15,815",May 17 06:28 PM
