Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
MORA RICHARD,Director,2022-03-03,Option Exercise,5.53,"4,500","24,885","6,100",Mar 07 05:52 PM
MORA RICHARD,Director,2022-03-03,Sale,214.62,"4,500","965,775","1,600",Mar 07 05:52 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2022-02-21,Sale,203.25,"7,500","1,524,357","97,102",Feb 23 05:49 PM
Kothandaraman Badrinarayanan,President & CEO,2022-12-14,Sale,327.65,"36,327","11,902,454","1,131,459",Dec 16 06:25 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-12-13,Sale,326.42,"15,000","4,896,339","15,000",Dec 15 06:18 PM
Kothandaraman Badrinarayanan,President & CEO,2022-12-09,Option Exercise,1.30,"155,000","201,743","1,250,133",Dec 13 07:00 PM
Kothandaraman Badrinarayanan,President & CEO,2022-12-09,Sale,317.48,"82,347","26,143,358","1,167,786",Dec 13 07:00 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2022-11-21,Sale,303.43,"7,500","2,275,725","85,402",Nov 23 07:54 PM
Malchow Joseph Ian,Director,2022-11-16,Sale,310.00,"12,500","3,875,000","55,090",Nov 18 06:40 PM
GOMO STEVEN J,Director,2022-11-10,Sale,298.61,"25,000","7,465,209","41,456",Nov 10 06:16 PM
GOMO STEVEN J,Director,2022-10-31,Option Exercise,0.70,"25,000","17,500","66,456",Nov 02 06:20 PM
MORA RICHARD,Director,2022-10-27,Option Exercise,3.36,"13,000","43,683","14,600",Oct 28 06:10 PM
MORA RICHARD,Director,2022-10-27,Sale,308.81,"13,000","4,014,533","1,600",Oct 28 06:10 PM
Yang Mandy,"VP, Chief Financial Officer",2022-10-27,Sale,297.54,"9,454","2,812,913","88,399",Oct 28 06:11 PM
Kothandaraman Badrinarayanan,President & CEO,2022-09-13,Sale,296.52,"36,083","10,699,271","1,095,133",Sep 15 05:48 PM
Kothandaraman Badrinarayanan,President & CEO,2022-09-09,Option Exercise,1.31,"155,000","203,050","1,214,051",Sep 09 08:45 PM
Kothandaraman Badrinarayanan,President & CEO,2022-09-09,Sale,301.02,"82,835","24,934,670","1,131,216",Sep 09 08:45 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2022-08-10,Sale,293.03,"5,369","1,573,301","92,902",Aug 11 05:34 PM
Yang Mandy,"VP, Chief Financial Officer",2022-08-10,Sale,292.96,"1,687","494,216","107,149",Aug 11 05:32 PM
MORA RICHARD,Director,2022-08-02,Sale,297.33,"2,825","839,964","1,600",Aug 04 05:27 PM
Kortlang Benjamin John,Director,2022-07-28,Sale,268.59,"50,000","13,429,419","202,828",Jul 29 05:39 PM
GOMO STEVEN J,Director,2022-07-28,Sale,279.21,"35,822","10,001,854","41,456",Jul 29 05:43 PM
Kortlang Benjamin John,Director,2022-07-28,Sale,268.59,"50,000","13,429,419","202,828",Jul 29 05:39 PM
GOMO STEVEN J,Director,2022-07-20,Option Exercise,11.17,"35,822","400,149","77,278",Jul 22 06:10 PM
Kothandaraman Badrinarayanan,President & CEO,2022-06-23,Sale,200.0,"38,650","7,730,000","1,059,051",Jun 27 06:09 PM
Malchow Joseph Ian,Director,2022-06-15,Sale,188.0,"12,500","2,350,001","67,590",Jun 17 06:53 PM
Kothandaraman Badrinarayanan,President & CEO,2022-06-10,Option Exercise,1.31,"155,000","203,050","1,175,401",Jun 14 05:53 PM
Kothandaraman Badrinarayanan,President & CEO,2022-06-10,Sale,196.42,"77,700","15,262,180","1,097,701",Jun 14 05:53 PM
MORA RICHARD,Director,2022-06-02,Option Exercise,0.7,"6,000","4,200","10,425",Jun 03 05:05 PM
Kortlang Benjamin John,Director,2022-06-02,Sale,197.89,"25,000","4,947,164","249,289",Jun 03 05:06 PM
MORA RICHARD,Director,2022-06-02,Sale,198.5,"6,000","1,191,016","4,425",Jun 03 05:05 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-28,Sale,200.01,"37,500","7,500,356","988,302",Mar 30 04:26 PM
Malchow Joseph Ian,Director,2022-03-14,Sale,156.05,"4,460","695,983","78,490",Mar 15 08:01 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-10,Option Exercise,1.31,"155,000","203,050","1,105,802",Mar 11 09:23 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-10,Sale,175.65,"80,000","14,052,297","1,025,802",Mar 11 09:23 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-03-03,Sale,162.86,"19,216","3,129,531","47,412",Mar 03 09:08 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-03-02,Sale,162.81,"20,784","3,383,914","66,628",Mar 03 09:08 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2022-03-02,Sale,162.81,"15,376","2,503,407","85,471",Mar 03 09:06 PM
Yang Mandy,Chief Financial Officer,2022-03-02,Sale,162.81,"12,117","1,972,827","67,524",Mar 03 09:06 PM
Kothandaraman Badrinarayanan,President & CEO,2022-03-02,Sale,162.81,"35,502","5,780,127","950,802",Mar 03 09:05 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-02-17,Sale,151.06,"19,271","2,911,114","66,527",Feb 18 08:41 PM
McNeil Jeff,EVP & Chief Operating Officer,2022-02-16,Sale,149.49,"18,229","2,724,978","85,798",Feb 18 08:41 PM
GOMO STEVEN J,Director,2022-02-10,Sale,163.48,"31,609","5,167,341","39,728",Feb 14 04:58 PM
GOMO STEVEN J,Director,2022-02-04,Option Exercise,5.53,"31,609","174,798","71,337",Feb 04 08:06 PM
Kothandaraman Badrinarayanan,President & CEO,2021-12-30,Sale,184.71,"30,000","5,541,265","956,304",Dec 30 08:25 PM
Branderiz Eric,EVP & Chief Financial Officer,2021-12-17,Sale,183.9,"21,908","4,028,981","90,691",Dec 17 05:41 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2021-12-01,Sale,250.65,"20,299","5,087,936","84,847",Dec 03 06:47 PM
GOMO STEVEN J,Director,2021-11-23,Option Exercise,12.57,"12,932","162,555","39,728",Nov 24 05:04 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2021-11-17,Sale,254.28,"20,299","5,161,637","84,847",Nov 18 06:48 PM
RANHOFF DAVID A,EVP & Chief Commercial Officer,2021-11-16,Sale,244.1,"66,272","16,177,048","108,646",Nov 18 06:48 PM
Yang Mandy,Chief Accounting Officer,2021-11-04,Sale,236.69,"3,373","798,355","64,390",Nov 05 05:00 PM
Yang Mandy,Chief Accounting Officer,2021-11-03,Sale,233.5,"9,453","2,207,293","67,763",Nov 05 05:00 PM
MORA RICHARD,Director,2021-10-29,Option Exercise,0.7,"19,000","13,300","21,825",Oct 29 07:44 PM
McNeil Jeff,EVP & Chief Operating Officer,2021-10-29,Sale,225.8,"30,000","6,774,101","103,819",Oct 29 07:46 PM
