Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Faria Joao V,See Remarks below.,2022-03-07,Sale,176.38,"2,500","440,948","73,814",Mar 08 04:36 PM
BRICKHOUSE BRIAN S,See Remarks below.,2022-03-03,Option Exercise,98.21,"1,018","99,978","16,923",Mar 06 11:07 AM
BRICKHOUSE BRIAN S,See Remarks below.,2022-03-03,Sale,176.97,"21,347","3,777,885","15,905",Mar 06 11:07 AM
Faria Joao V,See Remarks below.,2022-02-27,Option Exercise,98.21,"6,222","611,063","81,518",Feb 28 04:58 PM
Faria Joao V,See Remarks below.,2022-02-27,Sale,174.55,"5,204","908,358","76,314",Feb 28 04:58 PM
Szmagala Taras G. Jr.,See Remarks below.,2022-02-27,Sale,174.72,"1,430","249,842","9,714",Feb 28 04:56 PM
RUIZ STERNADT PAULO,See Remarks below.,2022-02-24,Option Exercise,0.00,917,0,"11,573",Feb 27 04:37 PM
Szmagala Taras G. Jr.,See Remarks below.,2022-02-24,Option Exercise,0.00,228,0,"11,213",Feb 27 04:37 PM
Monesmith Heath B.,See Remarks below.,2022-02-24,Option Exercise,0.00,"1,398",0,"67,676",Feb 27 04:35 PM
MARSHALL ERNEST W JR,See Remarks below.,2022-02-24,Option Exercise,0.00,874,0,"30,104",Feb 27 04:34 PM
Hopgood Daniel Roy,See Remarks below.,2022-02-24,Option Exercise,0.00,629,0,"10,485",Feb 27 04:32 PM
Faria Joao V,See Remarks below.,2022-02-24,Option Exercise,0.00,961,0,"75,675",Feb 27 04:31 PM
CHERUVATATH NANDAKUMAR,See Remarks below.,2022-02-24,Option Exercise,0.00,786,0,"22,244",Feb 27 04:28 PM
BRICKHOUSE BRIAN S,See Remarks below.,2022-02-24,Option Exercise,0.00,"1,048",0,"37,708",Feb 27 04:27 PM
ARNOLD CRAIG,See Remarks below.,2022-02-24,Option Exercise,0.00,"8,509",0,"520,531",Feb 27 04:25 PM
Faria Joao V,See Remarks below.,2022-02-23,Option Exercise,109.48,"4,536","496,614","81,981",Feb 24 08:35 PM
