Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Silverman Josh,President & CEO,2022-03-01,Option Exercise,10.62,"20,850","221,427","128,155",Mar 02 04:28 PM
Silverman Josh,President & CEO,2022-03-01,Sale,117.90,"20,850","2,458,120","107,305",Mar 02 04:28 PM
Kumar Rachana,Chief Technology Officer,2022-02-28,Sale,121.71,"1,644","200,091","6,705",Mar 02 04:27 PM
Glaser Rachel C,Chief Financial Officer,2022-02-24,Option Exercise,31.22,"19,822","618,841","68,965",Feb 28 05:21 PM
Glaser Rachel C,Chief Financial Officer,2022-02-24,Sale,125.54,"19,822","2,488,428","49,143",Feb 28 05:21 PM
Daniel Nicholas,Chief Product Officer,2022-02-15,Option Exercise,41.65,"1,000","41,650","4,309",Feb 17 04:15 PM
Daniel Nicholas,Chief Product Officer,2022-02-15,Sale,139.48,"1,000","139,481","3,309",Feb 17 04:15 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-02-02,Option Exercise,62.06,"9,842","610,795","9,842",Feb 03 04:56 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-02-02,Sale,144.00,"9,842","1,417,248",0,Feb 03 04:56 PM
Silverman Josh,President & CEO,2022-02-01,Option Exercise,10.62,"20,850","221,427","128,155",Feb 03 04:53 PM
Silverman Josh,President & CEO,2022-02-01,Sale,135.74,"20,850","2,830,107","107,305",Feb 03 04:53 PM
Silverman Josh,President & CEO,2022-01-18,Option Exercise,10.62,"20,850","221,427","128,155",Jan 19 04:12 PM
Silverman Josh,President & CEO,2022-01-18,Sale,132.51,"20,850","2,762,856","107,305",Jan 19 04:12 PM
Daniel Nicholas,Chief Product Officer,2022-01-17,Option Exercise,38.61,"1,000","38,611","4,309",Jan 19 04:11 PM
Daniel Nicholas,Chief Product Officer,2022-01-17,Sale,135.18,"1,000","135,176","3,309",Jan 19 04:11 PM
Silverman Josh,President & CEO,2022-01-04,Option Exercise,10.62,"20,850","221,427","128,155",Jan 06 04:32 PM
Silverman Josh,President & CEO,2022-01-04,Sale,116.94,"20,850","2,438,121","107,305",Jan 06 04:32 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-01-04,Sale,116.98,"1,170","136,865",0,Jan 04 04:56 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-01-01,Option Exercise,0.00,"1,941",0,"1,941",Jan 04 04:56 PM
Silverman Josh,President & CEO,2022-12-21,Option Exercise,10.62,"20,850","221,427","128,155",Dec 22 04:42 PM
Silverman Josh,President & CEO,2022-12-21,Sale,132.87,"20,850","2,770,302","107,305",Dec 22 04:42 PM
Daniel Nicholas,Chief Product Officer,2022-12-08,Option Exercise,28.38,"1,000","28,380","4,309",Dec 09 05:00 PM
Daniel Nicholas,Chief Product Officer,2022-12-08,Sale,134.04,"1,000","134,038","3,309",Dec 09 05:00 PM
Silverman Josh,President & CEO,2022-12-07,Option Exercise,10.62,"20,850","221,427","128,155",Dec 09 04:58 PM
REIFF MELISSA,Director,2022-12-07,Option Exercise,16.00,"4,300","68,800","8,397",Dec 09 04:59 PM
Silverman Josh,President & CEO,2022-12-07,Sale,130.88,"20,850","2,728,803","107,305",Dec 09 04:58 PM
REIFF MELISSA,Director,2022-12-07,Sale,130.81,"4,300","562,481","4,097",Dec 09 04:59 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-12-01,Sale,133.00,"1,237","164,521",0,Dec 05 04:43 PM
Silverman Josh,President & CEO,2022-11-16,Option Exercise,10.62,"20,850","221,427","128,155",Nov 18 04:20 PM
Silverman Josh,President & CEO,2022-11-16,Sale,120.74,"20,850","2,517,444","107,305",Nov 18 04:20 PM
Glaser Rachel C,Chief Financial Officer,2022-11-11,Option Exercise,31.20,"75,000","2,339,993","124,143",Nov 15 04:50 PM
Glaser Rachel C,Chief Financial Officer,2022-11-11,Sale,115.63,"75,000","8,672,479","49,143",Nov 15 04:50 PM
MOSKOWITZ RAINA,Chief Operating Officer,2022-11-11,Sale,116.01,"2,000","232,020","15,894",Nov 14 04:46 PM
MOSKOWITZ RAINA,Chief Operating Officer,2022-11-10,Sale,101.00,"5,000","505,000","17,894",Nov 14 04:46 PM
Daniel Nicholas,Chief Product Officer,2022-11-08,Sale,103.20,"2,540","262,128","3,309",Nov 09 05:28 PM
Fisher Michael T,Chief Technology Officer,2022-11-07,Option Exercise,51.94,"29,013","1,507,029","45,115",Nov 09 05:27 PM
Fisher Michael T,Chief Technology Officer,2022-11-07,Sale,98.10,"30,385","2,980,768","14,730",Nov 09 05:27 PM
WILSON FREDERICK R,Director,2022-11-07,Sale,98.43,"17,500","1,722,548","501,329",Nov 09 05:25 PM
Silverman Josh,President & CEO,2022-11-02,Option Exercise,10.62,"20,850","221,427","128,155",Nov 04 04:20 PM
Silverman Josh,President & CEO,2022-11-02,Sale,90.74,"20,850","1,891,867","107,305",Nov 04 04:20 PM
Silverman Josh,President & CEO,2022-10-19,Option Exercise,10.62,"20,850","221,427","128,155",Oct 20 04:01 PM
Silverman Josh,President & CEO,2022-10-19,Sale,95.85,"20,850","1,998,410","107,305",Oct 20 04:01 PM
Glaser Rachel C,Chief Financial Officer,2022-10-14,Option Exercise,69.89,"3,040","212,466","52,183",Oct 17 05:36 PM
Glaser Rachel C,Chief Financial Officer,2022-10-14,Sale,95.40,"3,040","290,025","49,143",Oct 17 05:36 PM
Silverman Josh,President & CEO,2022-10-05,Option Exercise,10.62,"20,850","221,427","128,155",Oct 07 04:58 PM
Silverman Josh,President & CEO,2022-10-05,Sale,110.59,"20,850","2,305,808","107,305",Oct 07 04:58 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-10-04,Sale,109.06,"2,933","319,885","1,237",Oct 04 05:55 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-10-03,Option Exercise,41.65,"6,146","255,981","10,316",Oct 04 05:55 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-10-03,Sale,104.00,"6,146","639,184","4,170",Oct 04 05:55 PM
SCOTT RYAN M.,Chief Marketing Officer,2022-10-01,Option Exercise,0.00,"8,523",0,"8,523",Oct 04 05:55 PM
MOSKOWITZ RAINA,Chief Operating Officer,2022-10-01,Option Exercise,0.00,"10,474",0,"28,689",Oct 04 05:53 PM
Glaser Rachel C,Chief Financial Officer,2022-10-01,Option Exercise,0.00,"14,399",0,"57,108",Oct 04 05:52 PM
Buckley Merilee,Chief Accounting Officer,2022-10-01,Option Exercise,0.00,"2,076",0,"2,247",Oct 04 05:49 PM
Fisher Michael T,Chief Technology Officer,2022-10-01,Option Exercise,0.00,"14,085",0,"23,458",Oct 04 05:50 PM
Daniel Nicholas,Chief Product Officer,2022-10-01,Option Exercise,0.00,"2,735",0,"6,612",Oct 04 06:03 PM
Seymour Kimaria,Chief Human Resources Officer,2022-10-01,Option Exercise,0.00,"3,654",0,"3,654",Oct 04 06:01 PM
Simeone Jill,Chief Legal Officer,2022-10-01,Option Exercise,0.00,"10,474",0,"26,279",Oct 04 05:59 PM
Silverman Josh,President & CEO,2022-10-01,Option Exercise,0.00,"10,289",0,"112,996",Oct 04 05:57 PM
