Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-03-08,Option Exercise,35.20,"6,725","236,698","69,286",Mar 08 05:56 PM
Lemercier Jean-Luc M,"CVP, EMEACLA and JAPAC",2022-03-08,Option Exercise,35.20,"6,640","233,706","175,515",Mar 08 05:57 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-03-08,Sale,76.96,"6,725","517,558","62,561",Mar 08 05:56 PM
Lemercier Jean-Luc M,"CVP, EMEACLA and JAPAC",2022-03-08,Sale,76.96,"6,640","510,996","168,875",Mar 08 05:57 PM
STONE HEISZ LESLIE,Director,2022-02-16,Option Exercise,35.68,"9,671","345,029","37,151",Feb 16 06:21 PM
STONE HEISZ LESLIE,Director,2022-02-16,Sale,76.82,"9,671","742,942","27,480",Feb 16 06:21 PM
Chopra Daveen,"CVP, TMTT",2022-02-15,Option Exercise,45.28,"4,000","181,107","22,911",Feb 15 06:20 PM
Chopra Daveen,"CVP, TMTT",2022-02-15,Sale,76.01,"4,000","304,040","18,911",Feb 15 06:20 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-02-14,Option Exercise,35.20,"29,375","1,033,903","186,728",Feb 14 07:14 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-02-14,Sale,77.00,"19,875","1,530,308","157,353",Feb 14 07:14 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-02-06,Option Exercise,35.20,"6,725","236,698","69,286",Feb 06 08:47 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-02-06,Sale,80.75,"6,725","543,044","62,561",Feb 06 08:47 PM
Chopra Daveen,"CVP, TMTT",2022-01-17,Option Exercise,45.28,"4,000","181,107","22,911",Jan 17 06:18 PM
Chopra Daveen,"CVP, TMTT",2022-01-17,Sale,78.00,"4,000","312,000","18,911",Jan 17 06:18 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-01-13,Option Exercise,35.20,"29,375","1,033,903","186,728",Jan 13 06:41 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-01-13,Sale,78.09,"19,875","1,552,124","157,353",Jan 13 06:41 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-01-09,Option Exercise,35.20,"6,725","236,698","69,286",Jan 09 06:40 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-01-09,Sale,77.50,"6,725","521,188","62,561",Jan 09 06:40 PM
Chopra Daveen,"CVP, Surgical Structural Heart",2022-12-15,Option Exercise,45.28,"4,000","181,107","22,911",Dec 15 06:12 PM
Chopra Daveen,"CVP, Surgical Structural Heart",2022-12-15,Sale,74.80,"4,000","299,200","18,911",Dec 15 06:12 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-12-14,Option Exercise,35.20,"29,375","1,033,903","186,728",Dec 14 06:49 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-12-14,Sale,76.39,"19,875","1,518,340","157,353",Dec 14 06:49 PM
Wood Larry L,"CVP, TAVR",2022-12-13,Option Exercise,36.75,"7,236","265,923","209,468",Dec 13 05:29 PM
Wood Larry L,"CVP, TAVR",2022-12-13,Sale,76.98,"7,236","557,017","202,232",Dec 13 05:29 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-12-12,Option Exercise,35.20,"6,725","236,698","69,286",Dec 12 06:30 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-12-12,Sale,74.32,"6,725","499,802","62,561",Dec 12 06:30 PM
Chopra Daveen,"CVP, Surgical Structural Heart",2022-11-15,Option Exercise,45.28,"4,000","181,107","22,911",Nov 15 04:47 PM
Chopra Daveen,"CVP, Surgical Structural Heart",2022-11-15,Sale,74.18,"4,000","296,720","18,911",Nov 15 04:47 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-11-14,Option Exercise,35.20,"29,375","1,033,903","186,728",Nov 14 07:00 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-11-14,Sale,74.15,"19,875","1,473,636","157,353",Nov 14 07:00 PM
Wood Larry L,"CVP, TAVR",2022-11-08,Option Exercise,36.75,"7,242","266,144","209,474",Nov 08 06:01 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-11-08,Option Exercise,35.20,"6,725","236,698","69,286",Nov 08 06:01 PM
Wood Larry L,"CVP, TAVR",2022-11-08,Sale,68.50,"7,242","496,065","202,232",Nov 08 06:01 PM
BOBO DONALD E JR,"CVP,Strategy/Corp Development",2022-11-08,Sale,68.46,"6,725","460,393","62,561",Nov 08 06:01 PM
MUSSALLEM MICHAEL A,Chairman & CEO,2022-10-14,Option Exercise,35.20,"29,375","1,033,903","186,728",Oct 14 07:10 PM
