Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
LANE AMY B,Director,2022-01-03,Buy,175.83,280,"49,233","1,529",Jan 03 04:45 PM
Subramaniam Rajesh,President/CEO,2022-09-26,Option Exercise,107.48,"1,373","147,577","33,458",Sep 27 05:53 PM
MARTIN R BRAD,Director,2022-09-26,Buy,143.41,"1,500","215,120",750,Sep 27 04:51 PM
Carere Brie,EVP/Chief Customer Officer,2022-08-12,Option Exercise,182.12,"11,235","2,046,169","27,601",Aug 12 04:31 PM
Carere Brie,EVP/Chief Customer Officer,2022-08-12,Sale,228.85,"11,235","2,571,081","16,366",Aug 12 04:31 PM
Brannon Jill,EVP - Chief Sales Officer,2022-08-05,Option Exercise,143.54,"5,620","806,723","13,733",Aug 05 04:58 PM
Brannon Jill,EVP - Chief Sales Officer,2022-08-05,Sale,237.00,"5,620","1,331,940","8,113",Aug 05 04:58 PM
Brannon Jill,EVP - Chief Sales Officer,2022-08-05,Sale,237.77,"1,406","334,309","7,785",Aug 05 04:58 PM
Lenz Michael C.,EVP CHIEF FINANCIAL OFF,2022-07-29,Option Exercise,96.86,"7,335","710,505","25,586",Jul 29 04:53 PM
Lenz Michael C.,EVP CHIEF FINANCIAL OFF,2022-07-29,Sale,230.72,"7,335","1,692,368","18,251",Jul 29 04:53 PM
CARTER ROBERT B,EVP / Chief Info Officer,2022-07-26,Option Exercise,96.86,"12,310","1,192,408","67,226",Jul 26 06:02 PM
CARTER ROBERT B,EVP / Chief Info Officer,2022-07-26,Sale,224.67,"12,310","2,765,651","54,916",Jul 26 06:02 PM
MARTIN R BRAD,Director,2022-07-21,Option Exercise,84.71,"4,720","399,831","56,935",Jul 21 04:34 PM
CARTER ROBERT B,EVP / Chief Info Officer,2022-07-08,Option Exercise,96.86,"12,310","1,192,408","67,226",Jul 08 04:35 PM
CARTER ROBERT B,EVP / Chief Info Officer,2022-07-08,Sale,230.61,"12,310","2,838,850","54,916",Jul 08 04:35 PM
Vena Vincenzo J,Director,2022-07-06,Buy,230.04,900,"207,040","1,325",Jul 07 06:09 PM
LANE AMY B,Director,2022-06-30,Buy,228.12,607,"138,467",686,Jun 30 04:35 PM
SMITH FREDERICK W,Chairman/CEO,2022-05-02,Option Exercise,85.25,"198,675","16,938,037","14,387,734",May 03 05:31 PM
WALSH PAUL S,Director,2022-04-14,Option Exercise,84.71,"4,720","399,831","17,720",Apr 18 06:03 PM
WALSH PAUL S,Director,2022-04-14,Sale,206.42,"3,720","767,868","14,000",Apr 18 06:03 PM
CARTER ROBERT B,EVP / Chief Info Officer,2021-07-12,Option Exercise,85.25,"16,235","1,384,115","68,680",Jul 12 05:21 PM
CARTER ROBERT B,EVP / Chief Info Officer,2021-07-12,Sale,299.66,"16,235","4,864,941","52,445",Jul 12 05:21 PM
