Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Warren Thomas K,Chief Accounting Officer,2022-03-01,Option Exercise,0.00,420,0,"8,556",Mar 02 05:54 PM
Williams Lenore D,"CEVP, Chief People Officer",2022-03-01,Option Exercise,0.00,"1,575",0,"31,246",Mar 02 05:55 PM
Ferris Stephanie,CEO and President,2022-03-01,Option Exercise,0.00,"5,600",0,"85,896",Mar 02 05:53 PM
Gileadi Ido,Chief Operating Officer,2022-03-01,Option Exercise,0.00,"2,520",0,"50,472",Mar 02 05:53 PM
Hoag Erik D,CEVP Chief Financial Officer,2022-03-01,Option Exercise,0.00,"1,400",0,"16,695",Mar 02 05:54 PM
Tsai Caroline,CEVP CLO and Corp Affairs,2022-03-01,Option Exercise,0.00,"2,625",0,"2,625",Mar 02 05:54 PM
STIEFLER JEFFREY E,Director,2022-02-22,Buy,66.88,"2,243","150,012","3,343",Feb 28 04:18 PM
Ferris Stephanie,Chief Executive Officer,2022-02-21,Buy,66.71,"2,240","149,430","80,296",Feb 21 04:26 PM
Shea Brian T,Director,2022-02-17,Buy,68.72,"2,300","158,056","8,707",Feb 17 04:52 PM
Stallings James B JR,Director,2022-02-16,Buy,68.45,"2,200","150,597","15,592",Feb 17 04:52 PM
Goldstein Jeffrey A,Director,2022-02-16,Buy,67.55,"2,224","150,231","4,446",Feb 17 04:49 PM
D'Silva Vijay,Director,2022-02-16,Buy,66.88,"2,210","147,805","2,210",Feb 17 04:48 PM
PARENT LOUISE M,Director,2022-02-15,Buy,66.99,"2,247","150,529","8,326",Feb 17 04:51 PM
LAMNECK KENNETH T,Director,2022-02-15,Buy,66.79,"2,246","150,004","2,246",Feb 17 04:50 PM
Alemany Ellen R,Director,2022-02-15,Buy,67.09,"2,200","147,589","2,200",Feb 17 04:48 PM
Gileadi Ido,Chief Operating Officer,2022-11-02,Option Exercise,0.00,484,0,"37,956",Nov 04 04:26 PM
Norcross Gary,Chairman and CEO,2022-09-12,Option Exercise,66.18,"39,403","2,607,691","886,046",Sep 13 04:22 PM
Norcross Gary,Chairman and CEO,2022-09-12,Sale,93.20,"39,403","3,672,370","846,643",Sep 13 04:22 PM
Norcross Gary,Chairman and CEO,2022-09-09,Option Exercise,66.18,"80,000","5,294,400","926,643",Sep 13 04:22 PM
Norcross Gary,Chairman and CEO,2022-09-09,Sale,90.89,"80,000","7,271,320","846,643",Sep 13 04:22 PM
Norcross Gary,Chairman and CEO,2022-09-08,Option Exercise,66.18,"80,000","5,294,400","926,643",Sep 09 04:20 PM
Woodall James W.,Corporate EVP - CFO,2022-09-08,Option Exercise,66.18,"18,613","1,231,808","150,211",Sep 09 04:21 PM
