Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Sandifer Andrew D,EVP and CFO,2022-03-02,Sale,127.77,"5,000","638,835","39,061",Mar 03 02:14 PM
pereira ronaldo,"EVP, President, FMC Americas",2022-03-01,Sale,129.29,"1,955","252,761","19,478",Mar 03 02:19 PM
Reilly Michael Finian,"EVP, General Counsel & Sec.",2022-03-01,Sale,128.56,"1,200","154,268","21,295",Mar 03 02:17 PM
Pfeiffer Nicholas,Corporate Controller,2022-02-27,Option Exercise,92.36,"3,757","346,997","15,821",Mar 01 02:33 PM
Pfeiffer Nicholas,Corporate Controller,2022-02-27,Sale,129.70,"4,421","573,411","12,064",Mar 01 02:33 PM
Pfeiffer Nicholas,Corporate Controller,2022-12-02,Sale,132.56,500,"66,282","11,222",Dec 05 02:35 PM
Reilly Michael Finian,"EVP, General Counsel & Sec.",2022-11-09,Option Exercise,32.36,"4,502","145,685","22,856",Nov 14 09:23 AM
Reilly Michael Finian,"EVP, General Counsel & Sec.",2022-11-09,Sale,126.95,"4,502","571,529","18,354",Nov 14 09:23 AM
Pfeiffer Nicholas,Corporate Controller,2022-06-07,Sale,119.78,"1,000","119,780","11,722",Jun 08 02:35 PM
Pfeiffer Nicholas,Corporate Controller,2022-03-11,Option Exercise,75.69,"2,181","165,080","14,903",Mar 14 03:06 PM
Pfeiffer Nicholas,Corporate Controller,2022-03-11,Sale,123.65,"2,181","269,681","12,722",Mar 14 03:06 PM
Sandifer Andrew D,EVP and CFO,2022-03-04,Option Exercise,49.89,"5,625","280,631","40,708",Mar 07 04:38 PM
Sandifer Andrew D,EVP and CFO,2022-03-04,Sale,119.36,"1,500","179,040","39,208",Mar 07 04:38 PM
Reilly Michael Finian,"EVP, General Counsel & Sec.",2022-03-01,Option Exercise,56.62,"4,915","278,281","21,101",Mar 02 02:14 PM
Reilly Michael Finian,"EVP, General Counsel & Sec.",2022-03-01,Sale,115.41,"4,915","567,242","18,354",Mar 02 02:14 PM
Pfeiffer Nicholas,Corporate Controller,2022-02-22,Option Exercise,75.69,"2,500","189,225","11,929",Feb 24 09:39 AM
Pfeiffer Nicholas,Corporate Controller,2022-02-22,Sale,116.4,"2,500","291,000","9,429",Feb 24 09:39 AM
Pfeiffer Nicholas,Corporate Controller,2021-11-08,Sale,106.83,"1,000","106,830","11,929",Nov 09 12:02 PM
Sandifer Andrew D,EVP and CFO,2021-09-03,Buy,96.97,"1,260","122,182","30,906",Sep 07 03:42 PM
DAVIDSON CAROL ANTHONY,Director,2021-08-30,Buy,93.89,"1,500","140,836","4,573",Aug 30 03:01 PM
DOUGLAS MARK,President and CEO,2021-08-24,Buy,90.57,"1,100","99,624","49,656",Aug 25 04:21 PM
