Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kalmbach Thomas Peter,EVP & CFO,2022-03-01,Option Exercise,82.56,"30,000","2,476,800","34,233",Mar 02 04:06 PM
Darden James Matthew,Co-CEO,2022-03-01,Option Exercise,77.26,"10,000","772,600","34,070",Mar 02 04:51 PM
Kalmbach Thomas Peter,EVP & CFO,2022-03-01,Sale,122.24,"24,162","2,953,622","10,071",Mar 02 04:06 PM
Darden James Matthew,Co-CEO,2022-03-01,Sale,121.78,"9,000","1,096,057","25,070",Mar 02 04:51 PM
SVOBODA FRANK M,Co-CEO,2022-02-28,Option Exercise,77.26,"10,000","772,600","13,370",Feb 28 06:32 PM
SVOBODA FRANK M,Co-CEO,2022-02-28,Sale,121.36,"10,000","1,213,596","3,370",Feb 28 06:32 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-02-27,Option Exercise,87.60,"38,000","3,328,800","42,310",Mar 01 05:58 PM
HUTCHISON LARRY M,Co-Chaiman,2022-02-27,Option Exercise,77.26,"13,000","1,004,380","763,863",Mar 01 05:32 PM
COLEMAN GARY L,Co-Chairman,2022-02-27,Option Exercise,77.26,"13,000","1,004,380","650,079",Mar 01 05:26 PM
MITCHELL ROBERT BRIAN,"EVP, General Counsel and CRO",2022-02-27,Sale,121.45,"38,000","4,614,916","4,310",Mar 01 05:58 PM
COLEMAN GARY L,Co-Chairman,2022-02-27,Sale,120.57,"13,000","1,567,368","637,079",Mar 01 05:26 PM
HUTCHISON LARRY M,Co-Chaiman,2022-02-27,Sale,120.56,"13,000","1,567,290","750,863",Mar 01 05:32 PM
MAJORS MICHAEL CLAY,EVP - Chief Strategy Officer,2022-02-24,Option Exercise,82.56,"16,000","1,320,960","51,015",Feb 28 06:01 PM
SVOBODA FRANK M,Co-CEO,2022-02-24,Option Exercise,77.26,"10,000","772,600","13,370",Feb 28 06:32 PM
