Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Jagdfeld Aaron,Chief Executive Officer,2022-03-01,Option Exercise,29.81,"69,501","2,071,825","655,476",Mar 03 06:19 PM
Jagdfeld Aaron,Chief Executive Officer,2022-03-01,Sale,119.37,"45,207","5,396,367","615,269",Mar 03 06:19 PM
Ragen York A.,Chief Financial Officer,2022-02-24,Option Exercise,47.86,"41,462","1,984,184","155,021",Feb 28 04:39 PM
Jagdfeld Aaron,Chief Executive Officer,2022-01-03,Sale,102.69,"5,000","513,450","585,975",Jan 05 04:06 PM
Dixon Robert D,Director,2022-12-05,Buy,97.27,"2,000","194,550","8,895",Dec 06 07:08 AM
Jagdfeld Aaron,Chief Executive Officer,2022-12-01,Sale,105.20,"5,000","526,000","590,975",Dec 02 04:06 PM
Jagdfeld Aaron,Chief Executive Officer,2022-11-01,Sale,119.05,"5,000","595,250","595,975",Nov 03 06:06 PM
Jagdfeld Aaron,Chief Executive Officer,2022-10-03,Sale,179.90,"5,000","899,500","600,975",Oct 05 04:06 PM
Jagdfeld Aaron,Chief Executive Officer,2022-09-01,Sale,216.36,"5,000","1,081,800","605,975",Sep 02 04:04 PM
Jagdfeld Aaron,Chief Executive Officer,2022-08-01,Sale,264.96,"5,000","1,324,800","610,975",Aug 03 04:03 PM
Jagdfeld Aaron,Chief Executive Officer,2022-07-01,Sale,213.81,"5,000","1,069,050","615,975",Jul 01 04:04 PM
Jagdfeld Aaron,Chief Executive Officer,2022-06-01,Sale,250.68,"5,000","1,253,400","620,975",Jun 03 04:04 PM
Jagdfeld Aaron,Chief Executive Officer,2022-05-02,Sale,218.7,"5,000","1,093,500","625,975",May 02 04:09 PM
Jagdfeld Aaron,Chief Executive Officer,2022-04-01,Sale,298.74,"5,000","1,493,700","630,975",Apr 01 04:09 PM
MINICK RUSSELL S,Chief Marketing Officer,2022-03-04,Sale,318.01,"11,389","3,621,817","4,722",Mar 04 04:59 PM
MINICK RUSSELL S,Chief Marketing Officer,2022-03-01,Option Exercise,54.54,"6,749","368,082","14,318",Mar 03 05:37 PM
Jagdfeld Aaron,Chief Executive Officer,2022-03-01,Sale,314.49,"5,000","1,572,450","623,106",Mar 03 05:44 PM
Jagdfeld Aaron,Chief Executive Officer,2022-02-01,Option Exercise,15.94,"62,087","989,667","663,000",Feb 03 04:31 PM
Jagdfeld Aaron,Chief Executive Officer,2022-02-01,Sale,282.46,"34,894","9,856,053","628,106",Feb 03 04:31 PM
Jagdfeld Aaron,Chief Executive Officer,2022-01-03,Sale,350.5,"5,000","1,752,488","600,913",Jan 05 04:24 PM
Jagdfeld Aaron,Chief Executive Officer,2021-12-01,Sale,422.88,"5,000","2,114,409","605,913",Dec 03 04:26 PM
Ragen York A.,Chief Financial Officer,2021-11-11,Option Exercise,29.81,"10,000","298,100","119,954",Nov 12 04:30 PM
Ragen York A.,Chief Financial Officer,2021-11-11,Sale,442.63,"10,000","4,426,284","109,954",Nov 12 04:30 PM
Jagdfeld Aaron,Chief Executive Officer,2021-11-01,Sale,496.95,"5,000","2,484,760","610,913",Nov 02 04:07 PM
Jagdfeld Aaron,Chief Executive Officer,2021-10-01,Sale,402.53,"5,000","2,012,652","615,913",Oct 01 04:09 PM
Jagdfeld Aaron,Chief Executive Officer,2021-09-01,Sale,438.41,"5,000","2,192,032","620,913",Sep 03 04:06 PM
Jagdfeld Aaron,Chief Executive Officer,2021-08-02,Sale,417.06,"5,000","2,085,310","625,913",Aug 03 04:15 PM
Forsythe Patrick John,Chief Technical Officer,2021-07-12,Sale,450.0,"4,223","1,900,350","11,866",Jul 14 05:04 PM
