Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
PORTEOUS DAVID L,Director,2022-01-27,Sale,15.01,"80,000","1,201,008","62,845",Jan 31 04:23 PM
Jones Michael Scott,Senior Exec. V.P.,2022-11-29,Sale,15.25,"50,000","762,480","52,647",Dec 01 04:19 PM
Houston Helga,Senior Exec. V. P.,2022-11-15,Sale,15.14,"47,000","711,364","452,888",Nov 17 04:22 PM
Dennis Donald Lee,Executive V.P.,2022-11-15,Sale,15.14,"2,100","31,786","26,760",Nov 17 04:23 PM
Kleinman Scott D,Senior Exec. V.P.,2022-11-10,Sale,15.50,"12,322","190,991","214,477",Nov 14 04:23 PM
Kleinman Scott D,Senior Exec. V.P.,2022-11-08,Option Exercise,8.57,"50,676","434,293","265,153",Nov 10 04:17 PM
Wasserman Zachary Jacob,CFO and Senior Exec. V.P.,2022-11-07,Sale,15.44,"28,055","433,169","140,060",Nov 08 04:54 PM
Kleinman Scott D,Senior Exec. V.P.,2022-11-07,Sale,15.50,"9,749","151,110","214,477",Nov 08 04:51 PM
Heller Paul G,Sr. EVP & Chief Technology Off,2022-11-04,Sale,15.21,"20,195","307,178","448,424",Nov 08 04:16 PM
TORGOW GARY,Director,2022-10-25,Buy,14.75,"16,835","248,385","910,136",Oct 27 04:19 PM
Wasserman Zachary Jacob,CFO and Senior Exec. V.P.,2022-08-16,Option Exercise,8.57,"52,786","452,376","242,012",Aug 18 04:21 PM
Wasserman Zachary Jacob,CFO and Senior Exec. V.P.,2022-08-16,Sale,14.36,"11,618","166,846","230,394",Aug 18 04:21 PM
STEINOUR STEPHEN D,"President, CEO & Chairman",2022-08-01,Option Exercise,10.46,"19,122","199,988","814,284",Aug 03 04:38 PM
TORGOW GARY,Director,2022-07-27,Buy,12.9,"19,382","249,975","893,301",Jul 28 05:00 PM
Wasserman Zachary Jacob,CFO and Senior Exec. V.P.,2022-05-31,Option Exercise,8.57,"26,394","226,197","213,233",Jun 02 04:16 PM
Houston Helga,Senior Exec. V. P.,2022-05-31,Sale,13.77,"28,166","387,846","496,474",Jun 02 04:14 PM
Wasserman Zachary Jacob,CFO and Senior Exec. V.P.,2022-05-31,Sale,13.72,"5,456","74,856","207,777",Jun 02 04:16 PM
Rhodes Steven Lee,Executive V.P.,2022-05-02,Option Exercise,8.57,"9,502","81,432","149,954",May 03 04:28 PM
Rhodes Steven Lee,Executive V.P.,2022-05-02,Sale,13.28,"14,705","195,285","127,581",May 03 04:28 PM
STEINOUR STEPHEN D,"President, CEO & Chairman",2022-04-26,Buy,13.98,"14,234","198,959","627,104",Apr 28 04:18 PM
King Richard H,Director,2022-04-26,Buy,13.78,"2,178","30,000","75,492",Apr 27 04:38 PM
PORTEOUS DAVID L,Director,2022-04-25,Buy,13.54,"3,240","43,869","666,752",Apr 27 04:16 PM
Kleinman Scott D,Sr. EVP of Principal Sub.,2022-03-22,Sale,15.5,"8,290","128,495","216,380",Mar 23 04:20 PM
Phelan Kenneth J,Director,2022-02-08,Buy,16.12,876,"14,121","62,145",Feb 09 04:25 PM
Phelan Kenneth J,Director,2022-02-07,Buy,15.83,"6,684","105,808","61,269",Feb 09 04:25 PM
Litsey Jana J,General Counsel,2022-01-18,Sale,17.75,"6,000","106,500","148,089",Jan 19 04:23 PM
Tutkovics Julie C,Exec. VP of Principal Sub.,2022-01-18,Sale,17.64,"3,084","54,402","256,706",Jan 19 04:23 PM
Tutkovics Julie C,Exec. VP of Principal Sub.,2022-01-14,Option Exercise,13.77,"35,340","486,632","290,724",Jan 18 04:19 PM
Pierce Sandra E.,Senior Exec Vice President,2022-01-10,Sale,17.35,"17,511","303,816","418,151",Jan 11 04:22 PM
Syal Rajeev,SEVP,2022-01-10,Sale,17.35,"5,544","96,188","235,385",Jan 11 04:21 PM
Pierce Sandra E.,Senior Exec Vice President,2022-01-07,Option Exercise,8.57,"50,675","434,285","467,856",Jan 10 04:18 PM
Syal Rajeev,SEVP,2022-01-07,Option Exercise,13.77,"45,352","624,497","280,737",Jan 11 04:21 PM
