Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Whalen Kathleen M,SVP & Chief Ethics Officer,2022-02-17,Sale,263.61,"1,734","457,097","9,962",Feb 22 08:10 PM
Torres Kathryn A.,SVP-Payer Contracting & Align.,2022-02-16,Option Exercise,101.16,"4,575","462,807","24,947",Feb 21 07:17 PM
Berres Jennifer,SVP & Chief Human Res. Officer,2022-02-07,Sale,255.23,"4,000","1,020,912","7,392",Feb 09 06:15 PM
HAZEN SAMUEL N,CEO,2022-02-03,Option Exercise,68.96,"59,000","4,068,640","137,885",Feb 07 06:40 PM
Akdamar Erol R,Group President,2022-02-03,Option Exercise,45.30,"9,000","407,700","43,726",Feb 06 06:05 PM
RUTHERFORD BILL B,CFO and EVP,2022-02-03,Sale,258.19,"30,000","7,745,568","81,632",Feb 03 06:22 PM
Reiner Deborah M,SVP - Mktg. & Communications,2022-02-03,Sale,257.61,"7,941","2,045,699",0,Feb 07 06:41 PM
Akdamar Erol R,Group President,2022-02-02,Sale,258.63,"3,000","775,891","34,726",Feb 06 06:05 PM
RUTHERFORD BILL B,CFO and EVP,2022-02-01,Option Exercise,69.22,"64,000","4,430,180","146,527",Feb 03 06:22 PM
Foster Jon M,EVP and COO,2022-02-01,Sale,251.98,"16,424","4,138,480","10,938",Feb 01 07:57 PM
Wyatt Christopher F.,SVP & Controller,2022-02-01,Sale,253.30,"4,900","1,241,170","32,392",Feb 01 08:08 PM
Cuffe Michael S.,EVP and Chief Clinical Officer,2022-02-01,Sale,257.11,"4,000","1,028,440","20,823",Feb 01 07:57 PM
Paslick P. Martin,SVP and CIO,2022-02-01,Sale,256.95,"1,000","256,949","3,000",Feb 01 08:03 PM
Whalen Kathleen M,SVP & Chief Ethics Officer,2022-01-31,Option Exercise,69.58,"1,250","86,975","12,282",Feb 01 08:07 PM
Foster Jon M,EVP and COO,2022-01-30,Option Exercise,69.17,"35,955","2,486,869","46,893",Feb 01 07:57 PM
Wyatt Christopher F.,SVP & Controller,2022-01-30,Option Exercise,81.96,"12,000","983,520","44,184",Feb 01 08:08 PM
McManus Timothy M,Group President,2022-01-30,Sale,254.06,"7,900","2,007,067","13,987",Feb 01 08:02 PM
Paslick P. Martin,SVP and CIO,2022-01-23,Option Exercise,81.96,"6,000","491,760","25,112",Jan 25 07:03 PM
