Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
KINNAIRD JEFFREY G,EVP - Merchandising,2022-11-18,Option Exercise,135.57,"6,403","868,079","31,644",Nov 18 05:10 PM
KINNAIRD JEFFREY G,EVP - Merchandising,2022-11-18,Sale,311.65,"6,403","1,995,495","25,241",Nov 18 05:10 PM
Siddiqui Fahim,EVP and CIO,2022-11-17,Sale,311.29,"2,000","622,580","3,928",Nov 18 05:20 PM
Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2022-11-17,Sale,310.79,230,"71,482","12,692",Nov 18 04:58 PM
Decker Edward P.,"Chair, President and CEO",2022-11-16,Option Exercise,83.72,"44,078","3,690,276","138,198",Nov 18 05:07 PM
Santilli Paula,Director,2022-11-16,Buy,315.80,"1,583","499,911","1,583",Nov 18 05:17 PM
Decker Edward P.,"Chair, President and CEO",2022-11-16,Sale,314.76,"44,078","13,873,801","94,120",Nov 18 05:07 PM
Carey Matt,"EVP, Customer Experience",2022-11-16,Sale,315.63,"9,528","3,007,323","24,271",Nov 18 05:04 PM
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2022-11-16,Sale,311.72,"5,000","1,558,600","21,257",Nov 18 05:14 PM
Siddiqui Fahim,EVP and CIO,2022-09-09,Sale,300.59,"1,000","300,590","6,180",Sep 13 04:52 PM
Carey Matt,"EVP, Customer Experience",2022-08-22,Sale,316.26,"12,650","4,000,705","34,522",Aug 24 04:55 PM
Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2022-05-24,Option Exercise,128.96,"11,293","1,456,370","62,468",May 25 04:37 PM
Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2022-05-24,Sale,288.03,"11,293","3,252,700","51,175",May 25 04:37 PM
Seidman Becker Caryn,Director,2022-05-23,Buy,287.73,"1,500","431,595","1,500",May 23 05:52 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-05-19,Option Exercise,189.25,136,"25,738","11,366",May 20 05:31 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-05-19,Sale,289.23,136,"39,335","11,230",May 20 05:31 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-03-25,Option Exercise,158.8,504,"80,034","11,733",Mar 29 04:42 PM
Padilla Hector A,EVP - Outside Sales & Service,2022-03-25,Sale,309.8,504,"156,139","11,229",Mar 29 04:42 PM
KINNAIRD JEFFREY G,EVP - Merchandising,2021-11-19,Option Exercise,129.21,"7,000","904,438","29,122",Nov 19 05:06 PM
KINNAIRD JEFFREY G,EVP - Merchandising,2021-11-19,Sale,408.83,"7,000","2,861,810","22,122",Nov 19 05:06 PM
Hourigan Timothy A.,EVP - Human Resources,2021-11-17,Option Exercise,69.65,"12,797","891,311","72,101",Nov 19 05:04 PM
McPhail Richard V,EVP & CFO,2021-11-17,Option Exercise,78.87,"14,544","1,147,085","38,876",Nov 19 05:08 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-11-17,Option Exercise,125.45,"4,874","611,463","12,607",Nov 19 05:10 PM
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2021-11-17,Option Exercise,141.2,"18,878","2,665,567","38,720",Nov 19 05:12 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-11-17,Sale,394.24,"4,874","1,921,526","7,733",Nov 19 05:10 PM
McPhail Richard V,EVP & CFO,2021-11-17,Sale,392.83,"14,544","5,713,320","24,332",Nov 19 05:08 PM
Hourigan Timothy A.,EVP - Human Resources,2021-11-17,Sale,394.1,"12,797","5,043,257","59,304",Nov 19 05:04 PM
Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2021-11-17,Sale,395.64,82,"32,442","4,983",Nov 19 05:00 PM
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2021-11-17,Sale,395.19,"18,878","7,460,424","19,842",Nov 19 05:12 PM
Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2021-08-23,Sale,328.65,"5,000","1,643,250","19,760",Aug 24 05:27 PM
Menear Craig A,Chairman & CEO,2021-08-20,Option Exercise,69.65,"68,468","4,768,796","230,904",Aug 24 05:25 PM
Menear Craig A,Chairman & CEO,2021-08-20,Sale,325.46,"68,468","22,283,483","162,436",Aug 24 05:25 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-08-18,Option Exercise,97.57,"1,154","112,596","9,041",Aug 20 05:01 PM
Padilla Hector A,EVP - Outside Sales & Service,2021-08-18,Sale,325.62,"1,154","375,765","7,887",Aug 20 05:01 PM
