Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Lynch Richard D.,Senior Vice President,2022-03-07,Option Exercise,67.30,"13,663","919,471","30,848",Mar 08 07:56 PM
Lynch Richard D.,Senior Vice President,2022-03-07,Sale,138.84,"33,191","4,608,207","23,622",Mar 08 07:56 PM
Hill Gregory P.,"COO and President, E&P",2022-03-07,Sale,137.41,"6,123","841,361","123,846",Mar 08 07:52 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-03-07,Sale,137.41,"3,527","484,645","138,338",Mar 08 07:52 PM
RIELLY JOHN P,EVP and CFO,2022-03-07,Sale,137.41,"3,380","464,446","309,841",Mar 08 07:57 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-03-07,Sale,137.41,"2,104","289,111","113,670",Mar 08 07:53 PM
Schoonman Geurt G,Senior Vice President,2022-03-07,Sale,137.41,"1,828","251,185","20,658",Mar 08 07:55 PM
Slentz Andrew P,Senior Vice President,2022-03-07,Sale,137.41,"1,548","212,711","40,118",Mar 08 07:53 PM
Schoonman Geurt G,Senior Vice President,2022-03-06,Option Exercise,69.03,"17,231","1,189,409","46,745",Mar 08 07:55 PM
Schoonman Geurt G,Senior Vice President,2022-03-06,Sale,141.58,"37,231","5,271,232","19,519",Mar 08 07:55 PM
HESS JOHN B,Chief Executive Officer,2022-02-02,Sale,139.29,"109,649","15,273,009","120,310",Feb 02 07:04 PM
HESS JOHN B,Chief Executive Officer,2022-02-02,Sale,139.09,"109,649","15,251,079","789,103",Feb 02 07:04 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-02-02,Sale,139.78,"27,413","3,831,789","137,803",Feb 02 07:02 PM
Hill Gregory P.,"COO and President, E&P",2022-02-02,Sale,139.46,"25,255","3,522,062","119,937",Feb 02 07:06 PM
RIELLY JOHN P,EVP and CFO,2022-02-02,Sale,139.46,"13,481","1,880,060","308,982",Feb 02 07:00 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-02-02,Sale,139.46,"9,403","1,311,342","112,666",Feb 02 07:05 PM
Schoonman Geurt G,Senior Vice President,2022-02-02,Sale,139.46,"6,867","957,672","39,519",Feb 02 06:58 PM
Lynch Richard D.,Senior Vice President,2022-02-02,Sale,139.46,"6,866","957,532","41,422",Feb 02 06:57 PM
Slentz Andrew P,Senior Vice President,2022-02-02,Sale,139.46,"5,701","795,061","39,264",Feb 02 07:08 PM
HESS JOHN B,Chief Executive Officer,2022-02-01,Sale,144.81,"109,649","15,878,272","898,752",Feb 02 07:04 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-01-31,Option Exercise,0.00,"27,413",0,"165,216",Feb 02 07:02 PM
RIELLY JOHN P,EVP and CFO,2022-01-31,Option Exercise,0.00,"28,380",0,"322,463",Feb 02 07:00 PM
Schoonman Geurt G,Senior Vice President,2022-01-31,Option Exercise,0.00,"19,995",0,"46,386",Feb 02 06:58 PM
Lynch Richard D.,Senior Vice President,2022-01-31,Option Exercise,0.00,"19,995",0,"48,288",Feb 02 06:57 PM
Slentz Andrew P,Senior Vice President,2022-01-31,Option Exercise,0.00,"17,028",0,"44,965",Feb 02 07:08 PM
Hill Gregory P.,"COO and President, E&P",2022-01-31,Option Exercise,0.00,"66,758",0,"145,192",Feb 02 07:06 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-01-31,Option Exercise,0.00,"26,445",0,"122,069",Feb 02 07:05 PM
HESS JOHN B,Chief Executive Officer,2022-01-31,Option Exercise,0.00,"109,649",0,"229,959",Feb 02 07:04 PM
Slentz Andrew P,Senior Vice President,2022-11-07,Option Exercise,52.71,"37,419","1,972,502","66,746",Nov 08 05:01 PM
Slentz Andrew P,Senior Vice President,2022-11-07,Sale,148.21,"37,419","5,546,052","29,327",Nov 08 05:01 PM
Hill Gregory P.,"COO and President, E&P",2022-11-01,Option Exercise,74.49,"40,650","3,028,018","132,285",Nov 02 04:36 PM
Hill Gregory P.,"COO and President, E&P",2022-11-01,Sale,143.45,"53,851","7,724,841","78,434",Nov 02 04:36 PM
Slentz Andrew P,Senior Vice President,2022-09-02,Sale,120.99,"12,420","1,502,696","29,327",Sep 06 04:32 PM
Lynch Richard D.,Senior Vice President,2022-08-25,Option Exercise,74.61,"15,389","1,148,243","40,198",Aug 26 05:06 PM
Lynch Richard D.,Senior Vice President,2022-08-25,Sale,123.44,"15,389","1,899,659","28,293",Aug 26 05:06 PM
Schoonman Geurt G,Senior Vice President,2022-08-25,Sale,123.73,"12,000","1,484,760","26,391",Aug 26 05:07 PM
Hill Gregory P.,"COO and President, E&P",2022-08-18,Sale,116.62,"10,000","1,166,200","91,635",Aug 19 04:33 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-06-09,Option Exercise,53.04,"36,260","1,923,212","114,738",Jun 10 05:23 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-06-09,Sale,128.29,"36,260","4,651,947","95,624",Jun 10 05:23 PM
Hill Gregory P.,"COO and President, E&P",2022-03-25,Option Exercise,69.7,"13,771","959,795","105,985",Mar 28 05:17 PM
Hill Gregory P.,"COO and President, E&P",2022-03-25,Sale,106.23,"13,771","1,462,908","101,635",Mar 28 05:17 PM
Schoonman Geurt G,Senior Vice President,2022-03-24,Sale,108.24,"6,885","745,232","38,391",Mar 25 07:09 PM
Lynch Richard D.,Senior Vice President,2022-03-16,Option Exercise,53.62,"26,796","1,436,886","62,851",Mar 18 04:36 PM
Lynch Richard D.,Senior Vice President,2022-03-16,Sale,96.0,"47,527","4,562,592","28,293",Mar 18 04:36 PM
Hill Gregory P.,"COO and President, E&P",2022-03-14,Option Exercise,52.66,"37,394","1,969,310","163,348",Mar 15 05:48 PM
Hill Gregory P.,"COO and President, E&P",2022-03-14,Sale,93.49,"77,394","7,235,732","101,635",Mar 15 05:48 PM
Schoonman Geurt G,Senior Vice President,2022-03-09,Option Exercise,52.83,"12,988","686,213","52,502",Mar 10 07:50 PM
Schoonman Geurt G,Senior Vice President,2022-03-09,Sale,96.08,"12,988","1,247,845","45,276",Mar 10 07:50 PM
HESS JOHN B,Chief Executive Officer,2022-03-08,Sale,100.44,"77,035","7,737,308","7,779,037",Mar 08 09:17 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-03-07,Option Exercise,57.55,"22,058","1,269,425","121,592",Mar 08 09:15 PM
Slentz Andrew P,Senior Vice President,2022-03-07,Option Exercise,51.03,"17,229","879,196","58,976",Mar 08 09:16 PM
Hill Gregory P.,"COO and President, E&P",2022-03-07,Sale,98.39,"6,725","661,673","123,848",Mar 08 09:18 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-03-07,Sale,98.39,"2,341","230,331","95,624",Mar 08 09:19 PM
HESS JOHN B,Chief Executive Officer,2022-03-07,Sale,100.43,"172,965","17,370,037","7,856,072",Mar 08 09:17 PM
Schoonman Geurt G,Senior Vice President,2022-03-07,Sale,98.39,"2,742","269,785","45,276",Mar 08 09:17 PM
Lynch Richard D.,Senior Vice President,2022-03-07,Sale,98.39,"1,939","190,778","49,024",Mar 08 09:16 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-03-07,Sale,99.76,"25,973","2,590,997","111,685",Mar 08 09:15 PM
RIELLY JOHN P,EVP and CFO,2022-03-07,Sale,98.39,"6,990","687,746","294,083",Mar 08 09:14 PM
Slentz Andrew P,Senior Vice President,2022-03-07,Sale,99.57,"18,967","1,888,561","41,747",Mar 08 09:16 PM
RIELLY JOHN P,EVP and CFO,2022-03-04,Option Exercise,67.75,"61,438","4,162,557","314,981",Mar 08 09:14 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-03-04,Option Exercise,49.72,"9,906","492,526","120,564",Mar 08 09:15 PM
RIELLY JOHN P,EVP and CFO,2022-03-04,Sale,100.25,"61,438","6,159,222","295,933",Mar 08 09:14 PM
HESS JOHN B,Chief Executive Officer,2022-03-04,Sale,100.06,"250,000","25,015,528","8,029,037",Mar 08 09:17 PM
HESS JOHN B,Chief Executive Officer,2022-03-04,Sale,100.22,"150,000","15,032,863","64,881",Mar 08 09:17 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-03-04,Sale,100.8,"24,655","2,485,224","110,658",Mar 08 09:15 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-02-15,Option Exercise,48.1,"62,765","3,019,115","116,952",Feb 17 04:53 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-02-15,Sale,90.65,"62,765","5,689,763","94,308",Feb 17 04:53 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-02-03,Option Exercise,77.29,"36,433","2,815,770","159,204",Feb 03 08:39 PM
Schoonman Geurt G,Senior Vice President,2022-02-03,Option Exercise,74.49,"11,905","886,803","56,365",Feb 03 08:40 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-02-03,Sale,91.44,"65,867","6,022,975","140,156",Feb 03 08:39 PM
RIELLY JOHN P,EVP and CFO,2022-02-03,Sale,91.0,"10,003","910,273","295,933",Feb 03 08:43 PM
Hill Gregory P.,"COO and President, E&P",2022-02-03,Sale,91.0,"25,764","2,344,524","118,514",Feb 03 08:41 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-02-03,Sale,91.0,"7,405","673,855","94,308",Feb 03 08:42 PM
HESS JOHN B,Chief Executive Officer,2022-02-03,Sale,91.27,"220,742","20,146,019","29,426",Feb 03 08:42 PM
Lynch Richard D.,Senior Vice President,2022-02-03,Sale,91.0,"5,671","516,061","47,503",Feb 03 08:41 PM
Schoonman Geurt G,Senior Vice President,2022-02-03,Sale,92.54,"13,811","1,278,111","44,460",Feb 03 08:40 PM
Slentz Andrew P,Senior Vice President,2022-02-03,Sale,91.4,"23,771","2,172,669","40,520",Feb 03 08:38 PM
RIELLY JOHN P,EVP and CFO,2022-02-01,Option Exercise,0.0,"29,434",0,"305,936",Feb 03 08:43 PM
Hill Gregory P.,"COO and President, E&P",2022-02-01,Option Exercise,0.0,"69,535",0,"144,278",Feb 03 08:41 PM
Lowery-Yilmaz Barbara J,Senior Vice President,2022-02-01,Option Exercise,0.0,"22,810",0,"101,713",Feb 03 08:42 PM
HESS JOHN B,Chief Executive Officer,2022-02-01,Option Exercise,0.0,"110,371",0,"250,168",Feb 03 08:42 PM
Lynch Richard D.,Senior Vice President,2022-02-01,Option Exercise,0.0,"18,396",0,"53,174",Feb 03 08:41 PM
Schoonman Geurt G,Senior Vice President,2022-02-01,Option Exercise,0.0,"7,665",0,"46,366",Feb 03 08:40 PM
Goodell Timothy B.,"EVP, Gen. Counsel & Secretary",2022-02-01,Option Exercise,0.0,"29,434",0,"169,590",Feb 03 08:39 PM
Slentz Andrew P,Senior Vice President,2022-02-01,Option Exercise,0.0,"18,396",0,"64,291",Feb 03 08:38 PM
Hill Gregory P.,"COO and President, E&P",2021-12-08,Sale,81.35,"3,600","292,860","74,743",Dec 10 04:39 PM
Hill Gregory P.,"COO and President, E&P",2021-09-15,Sale,72.04,"15,000","1,080,600","78,343",Sep 17 05:10 PM
