Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Stepnowski Amy,EVP,2022-03-06,Sale,77.59,336,"26,070","3,844",Mar 08 04:10 PM
Costello Beth Ann,EVP and CFO,2022-03-01,Option Exercise,41.25,"38,915","1,605,244","101,120",Mar 02 05:17 PM
Costello Beth Ann,EVP and CFO,2022-03-01,Sale,77.85,"38,915","3,029,642","57,205",Mar 02 05:17 PM
Bennett Jonathan R,EVP,2022-03-01,Sale,77.86,"3,914","304,744","25,643",Mar 02 05:17 PM
Swift Christopher,Chairman and CEO,2022-02-28,Option Exercise,35.83,"34,624","1,240,578","231,845",Mar 02 05:17 PM
Swift Christopher,Chairman and CEO,2022-02-28,Sale,78.32,"34,624","2,711,876","197,221",Mar 02 05:17 PM
TOOKER ADIN M,EVP,2022-02-23,Sale,77.41,"3,920","303,447","25,820",Feb 27 04:26 PM
Paiano Robert W,EVP & Chief Risk Officer,2022-02-21,Option Exercise,35.83,"14,542","521,040","61,171",Feb 22 05:53 PM
Paiano Robert W,EVP & Chief Risk Officer,2022-02-21,Sale,77.38,"14,542","1,125,222","46,629",Feb 22 05:53 PM
Robinson David C,EVP and General Counsel,2022-02-20,Option Exercise,0.00,"15,377",0,"15,377",Feb 22 05:52 PM
Bennett Jonathan R,EVP,2022-02-20,Option Exercise,0.00,"7,393",0,"33,035",Feb 22 05:52 PM
Swift Christopher,Chairman and CEO,2022-02-20,Option Exercise,0.00,"100,540",0,"243,815",Feb 22 05:52 PM
Costello Beth Ann,EVP and CFO,2022-02-20,Option Exercise,0.00,"21,882",0,"72,385",Feb 22 05:51 PM
Rodden Lori A,Executive Vice President,2022-02-20,Option Exercise,0.00,"7,097",0,"13,172",Feb 22 05:51 PM
Soni Deepa,Executive Vice President,2022-02-20,Option Exercise,0.00,"2,513",0,"8,875",Feb 22 05:51 PM
Kinney John J.,EVP,2022-02-20,Option Exercise,0.00,"5,914",0,"11,048",Feb 22 05:51 PM
Lewis Scott R.,SVP and Controller,2022-02-20,Option Exercise,0.00,"1,626",0,"20,023",Feb 22 05:51 PM
Paiano Robert W,EVP & Chief Risk Officer,2022-02-20,Option Exercise,0.00,"9,463",0,"46,629",Feb 22 05:53 PM
Stepnowski Amy,EVP,2022-02-20,Option Exercise,0.00,"1,774",0,"1,774",Feb 22 05:52 PM
BUSH STEPHANIE C,EVP,2022-02-20,Option Exercise,0.00,"7,393",0,"20,928",Feb 22 05:51 PM
TOOKER ADIN M,EVP,2022-02-20,Option Exercise,0.00,"7,393",0,"33,212",Feb 22 05:51 PM
FISHER MICHAEL R,EVP,2022-02-20,Option Exercise,0.00,"5,323",0,"10,610",Feb 22 05:51 PM
FISHER MICHAEL R,EVP,2022-01-03,Sale,75.69,"4,916","372,092","5,287",Feb 22 05:51 PM
Robinson David C,EVP and General Counsel,2022-12-13,Option Exercise,43.59,"18,534","807,897","18,535",Dec 15 04:11 PM
Robinson David C,EVP and General Counsel,2022-12-13,Sale,76.00,"18,534","1,408,584",1,Dec 15 04:11 PM
Stepnowski Amy,EVP,2022-12-12,Sale,74.70,"12,467","931,285",0,Dec 14 04:17 PM
Robinson David C,EVP and General Counsel,2022-12-07,Option Exercise,43.59,"18,534","807,897","18,535",Dec 12 05:03 PM
Robinson David C,EVP and General Counsel,2022-12-07,Sale,74.93,"18,534","1,388,753",1,Dec 12 05:03 PM
Swift Christopher,Chairman and CEO,2022-11-30,Option Exercise,24.15,"36,236","875,099","179,511",Dec 02 04:17 PM
Swift Christopher,Chairman and CEO,2022-11-30,Sale,76.17,"36,236","2,759,973","143,275",Dec 02 04:17 PM
Swift Christopher,Chairman and CEO,2022-11-28,Option Exercise,24.15,"3,600","86,940","146,875",Nov 29 04:12 PM
Swift Christopher,Chairman and CEO,2022-11-28,Sale,76.01,"3,600","273,623","143,275",Nov 29 04:12 PM
Swift Christopher,Chairman and CEO,2022-11-25,Option Exercise,24.15,"7,292","176,102","150,567",Nov 29 04:12 PM
Swift Christopher,Chairman and CEO,2022-11-25,Sale,76.02,"7,292","554,357","143,275",Nov 29 04:12 PM
Swift Christopher,Chairman and CEO,2022-11-10,Option Exercise,24.15,"12,095","292,094","169,215",Nov 14 04:44 PM
Swift Christopher,Chairman and CEO,2022-11-10,Sale,74.16,"12,095","896,989","157,120",Nov 14 04:44 PM
Swift Christopher,Chairman and CEO,2022-11-08,Option Exercise,24.15,"6,796","164,123","163,916",Nov 10 04:05 PM
Swift Christopher,Chairman and CEO,2022-11-08,Sale,74.09,"6,796","503,522","157,120",Nov 10 04:05 PM
Swift Christopher,Chairman and CEO,2022-11-07,Option Exercise,24.15,"14,324","345,925","171,444",Nov 08 05:24 PM
Swift Christopher,Chairman and CEO,2022-11-07,Sale,74.01,"14,324","1,060,148","157,120",Nov 08 05:24 PM
Swift Christopher,Chairman and CEO,2022-11-04,Option Exercise,24.15,430,"10,384","157,550",Nov 08 05:24 PM
Swift Christopher,Chairman and CEO,2022-11-04,Sale,74.05,430,"31,842","157,120",Nov 08 05:24 PM
ELLIOT DOUGLAS G,President,2022-11-01,Option Exercise,41.25,"39,996","1,649,835","291,129",Nov 03 04:19 PM
Swift Christopher,Chairman and CEO,2022-11-01,Option Exercise,24.15,"13,485","325,663","170,605",Nov 03 04:19 PM
ELLIOT DOUGLAS G,President,2022-11-01,Sale,73.49,"39,996","2,939,359","251,133",Nov 03 04:19 PM
Swift Christopher,Chairman and CEO,2022-11-01,Sale,74.04,"13,485","998,416","157,120",Nov 03 04:19 PM
ELLIOT DOUGLAS G,President,2022-10-31,Option Exercise,41.25,"147,986","6,104,422","399,119",Nov 01 04:17 PM
ELLIOT DOUGLAS G,President,2022-10-31,Sale,72.61,"147,986","10,746,003","251,133",Nov 01 04:17 PM
ELLIOT DOUGLAS G,President,2022-10-28,Option Exercise,41.25,"19,565","807,056","270,698",Nov 01 04:17 PM
ELLIOT DOUGLAS G,President,2022-10-28,Sale,72.55,"19,565","1,419,460","251,133",Nov 01 04:17 PM
Lewis Scott R.,SVP and Controller,2022-08-09,Sale,65.04,"2,558","166,372","18,396",Aug 10 04:09 PM
Costello Beth Ann,EVP and CFO,2022-05-04,Option Exercise,35.83,"47,214","1,691,678","97,717",May 06 04:05 PM
