Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Hobby Jean M.,Director,2022-03-06,Sale,15.28,"10,000","152,800","46,161",Mar 08 04:06 PM
Hotard Justin,"EVP, GM, HPC and AI",2022-03-02,Option Exercise,15.50,"20,801","322,416","34,589",Mar 06 05:59 PM
Cox Jeremy,SVP Controller and CTO,2022-01-06,Sale,17.01,"47,307","804,905",0,Jan 10 06:07 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-01-04,Sale,16.50,"5,000","82,500","34,764",Jan 06 04:23 PM
Cox Jeremy,SVP Controller and CTO,2022-12-29,Sale,16.00,851,"13,616","47,307",Jan 03 04:15 PM
Cox Jeremy,SVP Controller and CTO,2022-12-16,Option Exercise,15.64,"2,926","45,763","49,381",Dec 20 04:49 PM
ROBBIATI TAREK,EVP & CFO,2022-12-15,Option Exercise,15.76,"123,506","1,946,455","317,699",Dec 19 05:18 PM
Neri Antonio F,President and CEO,2022-12-15,Option Exercise,15.76,"16,922","266,691","1,395,801",Dec 19 05:19 PM
SCHULTZ JOHN F,"EVP, COLO",2022-12-15,Option Exercise,15.76,"4,852","76,468","454,014",Dec 19 05:19 PM
MAY ALAN RICHARD,"EVP, Chief People Officer",2022-12-15,Option Exercise,15.76,"2,628","41,417","477,139",Dec 19 05:20 PM
Rothman Irv,Pres & CEO Financial Services,2022-12-15,Option Exercise,15.76,"1,741","27,438","52,704",Dec 19 05:16 PM
Cox Jeremy,SVP Controller and CTO,2022-12-14,Sale,16.10,"11,534","185,697","46,455",Dec 15 06:11 PM
Black Thomas E Jr,"EVP, GM, Storage",2022-12-13,Sale,16.37,"50,076","819,614","34,088",Dec 15 06:13 PM
Hotard Justin,"EVP, GM, HPC and AI",2022-12-13,Sale,16.38,"45,306","742,271","13,788",Dec 15 06:13 PM
MacDonald Neil B,"EVP, GM of Compute",2022-12-13,Sale,16.34,"9,104","148,759","67,727",Dec 15 06:10 PM
Cox Jeremy,SVP Controller and CTO,2022-12-13,Sale,16.34,"5,929","96,880","57,989",Dec 15 06:11 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-12-13,Sale,16.34,"3,000","49,020","39,764",Dec 15 06:10 PM
Neri Antonio F,President and CEO,2022-12-10,Option Exercise,16.15,"309,233","4,994,113","1,026,883",Dec 13 09:47 PM
ROBBIATI TAREK,EVP & CFO,2022-12-10,Option Exercise,16.15,"111,745","1,804,682","125,828",Dec 13 09:45 PM
SCHULTZ JOHN F,"EVP, COLO",2022-12-10,Option Exercise,16.15,"100,345","1,620,572","323,954",Dec 13 09:46 PM
MAY ALAN RICHARD,"EVP, Chief People Officer",2022-12-10,Option Exercise,16.15,"80,111","1,293,793","376,903",Dec 13 09:47 PM
Black Thomas E Jr,"EVP, GM, Storage",2022-12-10,Option Exercise,16.15,"40,736","657,886","58,739",Dec 13 09:46 PM
Hotard Justin,"EVP, GM, HPC and AI",2022-12-10,Option Exercise,16.15,"38,971","629,382","67,842",Dec 13 09:47 PM
Cox Jeremy,SVP Controller and CTO,2022-12-10,Option Exercise,16.15,"35,163","567,882","70,846",Dec 13 09:45 PM
MacDonald Neil B,"EVP, GM of Compute",2022-12-10,Option Exercise,16.15,"34,885","563,393","59,835",Dec 13 09:44 PM
Karros Kirt P,"SVP, Treasurer & IR",2022-12-10,Option Exercise,16.15,"34,290","553,784","40,015",Dec 13 09:47 PM
Rothman Irv,Pres & CEO Financial Services,2022-12-10,Option Exercise,16.15,"29,181","471,273","32,706",Dec 13 09:46 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-12-10,Option Exercise,16.15,"23,461","378,895","51,410",Dec 13 09:44 PM
Neri Antonio F,President and CEO,2022-12-09,Option Exercise,16.15,"145,551","2,350,649","1,100,250",Dec 13 09:47 PM
ROBBIATI TAREK,EVP & CFO,2022-12-09,Option Exercise,16.15,"67,178","1,084,925","67,178",Dec 13 09:45 PM
SCHULTZ JOHN F,"EVP, COLO",2022-12-09,Option Exercise,16.15,"67,022","1,082,405","355,846",Dec 13 09:46 PM
MAY ALAN RICHARD,"EVP, Chief People Officer",2022-12-09,Option Exercise,16.15,"36,389","587,682","396,081",Dec 13 09:47 PM
MacDonald Neil B,"EVP, GM of Compute",2022-12-09,Option Exercise,16.15,"33,589","542,462","42,949",Dec 13 09:44 PM
Hotard Justin,"EVP, GM, HPC and AI",2022-12-09,Option Exercise,16.15,"33,589","542,462","47,377",Dec 13 09:47 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-12-09,Option Exercise,16.15,"33,589","542,462","41,589",Dec 13 09:44 PM
Black Thomas E Jr,"EVP, GM, Storage",2022-12-09,Option Exercise,16.15,"33,589","542,462","33,589",Dec 13 09:46 PM
Rothman Irv,Pres & CEO Financial Services,2022-12-09,Option Exercise,16.15,"19,595","316,459","19,595",Dec 13 09:46 PM
Karros Kirt P,"SVP, Treasurer & IR",2022-12-09,Option Exercise,16.15,"16,796","271,255","16,796",Dec 13 09:47 PM
Cox Jeremy,SVP Controller and CTO,2022-12-09,Option Exercise,16.15,"15,676","253,167","44,667",Dec 13 09:45 PM
MacDonald Neil B,"EVP, GM of Compute",2022-12-05,Option Exercise,12.36,"9,532","117,816","18,892",Dec 06 06:15 PM
MacDonald Neil B,"EVP, GM of Compute",2022-12-05,Sale,16.15,"9,532","153,942","9,360",Dec 06 06:15 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-12-02,Sale,16.58,"27,046","448,423","8,000",Dec 06 06:14 PM
ROBBIATI TAREK,EVP & CFO,2022-11-30,Sale,16.00,"102,138","1,634,208","31,183",Dec 01 06:10 PM
Cox Jeremy,SVP Controller and CTO,2022-11-30,Sale,16.00,"10,065","161,040","28,991",Dec 01 06:10 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-11-30,Sale,16.50,"3,001","49,516","35,046",Dec 01 06:10 PM
ROBBIATI TAREK,EVP & CFO,2022-10-28,Sale,14.28,"80,421","1,148,621","133,321",Oct 31 04:52 PM
MacDonald Neil B,"EVP, GM of Compute",2022-10-25,Sale,13.60,"2,452","33,347","9,360",Oct 25 07:36 PM
MacDonald Neil B,"EVP, GM of Compute",2022-10-23,Option Exercise,13.47,"13,885","187,031","16,615",Oct 25 07:36 PM
ROBBIATI TAREK,EVP & CFO,2022-09-19,Option Exercise,12.98,"47,667","618,718","47,667",Sep 21 04:25 PM
Rothman Irv,Pres & CEO Financial Services,2022-09-09,Sale,13.33,"70,115","934,815",0,Sep 13 04:59 PM
Cox Jeremy,SVP Controller and CTO,2022-07-23,Option Exercise,13.77,"29,472","405,829","48,397",Jul 26 06:48 PM
Black Thomas E Jr,"EVP, GM, Storage",2022-06-07,Option Exercise,10.24,"28,347","290,362","16,999",Jun 09 07:02 PM
Black Thomas E Jr,"EVP, GM, Storage",2022-06-07,Sale,15.26,"28,347","432,578",0,Jun 09 07:02 PM
MAY ALAN RICHARD,"EVP, Chief People Officer",2022-06-03,Option Exercise,10.48,"94,705","992,508","405,205",Jun 07 06:58 PM
MAY ALAN RICHARD,"EVP, Chief People Officer",2022-06-03,Sale,15.08,"94,705","1,428,095","310,500",Jun 07 06:58 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-05-28,Option Exercise,15.79,"16,150","255,008","43,633",Jun 01 06:37 PM
Mottram Phil,"EVP, GM, Intelligent Edge",2022-05-09,Option Exercise,15.84,"5,827","92,300","29,499",May 11 07:19 PM
RUSSO PATRICIA F,Director,2022-04-05,Option Exercise,0.0,"14,478",0,"239,075",Apr 07 06:05 PM
REINER GARY M,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"16,393",Apr 07 06:05 PM
Lane Raymond J.,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"902,459",Apr 07 06:05 PM
NOSKI CHARLES H,Director,2022-04-05,Option Exercise,0.0,"14,478",0,"14,478",Apr 07 06:04 PM
Ozzie Raymond E,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"115,069",Apr 07 06:04 PM
Wilderotter Mary Agnes,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"95,627",Apr 07 06:04 PM
Hobby Jean M.,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"56,161",Apr 07 06:02 PM
Kurtz George,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"50,818",Apr 07 06:03 PM
LIVERMORE ANN M,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"52,941",Apr 07 06:03 PM
Carter Pamela L,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"70,839",Apr 07 06:02 PM
Ammann Daniel,Director,2022-04-05,Option Exercise,0.0,"14,479",0,"14,479",Apr 07 06:02 PM
SCHULTZ JOHN F,"EVP, COLO",2022-04-03,Option Exercise,16.29,"133,499","2,174,699","289,332",Apr 05 06:54 PM
Hotard Justin,"EVP, GM, HPC and AI",2022-03-02,Option Exercise,16.99,"20,147","342,298","20,147",Mar 03 06:49 PM
Hotard Justin,"EVP, GM, HPC and AI",2022-03-02,Sale,16.99,"6,359","108,039","13,788",Mar 03 06:49 PM
ROBBIATI TAREK,EVP & CFO,2022-01-13,Sale,17.5,"102,133","1,787,328","182,559",Jan 18 04:20 PM
MacDonald Neil B,"SVP, GM of Compute",2022-01-05,Sale,17.0,"36,910","627,470","2,694",Jan 06 06:11 PM
Black Thomas E Jr,"SVP, GM of Storage",2022-01-04,Sale,16.36,"17,082","279,462",0,Jan 06 06:11 PM
ROBBIATI TAREK,EVP & CFO,2022-01-04,Sale,16.36,"185,604","3,036,481","284,692",Jan 06 06:11 PM
Neri Antonio F,President and CEO,2021-12-28,Option Exercise,12.36,"315,004","3,893,449","1,147,522",Dec 29 04:07 PM
Neri Antonio F,President and CEO,2021-12-28,Sale,15.98,"315,004","5,032,220","832,518",Dec 29 04:07 PM
Neri Antonio F,President and CEO,2021-12-27,Option Exercise,12.36,"9,088","112,328","841,606",Dec 29 04:07 PM
Neri Antonio F,President and CEO,2021-12-27,Sale,15.96,"9,088","144,999","832,518",Dec 29 04:07 PM
Black Thomas E Jr,"SVP, GM of Storage",2021-12-23,Sale,15.8,"17,078","269,832","17,082",Dec 23 04:23 PM
ROBBIATI TAREK,EVP & CFO,2021-12-15,Option Exercise,14.79,"119,629","1,769,313","344,005",Dec 16 07:41 PM
MAY ALAN RICHARD,"EVP, Chief People Officer",2021-12-15,Option Exercise,14.79,"4,638","68,596","313,860",Dec 17 06:51 PM
SCHULTZ JOHN F,"EVP, COLO",2021-12-15,Option Exercise,14.79,"11,749","173,768","161,233",Dec 17 06:51 PM
Rothman Irv,Pres & CEO Financial Services,2021-12-15,Option Exercise,14.79,"1,461","21,608","71,576",Dec 17 06:51 PM
Ricci Jeff T,"SVP, Controller & PAO",2021-12-15,Option Exercise,14.79,"1,240","18,340","1,240",Dec 16 07:41 PM
