Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Feinberg David T,Director,2022-03-01,Option Exercise,0.00,441,0,441,Mar 03 10:18 AM
BROUSSARD BRUCE D,President & CEO,2022-02-27,Sale,505.85,"17,575","8,890,233","70,040",Feb 28 02:19 PM
Huval Timothy S.,Chief Administrative Officer,2022-02-27,Sale,510.30,"2,628","1,341,080","4,968",Feb 28 01:51 PM
Ventura Joseph C,Chief Legal Officer,2022-02-27,Sale,507.97,"2,048","1,040,328","4,256",Feb 28 02:02 PM
Huval Timothy S.,Chief Administrative Officer,2022-02-24,Option Exercise,0.00,"4,306",0,"9,274",Feb 28 01:51 PM
Agrawal Vishal,Chief Strat & Corp Dev Officer,2022-02-24,Option Exercise,0.00,"3,799",0,"9,743",Feb 28 12:39 PM
Renaudin George II,"President, Medicare & Medicaid",2022-02-24,Option Exercise,0.00,"1,393",0,"1,393",Feb 28 12:38 PM
Schick Susan D.,Seg Pres. Grp. & Military Bus.,2022-02-24,Option Exercise,0.00,"1,267",0,"4,086",Feb 28 12:34 PM
Deshpande Samir,Chief Information Officer,2022-02-24,Option Exercise,0.00,"4,053",0,"10,901",Feb 28 10:35 AM
Ventura Joseph C,Chief Legal Officer,2022-02-24,Option Exercise,0.00,"3,293",0,"7,549",Feb 28 02:02 PM
BROUSSARD BRUCE D,President & CEO,2022-02-24,Option Exercise,0.00,"28,494",0,"98,534",Feb 28 02:19 PM
Diamond Susan M,Chief Financial Officer,2022-02-24,Option Exercise,0.00,"3,039",0,"5,843",Feb 28 10:15 AM
Fleming William Kevin,"Seg Pres, Pharmacy Sol & CCAO",2022-02-24,Option Exercise,0.00,"4,560",0,"6,829",Feb 28 10:49 AM
JONES DAVID A JR/KY,Director,2022-12-21,Sale,501.72,"15,000","7,525,800","42,028",Dec 23 10:18 AM
Huval Timothy S.,Chief Administrative Officer,2022-12-16,Sale,497.71,635,"316,045","4,968",Dec 19 12:30 PM
"Agwunobi, M.D. Andrew C.","Seg. President, Home Solutions",2022-12-15,Option Exercise,0.00,261,0,261,Dec 19 01:03 PM
Agrawal Vishal,Chief Strat & Corp Dev Officer,2022-12-15,Option Exercise,0.00,994,0,"6,083",Dec 19 01:02 PM
Schick Susan D.,Seg Pres. Grp. & Military Bus.,2022-12-15,Option Exercise,0.00,"2,277",0,"3,217",Dec 19 12:33 PM
BROUSSARD BRUCE D,President & CEO,2022-12-15,Option Exercise,0.00,"7,320",0,"70,900",Dec 19 01:38 PM
Fleming William Kevin,"Seg Pres, Pharmacy Sol & CCAO",2022-12-15,Option Exercise,0.00,"1,162",0,"2,428",Dec 19 01:36 PM
Diamond Susan M,Chief Financial Officer,2022-12-15,Option Exercise,0.00,"1,162",0,"3,042",Dec 19 01:31 PM
Huval Timothy S.,Chief Administrative Officer,2022-12-15,Option Exercise,0.00,"1,170",0,"5,768",Dec 19 12:30 PM
Ventura Joseph C,Chief Legal Officer,2022-12-15,Option Exercise,0.00,"1,042",0,"4,425",Dec 19 12:00 PM
Deshpande Samir,Chief Information Officer,2022-12-15,Option Exercise,0.00,"1,083",0,"7,008",Dec 19 11:58 AM
Wheatley Timothy Alan,"Segment President, Retail",2022-12-15,Option Exercise,0.00,"1,614",0,"4,213",Dec 19 11:54 AM
BROUSSARD BRUCE D,President & CEO,2022-12-12,Sale,531.92,"7,000","3,723,438","65,602",Dec 14 09:56 AM
BROUSSARD BRUCE D,President & CEO,2022-11-03,Option Exercise,335.86,"40,702","13,670,312","110,406",Nov 07 01:56 PM
Wheatley Timothy Alan,"Segment President, Retail",2022-11-03,Option Exercise,333.70,"15,570","5,195,663","25,692",Nov 07 12:47 PM
Fleming William Kevin,"Seg Pres, Pharmacy Sol & CCAO",2022-11-03,Option Exercise,324.46,"11,157","3,619,974","13,699",Nov 07 12:52 PM
Deshpande Samir,Chief Information Officer,2022-11-03,Option Exercise,291.10,"9,402","2,736,954","14,217",Nov 07 12:44 PM
Diamond Susan M,Chief Financial Officer,2022-11-03,Option Exercise,360.66,"3,945","1,422,797","7,907",Nov 07 02:27 PM
Ventura Joseph C,Chief Legal Officer,2022-11-03,Option Exercise,307.96,"3,592","1,106,210","6,856",Nov 07 12:49 PM
Wheatley Timothy Alan,"Segment President, Retail",2022-11-03,Sale,566.21,"22,570","12,779,378","3,122",Nov 07 12:47 PM
Fleming William Kevin,"Seg Pres, Pharmacy Sol & CCAO",2022-11-03,Sale,565.61,"11,157","6,310,551","2,542",Nov 07 12:52 PM
BROUSSARD BRUCE D,President & CEO,2022-11-03,Sale,566.17,"9,000","5,095,566","80,564",Nov 07 01:56 PM
Deshpande Samir,Chief Information Officer,2022-11-03,Sale,565.95,"7,962","4,506,117","6,255",Nov 07 12:44 PM
Diamond Susan M,Chief Financial Officer,2022-11-03,Sale,566.25,"5,623","3,184,030","2,284",Nov 07 02:27 PM
Ventura Joseph C,Chief Legal Officer,2022-11-03,Sale,565.27,"3,155","1,783,442","3,701",Nov 07 12:49 PM
Huval Timothy S.,Chief Administrative Officer,2022-09-20,Option Exercise,346.72,"7,437","2,578,541","12,405",Oct 05 01:23 PM
Huval Timothy S.,Chief Administrative Officer,2022-09-20,Sale,505.51,"7,437","3,759,442","4,968",Oct 05 01:23 PM
Ventura Joseph C,Chief Legal Officer,2022-09-20,Sale,506.78,"1,226","621,313","3,930",Sep 22 02:51 PM
Schick Susan D.,Seg Pres. Grp. & Military Bus.,2022-09-01,Option Exercise,0.00,144,0,"1,495",Sep 06 01:52 PM
Diamond Susan M,Chief Financial Officer,2022-08-01,Option Exercise,0.00,311,0,"4,107",Aug 03 01:22 PM
Diamond Susan M,Chief Financial Officer,2022-07-01,Option Exercise,0.0,291,0,"4,057",Jul 06 03:26 PM
Diamond Susan M,Chief Financial Officer,2022-06-01,Option Exercise,0.0,"1,023",0,"4,243",Jun 03 11:01 AM
Deshpande Samir,Chief Information Officer,2022-05-03,Sale,434.19,"3,957","1,718,101","5,529",May 04 04:33 PM
Shrank William H,Chief Medical Officer,2022-05-01,Option Exercise,0.0,"5,430",0,"6,204",May 03 01:45 PM
Fleming William Kevin,"Seg Pres, Pharmacy Sol & CCAO",2022-04-28,Sale,449.68,"3,210","1,443,471",884,May 02 01:34 PM
Huval Timothy S.,Chief Administrative Officer,2022-04-28,Sale,443.14,"3,477","1,540,798","5,768",May 02 01:26 PM
Diamond Susan M,Chief Financial Officer,2022-02-25,Option Exercise,0.0,"1,375",0,"4,257",Mar 01 04:35 PM
Cox Heather,Chief Dig Health & Analyt Off.,2022-02-25,Option Exercise,0.0,"3,967",0,"7,231",Mar 01 04:21 PM
Ventura Joseph C,Chief Legal Officer,2022-02-25,Option Exercise,0.0,"2,645",0,"6,044",Mar 01 04:23 PM
Agrawal Vishal,Chief Strat & Corp Dev Officer,2022-02-25,Option Exercise,0.0,"3,967",0,"6,846",Mar 01 04:23 PM
Deshpande Samir,Chief Information Officer,2022-02-25,Option Exercise,0.0,"3,967",0,"10,931",Mar 01 04:22 PM
Huval Timothy S.,Chief Administrative Officer,2022-02-25,Option Exercise,0.0,"4,496",0,"11,391",Mar 01 04:15 PM
Fleming William Kevin,"Seg Pres, Pharmacy Sol & CCAO",2022-02-25,Option Exercise,0.0,"5,289",0,"6,836",Mar 01 04:16 PM
Zipperle Cynthia H,"SVP, Chief Acct Officer & Cont",2022-02-25,Option Exercise,0.0,"1,323",0,"6,150",Mar 01 04:13 PM
Mesquita Jorge S.,Director,2022-02-17,Option Exercise,0.0,436,0,848,Feb 22 09:50 AM
Klevorn Marcy S,Director,2022-02-17,Option Exercise,0.0,436,0,436,Feb 22 09:50 AM
Agrawal Vishal,Chief Strat & Corp Dev Officer,2021-12-15,Option Exercise,0.0,"1,090",0,"3,027",Dec 17 12:17 PM
Ventura Joseph C,Chief Legal Officer,2021-12-15,Option Exercise,0.0,952,0,"3,573",Dec 17 12:17 PM
Wheatley Timothy Alan,"Segment President, Retail",2021-12-15,Option Exercise,0.0,"1,715",0,"6,922",Dec 17 12:15 PM
Zipperle Cynthia H,"SVP, Chief Acct Officer & Cont",2021-12-15,Option Exercise,0.0,714,0,"4,923",Dec 17 11:30 AM
Schick Susan D.,Seg Pres. Grp. & Military Bus.,2021-12-15,Option Exercise,0.0,"2,030",0,"2,372",Dec 17 11:29 AM
Huval Timothy S.,Chief Administrative Officer,2021-12-15,Option Exercise,0.0,"1,269",0,"7,080",Dec 17 11:28 AM
Shrank William H,Chief Medical Officer,2021-12-15,Option Exercise,0.0,684,0,"1,434",Dec 17 11:23 AM
Diamond Susan M,Chief Financial Officer,2021-12-15,Option Exercise,0.0,933,0,"3,053",Dec 17 11:22 AM
Cox Heather,Chief Dig Health & Analyt Off.,2021-12-15,Option Exercise,0.0,"1,090",0,"3,394",Dec 17 10:54 AM
BROUSSARD BRUCE D,President & CEO,2021-12-15,Option Exercise,0.0,"8,182",0,"62,225",Dec 17 10:55 AM
Deshpande Samir,Chief Information Officer,2021-12-15,Option Exercise,0.0,"1,136",0,"7,122",Dec 17 10:45 AM
Fleming William Kevin,"Seg Pres, Pharmacy Sol & CCAO",2021-12-15,Option Exercise,0.0,"1,359",0,"1,726",Dec 17 10:43 AM
Agrawal Vishal,Chief Strat & Corp Dev Officer,2021-12-11,Option Exercise,0.0,811,0,"2,567",Dec 14 10:26 AM
BROUSSARD BRUCE D,President & CEO,2021-11-05,Option Exercise,294.24,"41,285","12,147,740","106,300",Nov 09 10:21 AM
BROUSSARD BRUCE D,President & CEO,2021-11-05,Sale,454.7,"50,006","22,737,766","56,294",Nov 09 10:21 AM
JONES DAVID A JR/KY,Director,2021-09-16,Sale,401.0,"4,800","1,924,800","67,925",Sep 20 09:07 AM
Bono Raquel C.,Director,2021-09-04,Option Exercise,0.0,397,0,397,Sep 08 09:16 AM
Cox Heather,Chief Dig Health & Analyt Off.,2021-09-01,Option Exercise,0.0,752,0,"2,789",Sep 03 08:22 AM
Diamond Susan M,Chief Financial Officer,2021-07-01,Option Exercise,0.0,291,0,"2,477",Jul 06 12:03 PM
