Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
JUNIUS DANIEL M,Director,2022-02-16,Option Exercise,206.62,"2,187","451,878","5,169",Feb 17 05:06 PM
Turner Kathy V,Senior Vice President,2022-02-16,Option Exercise,79.54,10,795,"7,390",Feb 17 05:04 PM
JUNIUS DANIEL M,Director,2022-02-16,Sale,511.68,"2,187","1,119,044","2,982",Feb 17 05:06 PM
Turner Kathy V,Senior Vice President,2022-02-16,Sale,515.58,10,"5,156","7,380",Feb 17 05:04 PM
Turner Kathy V,Senior Vice President,2022-02-15,Sale,510.03,"1,000","510,031","7,380",Feb 17 05:04 PM
Turner Kathy V,Senior Vice President,2022-02-14,Option Exercise,58.23,"2,732","159,080","9,380",Feb 16 06:56 PM
POLEWACZYK JAMES F,Executive Vice President,2022-02-14,Option Exercise,0.00,834,0,"16,605",Feb 16 06:54 PM
Smith Martin Alexander,Executive Vice President,2022-02-14,Option Exercise,0.00,149,0,227,Feb 16 06:55 PM
MCKEON BRIAN P,Executive VP & CFO,2022-02-14,Option Exercise,0.00,"1,928",0,"30,239",Feb 16 06:53 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-02-14,Option Exercise,0.00,"3,561",0,"74,384",Feb 16 06:52 PM
Hunt Nimrata,Executive Vice President,2022-02-14,Option Exercise,0.00,791,0,"11,254",Feb 16 06:51 PM
Lane Michael,Executive Vice President,2022-02-14,Option Exercise,0.00,915,0,"5,282",Feb 16 06:51 PM
Underberg Sharon E.,"EVP, GC & Corp. Secretary",2022-02-14,Option Exercise,0.00,"1,010",0,"4,052",Feb 16 06:56 PM
Turner Kathy V,Senior Vice President,2022-02-14,Sale,504.59,"2,000","1,009,189","7,380",Feb 16 06:56 PM
Hunt Nimrata,Executive Vice President,2022-02-09,Option Exercise,141.60,706,"99,970","10,463",Feb 10 05:00 PM
Turner Kathy V,Senior Vice President,2022-02-09,Option Exercise,79.54,"1,000","79,540","7,941",Feb 13 05:01 PM
Turner Kathy V,Senior Vice President,2022-02-09,Sale,505.04,"1,000","505,037","6,941",Feb 13 05:01 PM
JUNIUS DANIEL M,Director,2022-12-05,Option Exercise,160.28,"3,046","488,213","6,014",Dec 07 04:30 PM
JUNIUS DANIEL M,Director,2022-12-05,Sale,424.91,"3,046","1,294,276","2,968",Dec 07 04:30 PM
SZOSTAK M ANNE,Director,2022-12-02,Option Exercise,160.28,"2,000","320,560","2,000",Dec 06 05:01 PM
SZOSTAK M ANNE,Director,2022-12-02,Sale,428.55,740,"317,127","1,260",Dec 06 05:01 PM
Turner Kathy V,Senior Vice President,2022-12-01,Option Exercise,141.60,"3,000","424,800","9,923",Dec 05 05:00 PM
Turner Kathy V,Senior Vice President,2022-12-01,Sale,436.00,"3,000","1,308,000","6,923",Dec 05 05:00 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-11-14,Option Exercise,62.00,"18,998","1,177,876","81,305",Nov 16 05:00 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-11-14,Sale,434.47,"10,500","4,561,912","70,805",Nov 16 05:00 PM
Turner Kathy V,Senior Vice President,2022-11-11,Option Exercise,178.26,"8,567","1,527,153","15,490",Nov 14 05:00 PM
Turner Kathy V,Senior Vice President,2022-11-11,Sale,438.53,"8,567","3,756,921","6,923",Nov 14 05:00 PM
Turner Kathy V,Senior Vice President,2022-11-10,Option Exercise,206.94,"5,310","1,098,851","12,233",Nov 14 05:00 PM
Turner Kathy V,Senior Vice President,2022-11-10,Sale,407.62,"5,310","2,164,460","6,923",Nov 14 05:00 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-11-07,Option Exercise,52.00,"24,002","1,248,104","75,537",Nov 09 05:00 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-11-07,Sale,382.49,"13,230","5,060,319","62,307",Nov 09 05:00 PM
Smith Martin Alexander,Executive Vice President,2022-09-01,Option Exercise,0.00,19,0,49,Sep 06 05:00 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-08-05,Option Exercise,0.00,385,0,"51,697",Aug 08 05:00 PM
MCKEON BRIAN P,Executive VP & CFO,2022-08-05,Option Exercise,0.00,192,0,"28,366",Aug 08 05:01 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-05-20,Option Exercise,141.6,706,"99,970","51,301",May 23 05:00 PM
Kingsley Lawrence D,Director,2022-05-11,Option Exercise,0.0,302,0,"8,080",May 13 05:43 PM
AYERS JONATHAN W,Director,2022-05-11,Option Exercise,0.0,224,0,"630,420",May 13 05:36 PM
Vandebroek Sophie V.,Director,2022-05-11,Option Exercise,0.0,224,0,872,May 13 05:59 PM
SZOSTAK M ANNE,Director,2022-05-11,Option Exercise,0.0,224,0,224,May 13 05:58 PM
ESSIG STUART,Director,2022-05-11,Option Exercise,0.0,224,0,"1,373",May 13 05:56 PM
AYERS JONATHAN W,Director,2022-02-18,Option Exercise,141.6,706,"99,970","630,196",Feb 22 05:00 PM
Turner Kathy V,Senior Vice President,2022-02-18,Option Exercise,91.73,"2,180","199,980","6,886",Feb 22 05:01 PM
Underberg Sharon E.,"EVP, GC & Corp. Secretary",2022-02-17,Option Exercise,206.94,483,"99,952","2,987",Feb 18 05:01 PM
MCKEON BRIAN P,Executive VP & CFO,2022-02-16,Option Exercise,141.6,706,"99,970","28,154",Feb 17 05:49 PM
AYERS JONATHAN W,Director,2022-02-15,Sale,509.7,250,"127,425","629,490",Feb 17 05:48 PM
Underberg Sharon E.,"EVP, GC & Corp. Secretary",2022-02-14,Option Exercise,0.0,838,0,"2,757",Feb 16 07:29 PM
Turner Kathy V,Senior Vice President,2022-02-14,Option Exercise,0.0,851,0,"5,001",Feb 16 07:28 PM
TWIGGE GIOVANI,Senior Vice President,2022-02-14,Option Exercise,0.0,835,0,"17,982",Feb 16 07:28 PM
MCKEON BRIAN P,Executive VP & CFO,2022-02-14,Option Exercise,0.0,"2,085",0,"28,412",Feb 16 07:25 PM
POLEWACZYK JAMES F,Executive Vice President,2022-02-14,Option Exercise,0.0,781,0,"15,609",Feb 16 07:26 PM
MAZELSKY JONATHAN JAY,President & CEO,2022-02-14,Option Exercise,0.0,"3,063",0,"52,509",Feb 16 07:24 PM
Lane Michael,Executive Vice President,2022-02-14,Option Exercise,0.0,922,0,"4,588",Feb 16 07:23 PM
Hunt Nimrata,Executive Vice President,2022-02-14,Option Exercise,0.0,675,0,"9,906",Feb 16 07:22 PM
POLEWACZYK JAMES F,Executive Vice President,2021-11-29,Sale,633.0,"4,595","2,908,635","14,818",Dec 01 05:01 PM
MCKEON BRIAN P,Executive VP & CFO,2021-11-12,Option Exercise,67.85,"9,225","625,916","35,542",Nov 15 05:00 PM
MCKEON BRIAN P,Executive VP & CFO,2021-11-12,Sale,620.73,"9,225","5,726,188","26,317",Nov 15 05:00 PM
MCKEON BRIAN P,Executive VP & CFO,2021-11-10,Option Exercise,67.85,"20,000","1,357,000","46,317",Nov 12 05:29 PM
MCKEON BRIAN P,Executive VP & CFO,2021-11-10,Sale,624.96,"20,000","12,499,279","26,317",Nov 12 05:29 PM
MCKEON BRIAN P,Executive VP & CFO,2021-11-09,Option Exercise,67.85,"6,310","428,133","32,627",Nov 10 05:31 PM
MCKEON BRIAN P,Executive VP & CFO,2021-11-09,Sale,630.22,"6,310","3,976,676","26,317",Nov 10 05:31 PM
MCKEON BRIAN P,Executive VP & CFO,2021-11-08,Option Exercise,67.85,"10,000","678,500","36,317",Nov 10 05:31 PM
