Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Burton Eve B,Director,2022-03-07,Sale,412.57,"4,539","1,872,647",0,Mar 08 05:28 PM
Hotz Lauren D,"SVP, Chief Accounting Officer",2022-03-07,Sale,413.16,500,"206,580","1,781",Mar 08 05:28 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-03-03,Option Exercise,140.21,"1,744","244,526","28,202",Mar 06 07:55 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-03-03,Sale,407.36,"1,744","710,432","26,458",Mar 06 07:55 PM
Hotz Lauren D,"SVP, Chief Accounting Officer",2022-03-01,Option Exercise,0.00,96,0,"2,321",Mar 02 07:06 PM
Clatterbuck Michelle M,EVP and CFO,2022-02-27,Sale,421.38,545,"229,652","1,350",Feb 28 07:17 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-02-01,Option Exercise,0.00,402,0,"26,610",Feb 03 03:49 PM
Chriss James Alexander,"EVP, SBSEG",2022-02-01,Option Exercise,0.00,576,0,920,Feb 03 03:48 PM
Burton Eve B,Director,2022-01-22,Option Exercise,0.00,"4,539",0,"4,539",Jan 24 12:32 PM
DALZELL RICHARD L,Director,2022-01-22,Option Exercise,0.00,"3,925",0,"13,468",Jan 24 12:31 PM
Vazquez Raul,Director,2022-01-19,Option Exercise,0.00,"1,550",0,"3,569",Jan 23 06:00 PM
SZKUTAK THOMAS J,Director,2022-01-19,Option Exercise,0.00,"1,676",0,"1,676",Jan 23 05:59 PM
NORA JOHNSON SUZANNE M,Director,2022-01-19,Option Exercise,0.00,"1,550",0,"37,378",Jan 23 05:59 PM
DALZELL RICHARD L,Director,2022-01-19,Option Exercise,0.00,"1,710",0,"9,543",Jan 23 05:58 PM
WEINER JEFF,Director,2022-01-18,Option Exercise,0.00,"5,292",0,"29,581",Jan 20 03:25 PM
POWELL DENNIS D,Director,2022-01-18,Option Exercise,0.00,"4,854",0,"11,308",Jan 20 03:24 PM
SMITH BRAD D,Director,2022-01-18,Option Exercise,0.00,"6,270",0,"408,302",Jan 20 08:19 PM
Chriss James Alexander,"EVP, SBSEG",2022-01-09,Sale,400.00,597,"238,800",344,Jan 10 01:23 PM
FENNELL LAURA A,"EVP, People and Places",2022-12-31,Option Exercise,0.00,"1,898",0,"38,974",Jan 04 04:04 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-12-31,Option Exercise,0.00,"1,113",0,"15,687",Jan 04 04:04 PM
Hotz Lauren D,"SVP, Chief Accounting Officer",2022-12-31,Option Exercise,0.00,240,0,"2,310",Jan 04 04:04 PM
SMITH BRAD D,Director,2022-12-31,Option Exercise,0.00,"2,743",0,"402,973",Jan 04 04:05 PM
Krishna Varun,"EVP, Consumer Group",2022-12-31,Option Exercise,0.00,231,0,346,Jan 04 04:02 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-12-31,Option Exercise,0.00,"1,315",0,"26,861",Jan 04 04:02 PM
Clatterbuck Michelle M,EVP and CFO,2022-12-31,Option Exercise,0.00,"1,083",0,"2,433",Jan 04 04:00 PM
Chriss James Alexander,"EVP, SBSEG",2022-12-31,Option Exercise,0.00,"1,187",0,"1,531",Jan 04 03:54 PM
FENNELL LAURA A,"EVP, People and Places",2022-12-16,Option Exercise,0.00,492,0,"37,568",Dec 20 04:54 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-12-16,Option Exercise,0.00,320,0,"14,894",Dec 20 04:54 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-12-14,Option Exercise,135.35,"9,000","1,218,150","23,574",Dec 15 03:15 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-12-14,Sale,428.00,"9,000","3,852,000","14,574",Dec 15 03:15 PM
Hotz Lauren D,"SVP, Chief Accounting Officer",2022-12-01,Option Exercise,0.00,387,0,"2,601",Dec 05 12:22 PM
Chriss James Alexander,"EVP, SBSEG",2022-12-01,Sale,407.89,"1,545","630,190",344,Dec 05 12:22 PM
Clatterbuck Michelle M,EVP and CFO,2022-12-01,Sale,410.00,544,"223,040","1,350",Dec 05 12:23 PM
Hotz Lauren D,"SVP, Chief Accounting Officer",2022-12-01,Sale,416.01,400,"166,403","2,067",Dec 05 12:22 PM
Chriss James Alexander,"EVP, SBSEG",2022-11-01,Option Exercise,0.00,576,0,"2,175",Nov 03 02:46 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-11-01,Option Exercise,0.00,402,0,"25,746",Nov 03 02:46 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-10-01,Option Exercise,0.00,"1,315",0,"25,998",Oct 04 06:13 PM
SMITH BRAD D,Director,2022-10-01,Option Exercise,0.00,"2,743",0,"401,171",Oct 04 06:13 PM
Goodarzi Sasan K,"CEO, President and Director",2022-10-01,Option Exercise,0.00,"1,894",0,"62,102",Oct 04 06:14 PM
Krishna Varun,"EVP, Consumer Group",2022-10-01,Option Exercise,0.00,231,0,231,Oct 04 06:12 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-10-01,Option Exercise,0.00,627,0,"14,886",Oct 04 06:12 PM
Clatterbuck Michelle M,EVP and CFO,2022-10-01,Option Exercise,0.00,"1,081",0,"2,431",Oct 04 06:10 PM
FENNELL LAURA A,"EVP, People and Places",2022-10-01,Option Exercise,0.00,"1,026",0,"37,586",Oct 04 06:10 PM
Hotz Lauren D,"SVP, Chief Accounting Officer",2022-10-01,Option Exercise,0.00,238,0,"2,299",Oct 04 06:11 PM
Chriss James Alexander,"EVP, SBSEG",2022-10-01,Option Exercise,0.00,"1,186",0,"2,189",Oct 04 06:09 PM
Krishna Varun,"EVP, Consumer Group",2022-09-09,Option Exercise,293.29,"4,986","1,462,343","4,986",Sep 13 12:03 PM
Krishna Varun,"EVP, Consumer Group",2022-09-09,Sale,450.80,"7,438","3,353,026",0,Sep 13 12:03 PM
Clatterbuck Michelle M,EVP and CFO,2022-09-09,Sale,450.00,"6,768","3,045,600","1,350",Sep 13 12:01 PM
Chriss James Alexander,"EVP, SBSEG",2022-09-02,Sale,428.28,"8,702","3,726,916","1,003",Sep 07 12:26 PM
FENNELL LAURA A,"EVP, People and Places",2022-09-01,Option Exercise,0.00,"12,872",0,"42,728",Sep 06 03:31 PM
Goodarzi Sasan K,"CEO, President, and Director",2022-09-01,Option Exercise,0.00,"1,368",0,"61,576",Sep 06 03:31 PM
Krishna Varun,"EVP, Consumer Group",2022-09-01,Option Exercise,0.00,"2,760",0,"3,745",Sep 06 03:24 PM
SMITH BRAD D,Director,2022-09-01,Option Exercise,0.00,"67,061",0,"413,692",Sep 06 03:24 PM
Clatterbuck Michelle M,EVP and CFO,2022-09-01,Option Exercise,0.00,"13,427",0,"14,777",Sep 06 03:20 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp.Sec.",2022-09-01,Option Exercise,0.00,"6,435",0,"17,343",Sep 06 03:17 PM
Tessel Marianna,"EVP, Chief Technology Officer",2022-09-01,Option Exercise,0.00,"17,262",0,"33,243",Sep 06 03:15 PM
Chriss James Alexander,"EVP, SBSEG",2022-09-01,Option Exercise,0.00,"17,262",0,"18,265",Sep 06 03:11 PM
