Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Gregg Aimee K.,Senior Vice President,2022-02-22,Sale,36.05,"1,862","67,125","4,260",Feb 23 11:33 AM
Nicholls Timothy S,Senior Vice President,2022-02-16,Sale,38.95,"5,000","194,730","129,261",Feb 17 11:12 AM
PLATH THOMAS J.,Senior Vice President,2022-11-30,Sale,36.00,"2,000","72,000","49,953",Dec 01 05:01 PM
Nicholls Timothy S,Senior Vice President,2022-10-31,Sale,33.66,"7,500","252,473","101,897",Oct 31 03:56 PM
INTERNATIONAL PAPER CO /NEW/,10% Owner,2022-09-12,Sale,36.25,"4,614,358","167,270,478",0,Sep 12 06:17 PM
Goughnour Holly G.,Vice President & Controller,2022-08-16,Sale,44.69,"2,155","96,307","5,351",Aug 16 03:39 PM
Hamic William Thomas,Senior Vice President,2022-05-16,Sale,47.72,"3,630","173,235","22,050",May 16 01:50 PM
INTERNATIONAL PAPER CO /NEW/,10% Owner,2022-04-21,Sale,34.75,"4,132,000","143,587,000","4,614,358",Apr 22 11:03 AM
SIMS JOHN V,Senior Vice President,2021-09-14,Sale,57.75,"7,026","405,752",0,Sep 16 09:25 AM
Ribieras JeanMichel,Senior Vice President,2021-09-14,Sale,57.75,"4,417","255,082",0,Sep 15 01:03 PM
Lewis Clinton A. Jr.,Director,2021-08-09,Sale,58.88,111,"6,536",0,Aug 11 04:03 PM
Lewis Clinton A. Jr.,Director,2021-07-30,Sale,57.23,17,973,111,Aug 23 04:17 PM
Lewis Clinton A. Jr.,Director,2021-07-27,Buy,58.42,9,526,128,Aug 23 04:17 PM
Lewis Clinton A. Jr.,Director,2021-07-15,Buy,60.03,111,"6,664",111,Aug 02 04:20 PM
