Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Burgomaster Thomas J,Chief Accounting Officer,2022-03-01,Sale,125.52,"1,300","163,176","8,595",Mar 03 04:40 PM
Shcherbakov Eugene A,CEO,2022-02-14,Option Exercise,60.11,"3,000","180,330","60,170",Feb 16 04:26 PM
Shcherbakov Eugene A,CEO,2022-02-14,Sale,120.00,"3,000","360,000","57,170",Feb 16 04:26 PM
STUKALIN FELIX I,"SVP, Chief Operating Officer",2022-01-12,Option Exercise,60.11,"5,000","300,550","31,298",Jan 13 04:07 PM
Valentin Gapontsev Trust I,10% Owner,2022-09-28,Sale,85.34,"5,000","426,679","7,394,599",Sep 30 04:07 PM
Valentin Gapontsev Trust I,10% Owner,2022-09-21,Sale,89.08,"5,000","445,420","7,399,599",Sep 23 04:12 PM
Valentin Gapontsev Trust I,10% Owner,2022-09-14,Sale,87.72,"5,000","438,592","7,404,599",Sep 16 04:24 PM
Valentin Gapontsev Trust I,10% Owner,2022-09-07,Sale,88.14,"5,000","440,719","7,409,599",Sep 09 04:12 PM
Valentin Gapontsev Trust I,10% Owner,2022-08-31,Sale,91.59,"5,000","457,954","7,414,599",Sep 02 04:24 PM
Valentin Gapontsev Trust I,10% Owner,2022-08-24,Sale,95.68,"5,000","478,384","7,419,599",Aug 26 04:17 PM
Valentin Gapontsev Trust I,10% Owner,2022-08-17,Sale,99.53,"5,000","497,667","7,424,599",Aug 19 04:07 PM
Valentin Gapontsev Trust I,10% Owner,2022-08-10,Sale,101.77,"5,000","508,850","7,429,599",Aug 12 04:05 PM
Valentin Gapontsev Trust I,10% Owner,2022-08-03,Sale,102.97,"5,000","514,834","7,434,599",Aug 05 04:36 PM
Mammen Timothy PV,"SVP, Chief Financial Officer",2022-06-16,Buy,83.54,"3,000","250,620","53,493",Jun 21 04:07 PM
Shcherbakov Eugene A,CEO,2022-02-09,Option Exercise,58.65,"1,500","87,975","43,803",Feb 09 05:44 PM
Shcherbakov Eugene A,CEO,2022-02-09,Sale,152.3,"1,500","228,450","42,303",Feb 09 05:44 PM
Samartsev Igor,"SVP, Chief Technology Officer",2022-01-03,Sale,172.35,500,"86,175","1,200",Jan 03 04:11 PM
CHILD MICHAEL C,Director,2021-11-16,Option Exercise,51.1,"13,167","672,881","54,284",Nov 17 04:27 PM
Samartsev Igor,"SVP, Chief Technology Officer",2021-10-01,Sale,159.27,500,"79,635","1,700",Oct 04 04:15 PM
IP FIBRE DEVICES LTD,10% Owner,2021-09-16,Sale,170.58,"10,700","1,825,163","6,914,004",Sep 17 04:20 PM
IP FIBRE DEVICES LTD,10% Owner,2021-09-15,Sale,172.27,"12,500","2,153,320","6,924,704",Sep 17 04:20 PM
Ness Trevor,"SVP, Worldwide Sales & Mrkting",2021-08-02,Option Exercise,154.88,"1,200","185,856","17,383",Aug 04 05:06 PM
IP FIBRE DEVICES LTD,10% Owner,2021-08-02,Sale,220.06,"1,800","396,108","6,937,204",Aug 04 05:08 PM
Ness Trevor,"SVP, Worldwide Sales & Mrkting",2021-08-02,Sale,220.07,"2,600","572,182","14,783",Aug 04 05:06 PM
Samartsev Igor,"SVP, Chief Technology Officer",2021-07-01,Sale,211.61,500,"105,805","2,200",Jul 06 04:06 PM
