Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Meaney William L,President and CEO,2022-03-02,Sale,52.28,"21,219","1,109,329","295,650",Mar 06 05:07 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-03-01,Option Exercise,0.00,"8,371",0,"65,945",Mar 02 09:36 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-03-01,Option Exercise,0.00,"12,653",0,"85,179",Mar 02 08:29 PM
Kidd Mark,"EVP, GM Data Centers & ALM",2022-03-01,Option Exercise,0.00,"7,881",0,"54,101",Mar 02 08:12 PM
Baker-Greene Edward,"EVP, CHRO",2022-03-01,Option Exercise,0.00,"5,684",0,"13,221",Mar 02 08:01 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-03-01,Option Exercise,0.00,"1,469",0,"3,546",Mar 02 07:31 PM
Hytinen Barry,EVP and CFO,2022-03-01,Option Exercise,0.00,"15,926",0,"100,903",Mar 02 07:29 PM
Meaney William L,President and CEO,2022-03-01,Option Exercise,0.00,"33,680",0,"322,284",Mar 02 09:37 PM
McIntosh Greg W,"EVP, CCO & GM, Global RM",2022-03-01,Option Exercise,0.00,"7,038",0,"16,582",Mar 02 09:36 PM
Meaney William L,President and CEO,2022-03-01,Sale,52.43,"17,766","931,471","295,650",Mar 02 09:37 PM
Meaney William L,President and CEO,2022-02-28,Sale,52.61,"62,904","3,309,379","313,416",Mar 02 09:37 PM
Meaney William L,President and CEO,2022-02-27,Sale,52.78,"62,904","3,319,822","376,320",Feb 28 06:29 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-24,Sale,51.77,"1,125","58,241","59,419",Feb 27 06:14 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-02-23,Option Exercise,0.00,"24,050",0,"83,738",Feb 27 06:22 PM
Meaney William L,President and CEO,2022-02-23,Option Exercise,0.00,"207,432",0,"520,848",Feb 27 06:21 PM
McIntosh Greg W,"EVP, CCO & GM, Global RM",2022-02-23,Option Exercise,0.00,"9,618",0,"16,798",Feb 27 06:16 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-23,Option Exercise,0.00,"18,037",0,"66,250",Feb 27 06:14 PM
Kidd Mark,"EVP, GM Data Centers & ALM",2022-02-23,Option Exercise,0.00,"22,846",0,"59,713",Feb 27 06:13 PM
