Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Curet Myriam,EVP & Chief Medical Officer,2022-03-01,Sale,228.47,"1,253","286,273","1,950",Mar 01 06:23 PM
Curet Myriam,EVP & Chief Medical Officer,2022-02-28,Option Exercise,0.00,"3,259",0,"3,701",Mar 01 06:23 PM
Widman Fredrik,VP Corporate Controller,2022-02-28,Option Exercise,0.00,"1,317",0,"3,025",Mar 01 06:09 PM
DeSantis Robert,EVP & Chief Product Officer,2022-02-28,Option Exercise,0.00,"3,679",0,"10,125",Mar 01 05:57 PM
MOHR MARSHALL,Executive VP Global Business S,2022-02-28,Option Exercise,0.00,"3,259",0,"24,750",Mar 01 05:44 PM
GUTHART GARY S,President & CEO,2022-02-28,Option Exercise,0.00,"6,371",0,"31,775",Mar 01 05:34 PM
Samath Jamie,Chief Financial Officer,2022-02-28,Option Exercise,0.00,"2,009",0,"6,388",Mar 01 05:22 PM
Rosa David J.,EVP Chief Strategy & Growth Of,2022-02-28,Option Exercise,0.00,"3,760",0,"130,022",Mar 01 05:14 PM
Charlton Henry L,Senior Vice President & Chief,2022-02-28,Option Exercise,0.00,"2,201",0,"20,743",Mar 01 04:56 PM
Widman Fredrik,VP Corporate Controller,2022-02-26,Option Exercise,0.00,609,0,"2,214",Feb 27 06:51 PM
DeSantis Robert,EVP & Chief Product Officer,2022-02-26,Option Exercise,0.00,"1,590",0,"7,955",Feb 27 06:40 PM
Curet Myriam,EVP & Chief Medical Officer,2022-02-26,Option Exercise,0.00,"1,710",0,"2,037",Feb 27 06:30 PM
GUTHART GARY S,President & CEO,2022-02-26,Option Exercise,0.00,"3,030",0,"28,769",Feb 27 06:19 PM
Rosa David J.,EVP Chief Strategy & Growth Of,2022-02-26,Option Exercise,0.00,"1,710",0,"128,229",Feb 27 06:06 PM
Charlton Henry L,Senior Vice President & Chief,2022-02-26,Option Exercise,0.00,"1,284",0,"19,446",Feb 27 05:58 PM
Samath Jamie,Chief Financial Officer,2022-02-26,Option Exercise,0.00,"1,284",0,"5,259",Feb 27 05:41 PM
MOHR MARSHALL,Executive VP Global Business S,2022-02-26,Option Exercise,0.00,"1,710",0,"23,342",Feb 27 05:15 PM
DeSantis Robert,EVP & Chief Product Officer,2022-02-16,Sale,240.77,"1,971","474,558","6,365",Feb 16 06:45 PM
Curet Myriam,EVP & Chief Medical Officer,2022-02-16,Sale,240.77,"1,124","270,625",327,Feb 16 07:05 PM
Widman Fredrik,VP Corporate Controller,2022-02-16,Sale,240.77,116,"27,929","1,605",Feb 16 07:56 PM
MOHR MARSHALL,Executive VP Global Business S,2022-02-15,Option Exercise,0.00,"1,749",0,"22,500",Feb 16 09:39 PM
Widman Fredrik,VP Corporate Controller,2022-02-15,Option Exercise,0.00,393,0,"1,882",Feb 16 07:44 PM
Curet Myriam,EVP & Chief Medical Officer,2022-02-15,Option Exercise,0.00,"1,749",0,"2,076",Feb 16 07:05 PM
DeSantis Robert,EVP & Chief Product Officer,2022-02-15,Option Exercise,0.00,"2,124",0,"9,002",Feb 16 06:45 PM
Samath Jamie,Chief Financial Officer,2022-02-15,Option Exercise,0.00,723,0,"4,248",Feb 16 06:04 PM
GUTHART GARY S,President & CEO,2022-02-15,Option Exercise,0.00,"3,750",0,"27,047",Feb 16 05:51 PM
Rosa David J.,EVP Chief Strategy & Growth Of,2022-02-15,Option Exercise,0.00,"2,250",0,"127,635",Feb 16 05:43 PM
Charlton Henry L,Senior Vice President & Chief,2022-02-15,Option Exercise,0.00,"1,311",0,"18,575",Feb 16 05:29 PM
MOHR MARSHALL,Executive VP Global Business S,2022-02-13,Option Exercise,63.25,"54,000","3,415,262","54,000",Feb 14 06:44 PM
MOHR MARSHALL,Executive VP Global Business S,2022-02-13,Sale,245.61,"33,249","8,166,377","20,751",Feb 14 06:44 PM
Widman Fredrik,VP Corporate Controller,2022-02-13,Sale,246.09,"1,307","321,640","1,489",Feb 14 04:53 PM
Rosa David J.,EVP Chief Strategy & Growth Of,2022-02-06,Option Exercise,63.25,"54,000","3,415,262","170,410",Feb 07 04:58 PM
Rosa David J.,EVP Chief Strategy & Growth Of,2022-02-06,Sale,250.53,"45,025","11,280,023","125,385",Feb 07 04:58 PM
DeSantis Robert,EVP & Chief Product Officer,2022-01-27,Option Exercise,178.84,"1,629","291,333","7,585",Jan 30 07:34 PM
DeSantis Robert,EVP & Chief Product Officer,2022-01-27,Sale,250.00,"1,629","407,250","6,769",Jan 30 07:34 PM
Johnson Amal M,Director,2022-11-08,Option Exercise,53.76,"6,375","342,692","17,599",Nov 09 05:17 PM
Johnson Amal M,Director,2022-11-08,Sale,239.36,"6,375","1,525,904","11,224",Nov 09 05:17 PM
Curet Myriam,EVP & Chief Medical Officer,2022-11-01,Option Exercise,172.35,"8,000","1,378,787","6,217",Nov 02 07:22 PM
Curet Myriam,EVP & Chief Medical Officer,2022-11-01,Sale,250.06,"8,000","2,000,509",217,Nov 02 07:22 PM
GUTHART GARY S,President & CEO,2022-10-21,Option Exercise,63.25,"67,500","4,269,078","67,500",Oct 24 05:08 PM
Curet Myriam,EVP & Chief Medical Officer,2022-10-21,Option Exercise,172.35,"8,000","1,378,787","6,217",Oct 24 04:46 PM
GUTHART GARY S,President & CEO,2022-10-21,Sale,210.84,"44,203","9,319,610","23,297",Oct 24 05:08 PM
Curet Myriam,EVP & Chief Medical Officer,2022-10-21,Sale,209.78,"8,000","1,678,242",217,Oct 24 04:46 PM
Johnson Amal M,Director,2022-09-08,Option Exercise,53.76,"6,375","342,692","17,599",Sep 09 05:16 PM
Johnson Amal M,Director,2022-09-08,Sale,210.76,"6,375","1,343,584","11,224",Sep 09 05:16 PM
Ladd Amy L,Director,2022-08-15,Sale,237.03,600,"142,218",720,Aug 17 05:15 PM
Johnson Amal M,Director,2022-08-03,Option Exercise,53.76,"6,375","342,692","17,599",Aug 04 06:48 PM
Johnson Amal M,Director,2022-08-03,Sale,238.04,"6,375","1,517,487","11,224",Aug 04 06:48 PM
Curet Myriam,EVP & Chief Medical Officer,2022-07-27,Option Exercise,139.52,"9,000","1,255,680","9,217",Jul 28 06:41 PM
Curet Myriam,EVP & Chief Medical Officer,2022-07-27,Sale,225.0,"9,000","2,025,000",217,Jul 28 06:41 PM
GUTHART GARY S,President & CEO,2022-07-26,Option Exercise,57.48,"126,000","7,242,341","134,019",Jul 27 06:49 PM
GUTHART GARY S,President & CEO,2022-07-26,Sale,216.3,"79,412","17,177,054","54,607",Jul 27 06:49 PM
DeSantis Robert,EVP & Chief Product Officer,2022-05-11,Option Exercise,0.0,363,0,"6,937",May 13 05:15 PM
Curet Myriam,EVP & Chief Medical Officer,2022-04-26,Option Exercise,139.52,"6,000","837,120","6,361",Apr 27 06:28 PM
DeSantis Robert,EVP & Chief Product Officer,2022-04-26,Option Exercise,222.43,"1,611","358,331","7,150",Apr 27 08:45 PM
Curet Myriam,EVP & Chief Medical Officer,2022-04-26,Sale,252.51,"6,000","1,515,058",361,Apr 27 06:28 PM
