Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
SANTI ERNEST SCOTT,Chairman & CEO,2022-02-03,Option Exercise,92.85,"235,656","21,880,835","449,194",Feb 07 04:55 PM
O'HERLIHY CHRISTOPHER A,Vice Chairman,2022-02-03,Option Exercise,94.29,"60,137","5,670,054","100,209",Feb 07 04:53 PM
SANTI ERNEST SCOTT,Chairman & CEO,2022-02-03,Sale,246.29,"235,656","58,040,211","213,538",Feb 07 04:55 PM
O'HERLIHY CHRISTOPHER A,Vice Chairman,2022-02-03,Sale,246.26,"60,137","14,809,603","40,072",Feb 07 04:53 PM
SMITH DAVID BYRON JR,Director,2022-12-09,Buy,221.81,"1,390","308,316","118,994",Dec 12 04:59 PM
Larsen Michael M,SVP & CFO,2022-11-14,Option Exercise,128.00,"51,248","6,559,744","87,850",Nov 16 04:07 PM
Larsen Michael M,SVP & CFO,2022-11-14,Sale,228.01,"51,248","11,685,056","36,602",Nov 16 04:07 PM
Schlitz Lei Zhang,Executive Vice President,2022-05-11,Sale,205.34,"1,000","205,340","7,803",May 13 04:54 PM
SANTI ERNEST SCOTT,Chairman & CEO,2022-02-04,Option Exercise,98.26,"148,789","14,620,007","351,821",Feb 08 05:30 PM
SANTI ERNEST SCOTT,Chairman & CEO,2022-02-04,Sale,231.44,"148,789","34,435,379","203,032",Feb 08 05:30 PM
Schlitz Lei Zhang,Executive Vice President,2021-12-07,Option Exercise,78.59,"8,800","691,592","16,049",Dec 09 04:45 PM
Schlitz Lei Zhang,Executive Vice President,2021-12-07,Sale,241.16,"8,800","2,122,208","7,249",Dec 09 04:45 PM
Lawler Mary Katherine,SVP & Chief HR Officer,2021-11-11,Option Exercise,98.26,"19,436","1,909,781","37,813",Nov 15 04:44 PM
Lawler Mary Katherine,SVP & Chief HR Officer,2021-11-11,Sale,233.24,"19,436","4,533,253","18,377",Nov 15 04:44 PM
Henderson Jay L,Director,2021-11-10,Buy,235.29,"10,000","2,352,892","18,862",Nov 15 04:46 PM
