Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HARPER ALFRED C,"EVP, CSO",2022-02-13,Sale,190.33,"5,300","1,008,751","32,556",Feb 14 12:45 PM
Simpson Shelley,President,2022-01-31,Option Exercise,0.00,"13,107",0,"80,976",Feb 02 05:35 PM
ROBERTS JOHN N,CEO,2022-01-31,Option Exercise,0.00,"37,754",0,"277,119",Feb 02 05:12 PM
Bracy Kevin,"SR VP, Treasurer",2022-01-31,Option Exercise,0.00,339,0,"7,171",Feb 02 05:12 PM
Scott Stuart Lockard,EVP/CIO,2022-01-31,Option Exercise,0.00,"10,214",0,"30,468",Feb 02 05:12 PM
Kuhlow John,EVP & CFO,2022-01-31,Option Exercise,0.00,"3,957",0,"14,142",Feb 02 05:13 PM
Field Darren P.,EVP and President Intermodal,2022-01-31,Option Exercise,0.00,"7,978",0,"15,648",Feb 02 05:11 PM
Hicks Bradley W.,EVP of People & Pres Hwy Svcs,2022-01-31,Option Exercise,0.00,"5,136",0,"21,077",Feb 02 05:11 PM
Hobbs Nicholas,EVP and COO,2022-01-31,Option Exercise,0.00,"13,107",0,"78,330",Feb 02 05:12 PM
HARPER ALFRED C,"EVP, CSO",2022-01-31,Option Exercise,0.00,"9,667",0,"38,498",Feb 02 05:12 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-01-31,Option Exercise,0.00,424,0,"11,759",Feb 02 05:12 PM
McGee Eric,EVP Highway Services,2022-01-31,Option Exercise,0.00,"2,085",0,"2,013",Feb 02 05:12 PM
Simpson Shelley,"EVP, CCO & People/HR",2022-11-11,Sale,186.02,"7,000","1,302,160","77,630",Nov 15 10:47 AM
Frazier Spencer,EVP of Sales and Marketing,2022-11-07,Sale,177.16,"1,000","177,156","3,060",Nov 09 11:50 AM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-10-31,Option Exercise,171.07,783,"133,948","5,733",Nov 02 01:39 PM
Bracy Kevin,"SR VP, Treasurer",2022-10-31,Option Exercise,0.00,920,0,"7,279",Nov 02 01:39 PM
Webb Brian,EVP- Final Mile Services,2022-10-31,Option Exercise,0.00,"3,070",0,"15,851",Nov 02 01:39 PM
Kuhlow John,EVP & CFO,2022-10-31,Option Exercise,0.00,901,0,"11,149",Nov 02 01:39 PM
Keefauver David,EVP of DCS,2022-10-31,Option Exercise,0.00,"1,138",0,"1,706",Nov 02 01:39 PM
Frazier Spencer,EVP of Sales and Marketing,2022-10-31,Option Exercise,0.00,"5,036",0,"5,536",Nov 02 01:39 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-10-31,Option Exercise,0.00,"1,147",0,"11,822",Nov 02 01:39 PM
McGee Eric,EVP Highway Services,2022-09-07,Buy,167.75,210,"35,227",611,Sep 08 06:11 PM
Field Darren P.,EVP Intermodal,2022-07-28,Sale,179.85,"2,200","395,663","9,058",Aug 01 09:08 AM
Scott Stuart Lockard,EVP/CIO,2022-07-15,Option Exercise,0.0,"3,000",0,"24,179",Jul 19 01:55 PM
Bracy Kevin,"SR VP, Treasurer",2022-07-15,Option Exercise,0.0,"1,667",0,"6,990",Jul 19 01:55 PM
Hicks Bradley W.,EVP & Pres Highway Services,2022-07-15,Option Exercise,0.0,"1,667",0,"18,020",Jul 19 01:55 PM
Simpson Shelley,"EVP, CCO & People/HR",2022-07-15,Option Exercise,0.0,"6,667",0,"87,587",Jul 19 01:55 PM
Hobbs Nicholas,"EVP,Pres Contract Services&COO",2022-07-15,Option Exercise,0.0,"6,667",0,"87,210",Jul 19 01:55 PM
Kuhlow John,EVP & CFO,2022-07-15,Option Exercise,0.0,"3,340",0,"11,245",Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0.0,"1,250",0,"4,950",Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0.0,"1,667",0,"11,331",Jul 19 01:55 PM
Webb Brian,EVP- Final Mile Services,2022-07-15,Option Exercise,0.0,"2,500",0,"13,990",Jul 19 05:17 PM
Scott Stuart Lockard,EVP/CIO,2022-07-15,Option Exercise,0.0,"3,000",0,"24,179",Jul 19 01:55 PM
Bracy Kevin,"SR VP, Treasurer",2022-07-15,Option Exercise,0.0,"1,667",0,"6,990",Jul 19 01:55 PM
Hicks Bradley W.,EVP & Pres Highway Services,2022-07-15,Option Exercise,0.0,"1,667",0,"18,020",Jul 19 01:55 PM
Simpson Shelley,"EVP, CCO & People/HR",2022-07-15,Option Exercise,0.0,"6,667",0,"87,587",Jul 19 01:55 PM
Hobbs Nicholas,"EVP,Pres Contract Services&COO",2022-07-15,Option Exercise,0.0,"6,667",0,"87,210",Jul 19 01:55 PM
Kuhlow John,EVP & CFO,2022-07-15,Option Exercise,0.0,"3,340",0,"11,245",Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0.0,"1,250",0,"4,950",Jul 19 01:55 PM
BOATTINI JENNIFER,SR VP Legal/General Counsel,2022-07-15,Option Exercise,0.0,"1,667",0,"11,331",Jul 19 01:55 PM
GASAWAY SHARILYN S,Director,2022-05-19,Buy,161.87,650,"105,214","26,200",May 20 11:30 AM
Hicks Bradley W.,EVP & Pres Highway Services,2022-03-07,Sale,204.94,800,"163,949","16,353",Mar 07 02:14 PM
